,uniprot,protein,iWAT_HF_cre-,iWAT_HF_cre+,iWAT_chow_cre-,iWAT_chow_cre+,eWAT_HF_cre-,eWAT_HF_cre+,eWAT_chow_cre-,eWAT_chow_cre+,ctrl_turbo(-),LPS_turbo(-),fast_turbo(-),ctrl_turbo(+),LPS_turbo(+),fast_turbo(+),description
0,Q8BWT1,Acaa2,4865.0,6037.75,3182.0,4701.0,4127.75,5624.5,4242.75,5057.0,33813.25,27820.75,13611.75,10666.0,33184.0,10556.75,"Acaa2 3-ketoacyl-CoA thiolase, mitochondrial"
1,E9QPD7,Pcx,10374.5,12738.25,7354.0,6906.25,7912.5,11917.5,8394.25,10328.25,29407.75,25717.75,27852.0,33525.0,36981.0,28689.25,Pcx Pyruvate carboxylase
2,Q91ZA3,Pcca,12090.0,12854.25,9865.5,9767.0,7681.75,11867.75,9226.0,12058.0,33571.25,41411.75,31428.5,43875.5,48309.0,48158.0,"Pcca Propionyl-CoA carboxylase alpha chain, mitochondrial"
3,Q8C196,Cps1,,,,,,,,,29546.5,28262.25,26268.25,27077.5,30480.0,23901.75,Cps1 Carbamoyl-phosphate synthase
4,P16460,Ass1,5573.5,12077.0,3114.0,6657.0,5198.5,5552.0,3539.5,3826.5,41233.0,30719.75,26880.75,23203.0,37185.5,21250.0,Ass1 Argininosuccinate synthase
5,A2AFQ2,Hsd17b10,5227.0,10356.5,3666.0,5445.5,3555.5,7034.5,3483.5,8353.0,27002.75,31575.0,32464.5,30230.0,33410.0,29772.5,Hsd17b10 3-hydroxyacyl-CoA dehydrogenase type-2
6,P67778,Phb,8816.5,15225.0,5528.0,8042.0,3796.75,9336.0,4581.0,8042.0,38055.0,45906.0,34994.5,36964.0,41908.0,43495.0,Phb Prohibitin
7,P11352,Gpx1,9515.5,20329.5,7212.0,13115.0,5938.0,8351.0,5327.5,11791.5,61495.75,52076.75,53651.25,57666.5,71410.0,53572.25,Gpx1 Glutathione peroxidase 1
8,Q9WVD5,Slc25a15,2063.0,3431.5,,,1706.5,1843.5,849.0,1310.0,34065.0,27364.5,25759.5,30973.0,33807.0,25644.5,Slc25a15 Mitochondrial ornithine transporter 1
9,P68040,Rack1,9852.75,15960.0,9434.0,11840.0,5304.5,9661.25,6480.75,12070.25,16258.0,16732.5,15964.5,21890.0,20060.0,19156.0,Rack1 Receptor of activated protein C kinase 1
10,Q8VBT2,Sds,,,,,,,,,38020.0,23915.75,31716.25,27340.0,23324.5,20993.5,Sds L-serine dehydratase/L-threonine deaminase
11,A8DUK4,Hbbt1,2745.0,10799.0,6335.25,11267.75,1904.25,6588.0,3575.25,9808.25,56168.75,53238.25,34074.5,43799.0,35960.5,44925.0,Hbbt1 Protein Hbb-bs
12,P11679,Krt8,2208.25,2427.5,1019.5,1388.0,5219.0,7593.75,12804.5,16901.0,19324.0,17232.5,18127.0,23972.0,40430.0,23692.0,"Krt8 Keratin, type II cytoskeletal 8"
13,Q99LX0,Park7,30836.75,56672.75,18802.25,32448.75,15829.25,31024.75,21098.75,42741.0,27546.25,24211.25,17987.5,21462.0,29598.0,22433.25,Park7 Protein deglycase DJ-1
14,P13707,Gpd1,6137.5,21327.0,4994.25,8784.75,3205.5,9407.5,2935.75,7182.5,41067.5,48956.0,38644.5,27827.0,44947.0,27007.5,Gpd1 Glycerol-3-phosphate dehydrogenase
15,Q7TMM9,Tubb2a,6464.5,10930.0,4488.0,6514.5,4283.5,11767.0,4808.0,6949.0,48655.5,32081.0,26948.5,30343.0,54570.0,19245.0,Tubb2a Tubulin beta-2A chain
16,P68372,Tubb4b,10258.0,22815.0,7590.0,10956.0,6258.0,11369.5,10159.75,12039.75,36867.25,31859.5,28591.5,38429.0,45159.0,29110.25,Tubb4b Tubulin beta-4B chain
17,P62908,Rps3,10181.0,20653.0,4933.5,5458.5,9294.5,14223.5,5229.0,10051.5,34559.0,37977.0,31856.5,44646.0,38952.0,40611.5,Rps3 40S ribosomal protein S3
18,P99024,Tubb5,5499.0,9762.5,3584.5,5112.5,4880.0,9810.5,4019.25,5393.25,41805.5,36282.0,27955.0,36366.0,55541.0,26044.5,Tubb5 Tubulin beta-5 chain
19,Q5SWU9,Acaca,9073.5,10291.75,10461.5,7420.5,6264.5,9969.0,9188.0,10119.5,36316.75,23083.5,19754.0,23789.5,38727.5,20411.5,Acaca Acetyl-CoA carboxylase 1
20,P05784,Krt18,2113.25,3870.5,1587.5,2880.0,1515.5,3735.25,3371.75,6187.5,22297.0,21031.75,21547.75,27315.5,46041.5,24803.25,"Krt18 Keratin, type I cytoskeletal 18"
21,E9Q4Z2,Acacb,9052.5,11896.25,10648.0,8992.0,6392.0,10175.0,8504.25,11576.5,42775.75,39775.0,26799.5,32747.5,39140.0,26946.25,Acacb Acetyl-CoA carboxylase 2
22,P68369,Tuba1a,3165.25,9587.75,2066.25,6215.25,2209.25,9717.25,3328.75,8862.75,20350.5,23016.5,14360.0,18952.0,39917.0,17835.5,Tuba1a Tubulin alpha-1A chain
23,P17182,Eno1,10850.0,17356.5,6838.0,8138.75,6836.75,13312.25,6544.0,11462.25,25404.0,45837.0,24455.0,41760.0,22610.0,41055.5,Eno1 Alpha-enolase
24,Q9DBM2,Ehhadh,4625.25,8239.75,2789.0,3721.0,3396.5,8676.25,2936.5,6346.0,39353.5,32300.75,29158.0,17882.0,29049.0,37156.0,Ehhadh Peroxisomal bifunctional enzyme
25,P11983,Tcp1,5989.0,9465.5,3974.0,3985.0,3594.75,7492.0,4062.5,5962.75,25838.5,29577.0,16669.5,26725.0,32129.0,24560.0,Tcp1 T-complex protein 1 subunit alpha
26,Q9D819,Ppa1,11058.75,16018.5,11586.0,15163.0,5424.5,9014.25,7227.0,12085.0,70894.0,67172.5,65260.5,94389.0,74417.0,71380.0,Ppa1 Inorganic pyrophosphatase
27,Q91V41,Rab14,9694.0,15450.0,7776.25,8831.0,5238.0,11042.0,4419.0,10911.0,31949.5,30472.5,35668.0,48029.0,46062.0,32975.0,Rab14 Ras-related protein Rab-14
28,P85094,Isoc2a,4236.5,5572.5,1524.5,3062.0,3425.75,5980.25,1733.0,4182.5,35620.0,32022.5,27464.0,31543.0,31765.0,30140.0,Isoc2a Isochorismatase domain-containing protein 2A
29,Q91WU0,Ces1f,1694.5,30719.75,1412.5,35447.0,1332.5,8483.0,1346.75,33577.5,126249.0,87284.0,51628.5,22405.0,6923.0,3185.5,Ces1f Carboxylesterase 1F
30,P56480,Atp5b,7441.75,11064.5,3605.0,6012.5,3976.25,7917.5,3071.0,6010.5,44557.75,39662.0,38590.0,39011.5,41174.5,34331.0,"Atp5b ATP synthase subunit beta, mitochondrial"
31,Q3ULD5,Mccc2,14476.0,6607.0,9872.5,8319.0,4255.75,4890.5,4891.25,10670.0,23947.0,23237.0,24735.0,33159.0,35884.0,33162.0,"Mccc2 Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial"
32,P68368,Tuba4a,18689.5,25355.5,14248.25,34622.0,9473.0,20307.75,8713.25,12493.0,32228.75,28588.0,18661.25,23324.0,38108.0,19206.0,Tuba4a Tubulin alpha-4A chain
33,Q99MR8,Mccc1,11233.5,14299.5,9905.5,10051.5,6620.0,10362.0,7250.0,11409.0,25393.0,22736.75,25722.0,32365.5,39208.0,27779.5,"Mccc1 Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial"
34,Q99L04,Dhrs1,4344.25,8729.5,3412.75,4896.5,3249.5,6519.0,4496.0,8398.5,24077.0,24355.75,19940.75,23885.5,30705.5,23448.75,Dhrs1 Dehydrogenase/reductase SDR family member 1
35,Q8K0E8,Fgb,2952.75,8985.5,3133.25,18931.0,1831.0,6967.25,4805.25,19960.5,35156.75,29776.5,23250.25,45944.5,8993.5,5537.0,Fgb Fibrinogen beta chain
36,O35490,Bhmt,,,,,,,,,33149.0,21744.0,22737.25,17540.5,9439.5,9534.0,Bhmt Betaine--homocysteine S-methyltransferase 1
37,O35129,Phb2,13187.0,13892.0,7636.0,7429.5,6849.75,12110.5,6800.75,11226.75,50530.25,56103.25,47826.5,54050.5,61251.0,56887.25,Phb2 Prohibitin-2
38,Q99MN9,Pccb,12573.5,6255.25,10942.0,10548.25,3960.5,8279.75,5253.25,12814.0,28293.75,34843.25,26730.75,29887.5,37492.5,45240.0,"Pccb Propionyl-CoA carboxylase beta chain, mitochondrial"
39,O70475,Ugdh,6128.5,8867.0,8361.5,13883.75,3700.5,8029.5,2376.5,4988.5,25594.0,23819.5,20512.5,34629.0,30423.5,26841.0,Ugdh UDP-glucose 6-dehydrogenase
40,Q7TNG8,Ldhd,6753.5,12199.25,4009.5,9583.0,5776.5,10006.25,4278.0,8304.75,34443.5,29515.0,28052.5,40929.5,48365.0,31159.5,"Ldhd Probable D-lactate dehydrogenase, mitochondrial"
41,P56593,Cyp2a12,,,,,,,,,38730.5,38209.5,30978.0,41190.0,50934.0,34996.0,Cyp2a12 Cytochrome P450 2A12
42,Q9Z2Z6,Slc25a20,13176.5,21369.75,8849.25,8198.25,8803.75,13474.5,11986.25,14601.75,22777.5,24423.0,27148.0,29419.0,32738.0,25082.5,Slc25a20 Mitochondrial carnitine/acylcarnitine carrier protein
43,P16331,Pah,,,,,,,,,29875.75,31324.5,29571.0,24403.0,27314.5,28439.25,Pah Phenylalanine-4-hydroxylase
44,P35278,Rab5c,3190.0,4425.5,2362.75,3241.5,1899.5,3551.5,1334.0,2526.5,17943.0,17357.0,13731.0,25886.0,23262.0,17546.0,Rab5c Ras-related protein Rab-5C
45,Q03265,Atp5a1,12831.5,17603.0,9130.25,10048.5,8548.25,13032.0,9230.0,12996.5,35562.25,35700.5,30687.75,31972.5,37654.0,29895.5,"Atp5a1 ATP synthase subunit alpha, mitochondrial"
46,P54869,Hmgcs2,5266.75,10705.75,6693.25,11279.5,5190.0,8257.5,5406.0,12763.75,30757.25,36097.75,37913.0,30470.5,34318.0,30900.0,"Hmgcs2 Hydroxymethylglutaryl-CoA synthase, mitochondrial"
47,S4R1W1,Gm3839,27481.25,44762.75,16852.0,25245.0,17111.0,33502.5,17294.5,24403.5,14934.25,15104.75,15877.5,25817.0,17008.5,26510.25,Gm3839 Glyceraldehyde-3-phosphate dehydrogenase
48,P62264,Rps14,4189.75,7160.5,3316.0,4472.0,2393.5,6334.5,3172.5,4955.75,18792.5,17861.0,17253.75,23320.5,22511.5,18346.5,Rps14 40S ribosomal protein S14
49,Q8BFR5,Tufm,8855.5,12087.25,7187.0,8065.0,6983.0,13571.5,6878.0,10573.0,31627.5,26830.5,20814.5,20233.0,31478.0,16008.5,"Tufm Elongation factor Tu, mitochondrial"
50,P51410,Rpl9,3321.25,8046.0,2633.25,4348.5,5644.5,7321.0,3228.0,4853.75,45974.0,53361.5,38287.0,59454.0,41959.0,45715.0,Rpl9 60S ribosomal protein L9
51,Q8VC30,Tkfc,2007.25,4822.25,1335.0,2795.25,1591.75,5609.75,2306.5,5512.5,29823.0,28413.5,27062.5,27958.0,34393.0,26294.5,Tkfc Triokinase/FMN cyclase
52,P12710,Fabp1,,,,,,,,,59586.5,48462.0,22423.5,24860.0,35571.0,36559.5,"Fabp1 Fatty acid-binding protein, liver"
53,Q9DCX2,Atp5h,2266.5,6052.5,2810.5,6211.0,2307.5,2493.5,1898.25,5510.25,21791.25,23041.0,17283.5,20570.5,19679.5,18943.5,"Atp5h ATP synthase subunit d, mitochondrial"
54,Q99K67,Aass,,,,,,,,,33125.5,27684.0,33691.0,36273.0,27872.0,28471.5,"Aass Alpha-aminoadipic semialdehyde synthase, mitochondrial"
55,Q02819,Nucb1,1743.0,35309.75,1763.0,23002.5,1361.75,22736.0,1422.5,23231.5,52658.5,56557.25,28937.0,14574.0,6287.5,3581.75,Nucb1 Nucleobindin-1
56,Q9R0M6,Rab9a,6644.5,11505.0,3774.75,4237.5,4623.0,11678.5,3165.25,5876.0,29175.0,24041.5,26277.5,27459.0,27683.0,20930.0,Rab9a Ras-related protein Rab-9A
57,Q91VS7,Mgst1,9577.25,24509.0,9641.25,23653.75,4552.5,9813.0,12962.0,32968.0,24599.25,29817.75,24361.75,31280.0,32953.5,26061.5,Mgst1 Microsomal glutathione S-transferase 1
58,Q9WVL0,Gstz1,7818.0,11960.5,3487.0,5225.5,4780.0,6846.0,6376.0,12281.5,37217.5,30685.75,34040.5,39249.0,41751.0,27742.5,Gstz1 Maleylacetoacetate isomerase
59,P00329,Adh1,7062.25,13371.5,4885.0,8220.75,5370.5,10151.75,6454.0,13396.25,67528.5,52255.0,40190.0,50178.0,62532.0,38913.5,Adh1 Alcohol dehydrogenase 1
60,P60335,Pcbp1,3922.75,7237.5,2728.75,4994.5,2754.25,6298.0,3250.0,6875.0,15092.5,12462.25,11246.0,22609.5,18873.0,16601.75,Pcbp1 Poly(rC)-binding protein 1
61,P63038,Hspd1,4189.5,9865.5,3734.5,7947.5,4214.75,10699.25,3938.0,9464.0,35732.0,35015.25,32179.5,33885.0,37024.5,29340.25,"Hspd1 60 kDa heat shock protein, mitochondrial"
62,P20152,Vim,5251.0,10826.0,4107.0,7902.0,3400.5,14913.0,4138.0,11529.25,12839.0,19207.5,11687.5,32588.0,33086.0,24488.5,Vim Vimentin
63,Q99JY0,Hadhb,9208.25,14656.25,6765.0,13221.0,6703.0,17354.75,5384.5,8441.25,41627.0,42093.0,35386.0,37997.0,42339.0,32599.0,"Hadhb Trifunctional enzyme subunit beta, mitochondrial"
64,P61021,Rab5b,4399.25,5497.5,1837.5,1832.5,7067.0,10376.0,4282.5,10048.75,10061.75,8748.5,9840.25,13615.5,13206.0,11183.75,Rab5b Ras-related protein Rab-5B
65,P60710,Actb,3799.75,7495.5,3286.0,7233.5,3420.0,14392.5,2402.75,6777.0,20942.0,13899.5,12893.0,29551.0,20845.0,17505.5,"Actb Actin, cytoplasmic 1"
66,Q9D1G1,Rab1b,5870.5,8225.75,3859.0,4151.0,3497.0,4993.0,3661.0,6582.0,17529.0,18461.0,12829.5,18466.5,23011.5,15483.0,Rab1b Ras-related protein Rab-1B
67,P51881,Slc25a5,18745.25,26189.5,6336.5,5615.75,21432.0,22213.0,8245.5,10840.0,42669.0,38514.0,36484.0,43570.0,43562.0,35180.5,Slc25a5 ADP/ATP translocase 2
68,Q6P5E4,Uggt1,1729.25,34044.5,1616.0,20861.25,1387.5,21023.0,1401.0,31866.5,48126.0,37774.25,30140.75,24128.0,6765.0,2964.75,Uggt1 UDP-glucose:glycoprotein glucosyltransferase 1
69,Q9QZD8,Slc25a10,18729.75,33078.75,5939.5,8112.0,13296.5,16397.5,6287.5,9036.0,60215.25,56213.0,55513.5,54693.5,63981.5,54512.5,Slc25a10 Mitochondrial dicarboxylate carrier
70,Q63880,Ces3a,,,,,,,,,36111.5,24891.5,21257.0,12700.5,2393.5,0.0,Ces3a Carboxylesterase 3A
71,P00375,Dhfr,5344.25,8881.75,2303.75,2592.5,7395.75,12836.25,2665.5,5061.75,33615.5,28141.0,26362.5,30582.0,38358.0,20216.0,Dhfr Dihydrofolate reductase
72,P50544,Acadvl,6764.0,14974.5,4087.5,8130.0,3867.75,8799.75,3081.0,6997.5,30111.25,37264.5,37632.75,40533.5,32838.0,37152.75,"Acadvl Very long-chain specific acyl-CoA dehydrogenase, mitochondrial"
73,Q99LC3,Ndufa10,5230.5,7983.75,4468.5,9980.0,2908.0,5049.5,3487.5,6900.5,27333.0,26579.0,21295.0,25625.0,29187.0,25490.0,Ndufa10 NADH dehydrogenase
74,P62830,Rpl23,10030.5,17727.5,8418.0,8014.75,6633.5,12847.5,9019.75,11923.0,55801.0,51341.75,51796.25,58426.5,70264.5,40048.0,Rpl23 60S ribosomal protein L23
75,P27773,Pdia3,2144.25,36880.5,2625.75,30897.0,1619.25,23678.25,1328.75,31440.25,100637.5,71867.25,44001.25,32037.5,14466.5,10023.0,Pdia3 Protein disulfide-isomerase A3
76,Q8BMS1,Hadha,7478.25,13037.0,3431.25,11219.0,6698.25,12061.0,5367.0,6018.0,38960.5,36729.0,28269.5,31306.0,39897.0,24068.5,"Hadha Trifunctional enzyme subunit alpha, mitochondrial"
77,P67984,Rpl22,2854.25,7109.75,2171.75,6168.25,3033.0,10143.0,4212.75,8956.0,13251.0,12226.75,12844.25,17291.5,16527.5,15493.25,Rpl22 60S ribosomal protein L22
78,Q8R0Y6,Aldh1l1,2562.5,6694.25,1995.75,7575.5,1102.25,8634.25,1133.25,6203.5,41233.0,27506.0,19358.0,36512.0,35362.0,31340.0,Aldh1l1 Cytosolic 10-formyltetrahydrofolate dehydrogenase
79,P09103,P4hb,1708.5,28024.5,1334.0,31123.75,1328.0,28096.25,1342.0,39693.0,115985.75,97638.0,62278.75,49969.5,12260.5,7599.5,P4hb Protein disulfide-isomerase
80,Q9Z2I9,Sucla2,10004.0,16372.25,7385.75,21300.5,6241.75,10387.75,5553.5,13806.25,35489.0,32577.25,30427.75,31671.0,42361.5,28702.75,Sucla2 Succinate--CoA ligase
81,Q8VCR2,Hsd17b13,,,,,,,,,33412.5,35402.0,28193.25,24366.0,29577.0,30955.0,Hsd17b13 17-beta-hydroxysteroid dehydrogenase 13
82,Q8VCH0,Acaa1b,,,,,,,,,17426.0,10926.0,7524.5,4054.0,13481.0,8146.5,"Acaa1b 3-ketoacyl-CoA thiolase B, peroxisomal"
83,Q9D6M3,Slc25a22,6446.25,9094.5,4513.75,3032.5,5519.5,8843.0,3768.25,4773.0,16135.25,15063.75,14903.75,15585.5,19344.0,15441.25,Slc25a22 Mitochondrial glutamate carrier 1
84,Q9CZE3,Rab32,6060.0,7572.75,3477.0,4539.25,2977.5,4581.0,2065.75,4821.0,14712.0,10004.5,8105.0,16263.0,15345.0,12215.5,Rab32 Ras-related protein Rab-32
85,Q3UNZ8,Quinone,7884.0,12855.5,9959.75,8951.75,2699.5,4580.5,3884.0,7719.0,21035.0,18262.25,16986.5,19270.0,24068.5,18349.75,Quinone oxidoreductase-like protein 2
86,Q9WV68,Decr2,4209.75,7971.75,3555.0,7103.5,1869.25,5960.25,1791.75,5693.0,41381.25,33216.0,29439.75,21725.5,35418.5,23666.0,"Decr2 Peroxisomal 2,4-dienoyl-CoA reductase"
87,P62281,Rps11,18527.5,32823.75,9332.0,8512.5,9837.75,18917.25,8536.25,20397.25,54428.0,44891.75,44175.5,58766.5,62824.5,45513.75,Rps11 40S ribosomal protein S11
88,Q61176,Arg1,13838.5,15021.0,1389.0,1224.0,7867.75,11528.5,2903.5,6064.5,46717.5,28720.5,18735.5,48111.0,23831.0,26739.5,Arg1 Arginase-1
89,Q922D8,Mthfd1,4269.5,11576.0,2853.5,6643.5,3933.0,10045.75,2314.5,8016.5,36023.0,28411.5,23597.0,23992.0,31528.0,20078.5,"Mthfd1 C-1-tetrahydrofolate synthase, cytoplasmic"
90,Q921I1,Tf,1488.0,4274.5,1035.5,3658.5,0.0,3870.0,632.5,4241.0,175462.5,115059.0,45462.0,139164.0,18472.0,8022.5,Tf Serotransferrin
91,Q61990,Pcbp2,4389.5,7198.75,2866.25,3959.75,3370.0,7836.25,3265.75,6807.0,12792.5,11425.0,10732.5,20377.0,14855.0,15079.0,Pcbp2 Poly(rC)-binding protein 2
92,Q07417,Acads,5899.0,10991.0,3250.5,5835.0,5452.75,9305.25,3284.0,5978.0,40967.0,39556.0,41750.0,56688.0,50010.0,43146.0,"Acads Short-chain specific acyl-CoA dehydrogenase, mitochondrial"
93,Q9QXX4,Slc25a13,1304.0,2932.0,,,1994.0,4122.5,623.0,2085.0,26484.25,29924.25,28157.0,38358.0,39243.0,37738.25,Slc25a13 Calcium-binding mitochondrial carrier protein Aralar2
94,Q60932,Vdac1,4081.0,5185.5,3746.5,15888.25,2720.0,4703.0,4841.25,14001.75,19329.0,25898.0,25992.0,29617.0,23794.0,22698.0,Vdac1 Voltage-dependent anion-selective channel protein 1
95,P97872,Fmo5,5234.0,11451.75,4009.75,9554.5,4342.75,10753.75,5491.0,15047.75,50431.5,38037.5,32777.0,33493.0,37818.0,33475.5,Fmo5 Dimethylaniline monooxygenase
96,Q922B2,Dars,4325.5,9617.25,3340.75,7769.0,3797.0,11902.5,4879.5,8993.0,34180.5,30000.0,28079.0,36184.0,40044.0,28883.0,"Dars Aspartate--tRNA ligase, cytoplasmic"
97,Q9WTP7,Ak3,9714.25,16785.75,5694.0,10882.5,6006.0,9288.0,5960.75,7868.0,22097.0,18241.5,21069.5,22226.0,22274.0,17733.0,"Ak3 GTP:AMP phosphotransferase AK3, mitochondrial"
98,Q9CQU0,Txndc12,1581.0,37676.0,1891.25,11398.0,1339.75,22503.0,1194.0,21645.25,78117.5,60590.0,49263.5,24070.0,7030.0,4383.5,Txndc12 Thioredoxin domain-containing protein 12
99,P20918,Plg,4209.5,10533.0,4011.0,14301.5,3335.0,25497.0,2094.0,12186.5,40680.0,33282.25,19512.5,18739.5,13454.5,7631.75,Plg Plasminogen
100,Q6GQT9,Nomo1,1772.0,27206.5,1301.25,20434.75,1257.0,14487.25,1094.5,21806.25,46371.25,34537.5,29522.25,16609.5,5633.5,3846.75,Nomo1 Nodal modulator 1
101,P51660,Hsd17b4,3392.5,18233.0,2846.75,7328.75,1884.0,13895.0,3880.75,10532.0,26310.0,20326.25,15424.0,18649.0,22764.5,19233.25,Hsd17b4 Peroxisomal multifunctional enzyme type 2
102,Q8BH00,Aldh8a1,,,,,,,,,29562.5,29926.0,24453.5,28936.0,31295.0,26855.0,Aldh8a1 Aldehyde dehydrogenase family 8 member A1
103,P62702,Rps4x,4026.0,10453.25,2960.0,4559.5,2722.25,6880.0,1760.75,4702.25,19660.5,20866.5,17699.0,25026.0,22346.0,20651.0,"Rps4x 40S ribosomal protein S4, X isoform"
104,Q9R112,Sqrdl,7440.0,11597.5,6221.0,5773.5,5536.5,9900.0,6209.0,7774.5,39920.0,31941.5,16365.75,22116.5,30338.5,22119.75,"Sqrdl Sulfide:quinone oxidoreductase, mitochondrial"
105,Q8BGT5,Gpt2,4567.75,8371.0,1718.25,4783.75,4871.0,7608.5,1659.5,4221.0,29566.25,30942.25,43833.75,33751.0,27735.0,25307.0,Gpt2 Alanine aminotransferase 2
106,Q9D7B6,Acad8,4636.5,10593.0,3891.75,8403.75,2638.5,4905.25,3143.0,9618.5,41789.5,37663.5,37419.0,38178.0,42653.0,29764.5,"Acad8 Isobutyryl-CoA dehydrogenase, mitochondrial"
107,P20029,Hspa5,1823.0,21198.0,1440.0,20706.5,1348.25,18692.75,1273.0,15437.5,62864.0,57302.5,33355.5,42078.0,19036.5,11874.75,Hspa5 78 kDa glucose-regulated protein
108,P48962,Slc25a4,12884.0,21436.5,4213.0,10327.75,19386.0,16198.5,11738.5,10767.0,24768.5,30171.0,20053.5,32462.0,24099.0,24071.0,Slc25a4 ADP/ATP translocase 1
109,Q8VCU1,Ces3b,,,,,,,,,82780.0,65178.0,47861.0,29622.0,7623.0,3608.0,Ces3b Carboxylesterase 3B
110,Q64282,Ifit1,7007.0,12410.0,7348.75,8831.75,3650.75,5640.75,3937.5,4798.75,7343.5,7607.0,6074.0,61559.0,12514.0,24295.0,Ifit1 Interferon-induced protein with tetratricopeptide repeats 1
111,Q60930,Vdac2,8075.5,11406.0,8102.0,15895.0,4167.25,11292.0,6973.75,15889.75,22313.0,44444.0,23037.0,35590.0,34340.0,27344.5,Vdac2 Voltage-dependent anion-selective channel protein 2
112,P62821,Rab1A,7078.0,14433.25,5427.5,7260.25,5135.0,12434.0,7153.5,11022.5,43174.25,39305.25,38076.5,48851.5,52082.5,45482.75,Rab1A Ras-related protein Rab-1A
113,Q6ZWZ6,Rps12-ps3,6586.0,15387.5,7868.25,9748.5,6439.0,17605.5,7648.0,16204.75,17429.75,22461.75,18663.25,29830.0,19954.0,22505.0,Rps12-ps3 40S ribosomal protein S12
114,P50171,Hsd17b8,2686.0,5558.5,3173.25,4644.5,1905.0,4320.0,2353.0,4677.5,21524.5,22760.25,18377.25,22919.0,27125.0,21349.25,Hsd17b8 Estradiol 17-beta-dehydrogenase 8
115,Q9DD20,Mettl7b,,,,,,,,,31116.75,29222.25,21678.25,16766.0,27644.5,18100.25,Mettl7b Methyltransferase-like protein 7B
116,P62827,Ran,11484.0,23481.0,,,10883.0,25311.5,13320.0,24035.0,80350.25,87155.25,75509.75,101454.5,90421.5,78432.0,Ran GTP-binding nuclear protein Ran
117,Q8VCW8,Acsf2,5352.0,9949.0,4272.0,7501.5,3923.5,6305.0,2017.0,3162.0,32413.5,28748.75,29389.25,31705.5,37814.5,27808.5,"Acsf2 Acyl-CoA synthetase family member 2, mitochondrial"
118,Q91VB8,Hba-a2,7377.75,22599.25,10278.75,19890.0,2362.5,9267.0,3531.0,12854.5,50475.5,56884.25,34109.5,49554.5,36347.5,44978.0,Hba-a2 Hemoglobin subunit alpha
119,Q8BK64,Ahsa1,3977.75,6416.0,2992.5,4194.5,3010.0,5506.25,2143.25,3702.25,29943.5,24393.0,17858.0,24307.0,35138.5,24634.0,Ahsa1 Activator of 90 kDa heat shock protein ATPase homolog 1
120,Q63836,Selenbp2,,,,,,,,,22048.0,25748.5,19930.0,28825.0,27857.0,22646.5,Selenbp2 Selenium-binding protein 2
121,P60843,Eif4a1,5990.75,10497.75,5543.25,6371.5,5060.25,11254.0,5706.0,7433.0,18291.5,16673.75,19347.5,25599.5,24923.5,18002.25,Eif4a1 Eukaryotic initiation factor 4A-I
122,Q8VCT4,Ces1d,2660.75,61089.75,2171.0,61074.0,1767.25,24958.5,1571.25,43083.75,146390.5,101350.5,52572.0,18770.0,9557.0,5389.5,Ces1d Carboxylesterase 1D
123,P35293,Rab18,6412.5,16515.25,4686.0,6137.75,4312.75,8655.25,5590.5,10963.5,53123.5,51372.0,35413.5,66135.0,56851.0,46010.5,Rab18 Ras-related protein Rab-18
124,Q91ZV0,Mia2,,,,,,,,,28243.25,28706.0,24792.75,16023.5,3768.5,1190.0,Mia2 Melanoma inhibitory activity protein 2
125,P97807,Fh,10811.0,19161.25,7713.25,19407.0,7237.0,11729.5,3473.25,10709.25,20606.75,19667.75,19307.25,26519.0,20275.5,21805.25,"Fh Fumarate hydratase, mitochondrial"
126,Q8VCM7,Fgg,5228.25,14403.5,2509.0,18047.5,2990.75,12905.75,4895.25,16698.75,46152.5,33220.5,30171.25,54601.5,11053.5,6693.5,Fgg Fibrinogen gamma chain
127,P63017,Hspa8,8391.0,21112.25,6413.25,11894.0,6459.0,28316.75,5708.0,18066.75,68061.25,63674.25,51328.75,73711.5,84447.0,54994.75,Hspa8 Heat shock cognate 71 kDa protein
128,Q80XN0,Bdh1,,,,,,,,,40735.25,33826.0,30371.75,30242.5,39507.0,24681.25,"Bdh1 D-beta-hydroxybutyrate dehydrogenase, mitochondrial"
129,O08601,Mttp,1799.0,16493.25,1395.75,22609.5,1234.25,17145.0,1109.25,23043.5,62451.0,69142.5,33838.0,22150.0,8912.0,5637.0,Mttp Microsomal triglyceride transfer protein large subunit
130,Q64516,Gk,4457.75,8888.0,1253.0,2747.0,5604.5,13261.5,2866.5,5261.0,24234.25,23628.25,21968.25,25292.5,28479.5,20800.25,Gk Glycerol kinase
131,Q91YW3,Dnajc3,1736.0,32542.5,1746.5,15431.75,1323.0,16781.5,1169.75,14235.5,61551.5,43327.5,27654.0,25450.0,8077.0,4863.5,Dnajc3 DnaJ homolog subfamily C member 3
132,Q9QXD6,Fbp1,,,,,,,,,41230.5,29623.75,26109.5,36222.0,25368.0,32471.75,"Fbp1 Fructose-1,6-bisphosphatase 1"
133,P10126,Eef1a1,9589.25,24090.75,8587.25,13539.0,8066.0,25448.25,9625.5,22108.5,34106.75,25880.25,23559.25,31954.0,40259.0,21342.25,Eef1a1 Elongation factor 1-alpha 1
