,uniprot,protein,iWAT_HF_cre-,iWAT_HF_cre+,iWAT_chow_cre-,iWAT_chow_cre+,eWAT_HF_cre-,eWAT_HF_cre+,eWAT_chow_cre-,eWAT_chow_cre+,ctrl_turbo(-),LPS_turbo(-),fast_turbo(-),ctrl_turbo(+),LPS_turbo(+),fast_turbo(+),description
992,P16330,Cnp,6181.25,12908.75,6980.5,14523.0,3685.0,9393.75,3444.5,7761.25,30683.0,28783.5,23355.0,38384.0,46357.0,28316.5,"Cnp 2',3'-cyclic-nucleotide 3'-phosphodiesterase"
993,Q61133,Gstt2,8061.5,12947.5,10593.0,20744.0,2414.0,5180.0,1736.5,5347.0,56209.0,48922.5,50553.25,53780.0,57702.5,61570.0,Gstt2 Glutathione S-transferase theta-2
994,P19258,Mpv17,,,,,,,,,173787.0,167589.5,149238.5,189166.0,205876.0,160148.0,Mpv17 Protein Mpv17
995,Q811U4,Mfn1,2451.0,3794.0,796.75,934.5,1656.5,3884.0,446.0,942.0,49573.75,38871.5,34257.25,48827.0,51242.5,36562.25,Mfn1 Mitofusin-1
996,O55135,Eif6,4627.0,7217.0,761.5,689.0,4712.0,8121.5,2476.5,5672.0,7644.0,8665.0,13240.0,10386.0,11011.5,10624.0,Eif6 Eukaryotic translation initiation factor 6
997,P46935,Nedd4,2105.75,8467.0,1971.25,5397.25,2453.25,8096.0,2702.5,8028.0,17624.5,17149.0,19127.25,18914.0,20994.5,15913.25,Nedd4 E3 ubiquitin-protein ligase NEDD4
998,E9Q8B5,Gm4788,3010.25,4738.5,,,2049.0,3334.5,,,35545.25,29116.5,12722.25,17362.5,8005.5,4579.25,Gm4788 Protein Gm4788
999,Q8BP47,Nars,4317.0,8320.0,2910.75,6401.25,3009.5,11298.0,2881.5,6652.0,15458.5,15536.5,16279.5,17889.0,19096.0,17621.5,"Nars Asparagine--tRNA ligase, cytoplasmic"
1000,Q921F4,Hnrnpll,8382.5,13926.5,5016.25,9473.5,3790.5,6685.5,3406.75,7319.5,17962.0,16811.5,17472.5,23212.0,18376.0,16859.5,Hnrnpll Heterogeneous nuclear ribonucleoprotein L-like
1001,Q91ZJ5,Ugp2,2631.75,9347.0,1966.25,8895.0,1814.0,6197.75,1518.0,8264.5,99987.0,75842.75,52449.75,60868.5,76801.5,49621.75,Ugp2 UTP--glucose-1-phosphate uridylyltransferase
1002,Q3U6U5,Gtpbp6,3505.0,6354.0,,,1307.0,4055.0,,,16459.5,14272.75,11171.25,15563.5,15504.0,12572.25,Gtpbp6 Putative GTP-binding protein 6
1003,Q99J39,Mlycd,3730.5,8903.5,3400.25,6457.75,2034.0,5181.0,1945.0,4390.5,14138.5,12542.5,12109.0,13722.0,15068.0,12856.0,"Mlycd Malonyl-CoA decarboxylase, mitochondrial"
1004,Q9CQZ5,Ndufa6,7269.75,11392.25,2810.0,5544.25,3710.0,7751.25,2307.0,4799.5,23717.0,20019.5,21880.5,20652.5,23748.0,17443.5,Ndufa6 NADH dehydrogenase
1005,Q8BG51,Rhot1,1887.5,3931.5,1565.5,1998.0,1649.75,3625.75,1452.5,2977.75,28179.5,28590.0,25797.0,27905.0,26510.0,24988.5,Rhot1 Mitochondrial Rho GTPase 1
1006,Q920L1,Fads1,2808.5,8909.0,,,5220.5,11341.5,4490.0,8483.0,17086.5,19812.0,10880.5,17550.0,18304.0,9992.5,Fads1 Fatty acid desaturase 1
1007,P06728,Apoa4,5261.0,12233.5,3940.5,13078.0,1904.75,11038.25,2208.75,11890.25,14021.0,58627.5,34573.0,27814.0,10090.0,5815.5,Apoa4 Apolipoprotein A-IV
1008,Q9ERL7,Gmfg,2672.0,6797.0,,,3452.0,7305.0,,,10687.0,8105.75,7408.0,12716.5,11028.0,8133.5,Gmfg Glia maturation factor gamma
1009,Q78IK2,Usmg5,5339.5,10917.25,2234.75,3248.0,5104.5,8122.75,1822.25,4362.5,25590.0,25099.5,27958.0,23504.0,28601.0,19149.5,Usmg5 Up-regulated during skeletal muscle growth protein 5
1010,E9Q4K7,Kif13b,5910.25,16180.0,2910.75,6496.0,3462.75,9604.75,3152.5,6972.5,20875.25,19694.0,19564.5,25705.5,28083.5,20196.25,Kif13b Protein Kif13b
1011,Q91VR5,Ddx1,4029.75,12545.0,2343.0,5087.75,2530.5,10353.5,2232.5,5721.0,15972.5,14686.5,13576.0,15672.0,17985.0,15186.0,Ddx1 ATP-dependent RNA helicase DDX1
1012,Q5BL07,Pex1,2774.5,8425.0,2432.0,5538.25,950.25,4148.0,1144.0,3970.75,18513.5,16011.25,10042.0,11596.0,18781.5,13856.25,Pex1 Peroxisome biogenesis factor 1
1013,Q99M87,Dnaja3,5211.5,7565.0,3204.25,7444.5,3770.5,7682.5,2849.5,4777.5,14481.0,13194.0,15463.0,16699.0,16144.0,20834.0,"Dnaja3 DnaJ homolog subfamily A member 3, mitochondrial"
1014,Q9DCV7,Krt7,1901.5,2471.0,467.0,1620.0,3947.25,9087.0,6267.5,10103.5,9450.5,7554.5,7105.5,25424.0,32872.0,17436.5,"Krt7 Keratin, type II cytoskeletal 7"
1015,Q8BQ47,Cnpy4,1891.0,31223.5,1976.25,16816.5,1646.5,17332.5,1449.25,26920.25,75123.5,66517.0,35140.0,23327.0,9912.0,6010.0,Cnpy4 Protein canopy homolog 4
