uniprot_id,description,pep_num,annotation,alb_turbo(+)_1,alb_turbo(+)_2,alb_turbo(+)_3,alb_turbo(-)_1,alb_turbo(-)_2,adip_turbo(+)_1,adip_turbo(+)_2,adip_turbo(+)_3,adip_turbo(-)_1,adip_turbo(-)_2,CD19_turbo(+)_1,CD19_turbo(+)_2,CD19_turbo(+)_3,CD19_turbo(+)_4,CD19_turbo(-)_1,CD19_turbo(-)_2
E9QKE4,Rab3gap2 Rab3 GTPase-activating protein non-catalytic subunit,3,,48908.0,54708.0,44448.0,63016.0,30381.0,26709.0,40412.0,29605.0,15553.0,22064.0,4037.0,6180.0,5681.0,6144.0,2712.0,5225.0
E9Q238,Kank1 Protein Kank1,1,,27501.0,17313.0,33860.0,20520.0,17277.0,24908.0,50456.0,30943.0,11058.0,13777.0,55.0,1790.0,1985.0,1695.0,0.0,0.0
B2RXQ2,Ppfia1 Protein Ppfia1,2,,28471.0,19302.0,29198.0,20959.0,14754.0,16472.0,17316.0,9823.0,12182.0,16415.0,659.0,2765.0,4884.0,1405.0,0.0,718.0
O08808,Diaph1 Protein diaphanous homolog 1,3,FP,251047.0,264086.0,247279.0,177723.0,125153.0,73123.0,112047.0,58078.0,99465.0,120886.0,21333.0,34449.0,56364.0,36508.0,11194.0,22937.0
O88343,Slc4a4 Electrogenic sodium bicarbonate cotransporter 1,2,,179717.0,191231.0,188242.0,141700.0,101648.0,22341.0,31762.0,19389.0,19434.0,25005.0,3589.0,4928.0,6639.0,7266.0,1862.0,3562.0
Q8R5F7,Ifih1 Interferon-induced helicase C domain-containing protein 1,2,FP,109297.0,83040.0,122378.0,121468.0,76312.0,27669.0,33180.0,20592.0,20537.0,23682.0,3696.0,8086.0,11044.0,5252.0,2980.0,6150.0
Q8VD75,Hip1 Huntingtin-interacting protein 1,2,FP,43900.0,32880.0,45202.0,39705.0,24242.0,43010.0,65922.0,52787.0,45365.0,99750.0,5188.0,20444.0,16911.0,11140.0,4917.0,6835.0
Q3UVK0,Ermp1 Endoplasmic reticulum metallopeptidase 1,2,TP,76274.0,68968.0,80834.0,49518.0,40785.0,124610.0,248442.0,163707.0,28486.0,59502.0,3382.0,8392.0,11599.0,8898.0,2114.0,2532.0
Q80YV4,Pank4 Pantothenate kinase 4,2,,50966.0,38136.0,70424.0,51280.0,32936.0,17501.0,30188.0,15447.0,20449.0,25630.0,5886.0,7332.0,9158.0,10621.0,3617.0,5654.0
Q80X80,C2cd2l C2 domain-containing protein 2-like,1,TP,13047.0,6950.0,14170.0,10052.0,7387.0,2547.0,4916.0,5809.0,3010.0,4711.0,589.0,1579.0,1765.0,1388.0,0.0,1304.0
Q32NY4,Cnnm3 Metal transporter CNNM3,2,,37659.0,33065.0,46386.0,33572.0,20459.0,34734.0,45268.0,28380.0,37030.0,51630.0,4385.0,4387.0,11796.0,5459.0,1611.0,2784.0
Q9DBR3,Armc8 Armadillo repeat-containing protein 8,1,FP,11543.0,7792.0,11365.0,8174.0,5448.0,4191.0,8697.0,5544.0,6347.0,8404.0,2148.0,6038.0,2447.0,3365.0,1605.0,1235.0
Q8VCW4,Unc93b1 Protein unc-93 homolog B1,1,TP,12609.0,10983.0,15766.0,18962.0,13437.0,3152.0,15176.0,7169.0,9741.0,12970.0,12738.0,17618.0,28017.0,15077.0,4787.0,4954.0
Q8QZY1,Eif3l Eukaryotic translation initiation factor 3 subunit L,1,,81794.0,120108.0,75677.0,105584.0,51603.0,48434.0,74897.0,48024.0,50386.0,85810.0,12705.0,89964.0,32897.0,29944.0,9193.0,17441.0
P43006,Slc1a2 Excitatory amino acid transporter 2,1,,26125.0,18146.0,24711.0,10823.0,11297.0,1623.0,2920.0,1551.0,1970.0,2272.0,0.0,0.0,0.0,1010.0,0.0,702.0
Q9JMC8,Epb41l4b Band 4.1-like protein 4B,1,,60643.0,51203.0,76941.0,34426.0,30232.0,10616.0,11069.0,6466.0,7571.0,7868.0,2147.0,1634.0,4607.0,2280.0,0.0,1992.0
Q9DBA6,Tysnd1 Peroxisomal leader peptide-processing protease,1,,320020.0,277275.0,373167.0,275206.0,168848.0,54999.0,55369.0,33141.0,45410.0,45013.0,8708.0,7689.0,14033.0,13937.0,3007.0,7416.0
Q3T9X0,Slc2a9 Protein Slc2a9,1,,251379.0,212275.0,268192.0,169354.0,157933.0,2515.0,12555.0,3983.0,7945.0,7686.0,1565.0,2302.0,3078.0,2226.0,743.0,2189.0
Q9CYP7,Sesn3 Sestrin-3,1,,6203.0,5187.0,5779.0,6957.0,2315.0,3726.0,2595.0,1657.0,3912.0,2809.0,0.0,832.0,862.0,0.0,0.0,764.0
Q8BZX4,Srek1 Splicing regulatory glutamine/lysine-rich protein 1,1,FP,24458.0,19061.0,27304.0,16160.0,17275.0,21980.0,25399.0,11814.0,19492.0,29873.0,16052.0,16791.0,17608.0,11597.0,12189.0,14791.0
Q8C5P5,Nt5dc1 5'-nucleotidase domain-containing protein 1,1,,109473.0,80299.0,117791.0,88143.0,87858.0,82403.0,101471.0,42827.0,104563.0,77156.0,18772.0,19905.0,44434.0,25057.0,18258.0,23808.0
Q99JR5,Tinagl1 Tubulointerstitial nephritis antigen-like,1,TP,4145.0,12268.0,10173.0,38827.0,5741.0,1937.0,3359.0,1405.0,0.0,1958.0,0.0,1451.0,1018.0,0.0,0.0,0.0
O70422,Gtf2h4 General transcription factor IIH subunit 4,1,FP,9174.0,9039.0,11484.0,9650.0,7574.0,4099.0,6013.0,4033.0,4627.0,3887.0,1254.0,1539.0,2929.0,1433.0,674.0,1161.0
Q8CFD4,Snx8 Sorting nexin-8,1,,78383.0,56331.0,84445.0,66108.0,43184.0,28322.0,47659.0,21172.0,41871.0,39614.0,3639.0,7231.0,9220.0,3449.0,1778.0,4452.0
P97785,Gfra1 GDNF family receptor alpha-1,1,,57778.0,50618.0,60949.0,28014.0,20087.0,12196.0,15221.0,9450.0,10666.0,13244.0,3017.0,2594.0,3198.0,5172.0,982.0,3937.0
Q8VHI3,Pofut2 GDP-fucose protein O-fucosyltransferase 2,1,TP,4770.0,2374.0,5375.0,2079.0,5703.0,34950.0,93851.0,72678.0,1428.0,4255.0,927.0,1483.0,4232.0,2490.0,0.0,0.0
