uniprot_id,description,pep_num,annotation,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4,ctrl_turbo(-)_1,ctrl_turbo(-)_2,fast_turbo(-)_1,fast_turbo(-)_2,LPS_turbo(-)_1,LPS_turbo(-)_2
O35704,Sptlc1 Serine palmitoyltransferase 1,1,TP,10012.0,8623.0,10186.0,8440.0,4615.0,8672.0,11283.0,9210.0,16552.0,13139.0,13103.0,12034.0,9814.0,8899.0,8358.0,10319.0
A0A0A6YVU8,Gm9774 Protein Gm9774,1,FP,10967.0,12659.0,14229.0,8655.0,8608.0,11322.0,14586.0,10784.0,15153.0,13047.0,9764.0,13761.0,16738.0,11654.0,7385.0,11212.0
P32233,Drg1 Developmentally-regulated GTP-binding protein 1,1,FP,3925.0,3322.0,3469.0,3191.0,924.0,3342.0,3932.0,4156.0,5326.0,4932.0,4520.0,3488.0,4213.0,4161.0,3813.0,6073.0
Q8BGR9,Ublcp1 Ubiquitin-like domain-containing CTD phosphatase 1,1,FP,7064.0,5811.0,6051.0,7480.0,3570.0,7756.0,6440.0,6967.0,10041.0,7210.0,6401.0,5410.0,10354.0,7302.0,4123.0,6826.0
Q8BNX1,Clec4g C-type lectin domain family 4 member G,1,,30933.0,36763.0,28951.0,39110.0,20729.0,26051.0,29399.0,32779.0,44950.0,30003.0,40250.0,58285.0,32568.0,29253.0,28096.0,40409.0
Q61292,Lamb2 Laminin subunit beta-2,2,TP,5047.0,5572.0,8309.0,3206.0,6181.0,5180.0,7215.0,6440.0,11618.0,10588.0,4176.0,7530.0,6018.0,2283.0,31916.0,10432.0
P15208,Insr Insulin receptor,2,,31044.0,36461.0,39533.0,27413.0,22582.0,35219.0,19376.0,18550.0,49121.0,42618.0,13303.0,23062.0,28469.0,18837.0,12797.0,17715.0
Q8C0M0,Wdr59 WD repeat-containing protein 59,3,,100343.0,99894.0,103500.0,70720.0,53761.0,81634.0,97835.0,77262.0,143312.0,129876.0,98331.0,128284.0,101841.0,74783.0,58590.0,66797.0
Q920A7,Afg3l1 AFG3-like protein 1,1,FP,15267.0,14389.0,19541.0,8867.0,15252.0,17664.0,20120.0,14061.0,17687.0,27893.0,13053.0,17379.0,21061.0,22661.0,13769.0,10630.0
Q9R0E1,"Plod3 Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",2,TP,106082.0,144406.0,159532.0,42362.0,48961.0,72034.0,57195.0,37517.0,117731.0,108972.0,18107.0,29191.0,28168.0,21793.0,23071.0,25327.0
Q922H4,Gmppa Mannose-1-phosphate guanyltransferase alpha,1,,42734.0,51508.0,59915.0,39370.0,33983.0,45770.0,49413.0,46289.0,64550.0,60374.0,51115.0,78305.0,75208.0,58803.0,31777.0,53590.0
Q3TC93,Hs1bp3 HCLS1-binding protein 3,1,,23490.0,25953.0,24545.0,18170.0,10826.0,22078.0,22144.0,15755.0,33412.0,28135.0,15979.0,19959.0,24820.0,15124.0,10815.0,15899.0
Q9CZ44,Nsfl1c NSFL1 cofactor p47,1,FP,76412.0,89645.0,54532.0,56469.0,40725.0,62889.0,56187.0,75131.0,85974.0,83782.0,52527.0,72256.0,81933.0,46460.0,35107.0,62759.0
Q921N7,"Tmem70 Transmembrane protein 70, mitochondrial",1,FP,12594.0,15883.0,24535.0,9499.0,10937.0,14654.0,16617.0,13123.0,28544.0,19183.0,11823.0,15364.0,17885.0,17767.0,10529.0,15419.0
P70245,"Ebp 3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase",1,TP,19221.0,18902.0,26825.0,13839.0,13184.0,18721.0,17136.0,16605.0,29789.0,20978.0,17054.0,26147.0,16460.0,18320.0,13857.0,19373.0
Q921H9,Coa7 Cytochrome c oxidase assembly factor 7,1,FP,38606.0,37572.0,48468.0,20517.0,25813.0,28882.0,35698.0,26948.0,53402.0,52005.0,22665.0,27223.0,43332.0,34529.0,20229.0,28899.0
Q9CQA1,Trappc5 Trafficking protein particle complex subunit 5,1,TP,23107.0,22199.0,18052.0,11710.0,10241.0,17602.0,20519.0,20395.0,30310.0,31334.0,14631.0,24458.0,22472.0,17155.0,16610.0,20411.0
Q8CJH3,Plxnb1 Plexin-B1,6,,172567.0,136020.0,193255.0,64074.0,77738.0,84307.0,93567.0,58480.0,221689.0,209491.0,32246.0,48186.0,36393.0,30023.0,19490.0,31133.0
P39447,Tjp1 Tight junction protein ZO-1,5,,29683.0,34265.0,30082.0,10254.0,20524.0,20144.0,18043.0,13853.0,40150.0,35163.0,6062.0,16115.0,20262.0,13758.0,10302.0,11982.0
Q3UMB9,Kiaa1033 WASH complex subunit SWIP,3,,69120.0,81976.0,83277.0,103752.0,43640.0,112433.0,93048.0,64849.0,96489.0,75594.0,124616.0,131882.0,107315.0,75444.0,42682.0,88635.0
P55292,Dsc2 Desmocollin-2,2,,25873.0,28525.0,38140.0,15094.0,13243.0,21494.0,15936.0,10141.0,32482.0,26610.0,12758.0,26458.0,19084.0,15148.0,9920.0,11862.0
