ID #,Uniprot Accession,Entrez ID,Protein Names,Gene Names,Log2 SILAC Ratio (Mito/Negative Control) Rep1,Rep1 Unique Quantified Peptide Count,Log2 SILAC Ratio (Mito/Negative Control) Rep2,Rep2 Unique Quantified Peptide Count,GOCC annotation,MitoCarta FDR,mito,evidence for mito,matrix,IMS,OMM,False-positive,Note
4825,Q9BUB7;Q9BUB7-2,54968,"Transmembrane protein 70, mitochondrial",TMEM70,1.962592741,6,1.822728319,6,integral to mitochondrial membrane | mitochondrion | integral to membrane | mitochondrial membrane | membrane,0.029,1,GOCC; MitoCarta,0,0,0,0,-
2597,P28838;P28838-2,51056,Cytosol aminopeptidase;Leucine aminopeptidase 3;Leucyl aminopeptidase;Peptidase S;Proline aminopeptidase;Prolyl aminopeptidase,LAP3;LAPEP;PEPS,1.961666952,27,2.710103294,28,mitochondrion | intracellular | cytoplasm,0.029,1,GOCC; MitoCarta,0,0,0,0,-
3666,Q5HYK3;F8VVX6;B4DP72;F8VP53;F8VVW7,84274,"Ubiquinone biosynthesis methyltransferase COQ5, mitochondrial;cDNA FLJ55122, highly similar to Ubiquinone biosynthesis methyltransferaseCOQ5, mitochondrial (EC 2.1.1.-)",COQ5,1.952327189,14,1.52065568,15,mitochondrion,0,1,GOCC; MitoCarta,0,0,0,0,-
5012,Q9H4K7;Q5JXJ0,26164,GTP-binding protein 5;Protein obg homolog 1;GTP binding protein 5 (Putative),GTPBP5;OBGH1;RP5-1005F21.5-001,1.952327189,11,1.416298724,10,mitochondrion | intracellular,0.029,1,GOCC; MitoCarta,0,0,0,0,-
4459,Q969S9;Q969S9-3;Q969S9-2;F5H687;Q969S9-4;Q969S9-5,84340,"Elongation factor G 2, mitochondrial;Elongation factor G2;Ribosome-releasing factor 2, mitochondrial",EFG2;GFM2;MSTP027,1.951591132,28,1.962405242,25,mitochondrion,0.028,1,GOCC; MitoCarta,0,0,0,0,-
5614,Q9Y2Z4;H0YHS6,51067,"Tyrosine--tRNA ligase;Tyrosyl-tRNA synthetase, mitochondrial",CGI-04;YARS2,1.949675626,20,1.993352296,23,mitochondrion | mitochondrial matrix | cytoplasm,0,1,GOCC; MitoCarta,1,0,0,0,-
3325,Q13423;E9PCX7,23530,"NAD(P) transhydrogenase, mitochondrial;Nicotinamide nucleotide transhydrogenase;Pyridine nucleotide transhydrogenase",NNT,1.948544776,44,1.951371511,37,mitochondrial respiratory chain | mitochondrion | integral to membrane | mitochondrial inner membrane | membrane,0.01,1,GOCC; MitoCarta,0,0,0,0,-
4171,Q8N442,60558,GTP-binding protein GUF1 homolog,GUF1,1.943222808,21,1.771528559,27,mitochondrion,0,1,GOCC; MitoCarta,0,0,0,0,-
374,Q96CB9;B4DHA4,387338,"NOL1/NOP2/Sun domain family member 4;Putative methyltransferase NSUN4;cDNA FLJ60253, highly similar to Homo sapiens NOL1/NOP2/Sun domain family, member 4 (NSUN4), mRNA;HCG2031650, isoform CRA_f",NSUN4;hCG_2031650,1.942926567,11,2.123815141,12,-,0.446,1,literature (PubMed: 21531335),1,0,0,0,-
5491,Q9UKU7;B7Z5W4;Q6ZWP6;F5H2N4;B7Z7F1,27034,"Activator-recruited cofactor 42 kDa component;Acyl-CoA dehydrogenase family member 8;Isobutyryl-CoA dehydrogenase, mitochondrial;cDNA FLJ55244, highly similar to Acyl-CoA dehydrogenase family member 8, mitochondrial (EC 1.3.99.-);Acyl-Coenzyme A dehydrogenase family, member 8, isoform CRA_a;cDNA FLJ90159 fis, clone HEMBB1002465, weakly similar to ACYL-COA DEHYDROGENASE (EC 1.3.99.-);cDNA FLJ59096, highly similar to Acyl-CoA dehydrogenase family member 8, mitochondrial (EC 1.3.99.-)",ACAD8;ARC42;IBD;hCG_37259,1.942877188,9,1.735411803,8,mitochondrion,0,1,GOCC; MitoCarta,1,0,0,0,-
1607,G3V5T0;G3V267;G3V4T6;O43708;A6NED0;O43708-2,2954,"Glutathione S-transferase zeta 1;GSTZ1-1;Maleylacetoacetate isomerase;Glutathione transferase zeta 1 (Maleylacetoacetate isomerase), isoform CRA_b;Putative uncharacterized protein GSTZ1",GSTZ1;MAAI;hCG_22265,1.929482515,6,1.791591669,6,cytosol | mitochondrion | nucleus | cytoplasm,0.114,1,GOCC,0,0,0,0,-
3955,Q7L8L6,60493,FAST kinase domain-containing protein 5,FASTKD5;KIAA1792,1.927337763,35,1.925440792,25,-,0.624,1,literature (PubMed: 20869947),0,0,0,0,-
3712,Q5T160,57038,"Arginine--tRNA ligase;Arginyl-tRNA synthetase-like;Probable arginyl-tRNA synthetase, mitochondrial",RARS2;RARSL,1.918726725,29,1.874222036,31,mitochondrion | mitochondrial matrix | cytoplasm,0,1,GOCC; MitoCarta,1,0,0,0,-
3218,Q07021,708,"Complement component 1 Q subcomponent-binding protein, mitochondrial;GC1q-R protein;Glycoprotein gC1qBP;Hyaluronan-binding protein 1;Mitochondrial matrix protein p32;p33",C1QBP;GC1QBP;HABP1;SF2P32,1.913243003,10,1.884878624,11,mitochondrion | plasma membrane | nucleus | membrane | mitochondrial matrix,0,1,GOCC; MitoCarta,1,0,0,0,-
