uniprot,description,pep_num,tag_126.127726,tag_127.124761,tag_127.131081,tag_128.128116,tag_128.134436,tag_129.131471,tag_129.13779,tag_130.134825,tag_130.141145,tag_131.13818,tag_131.1445,tag_132.141535,tag_132.147855,tag_133.14489,tag_133.15121,tag_134.148245
Q9R112,"Sqrdl Sulfide:quinone oxidoreductase, mitochondrial",24,53217.0,26623.0,53551.5,10331.5,18110.0,14621.5,22116.5,18575.5,34035.0,27961.5,30338.5,50379.5,17852.0,18682.5,25557.0,27535.0
Q8BGT5,Gpt2 Alanine aminotransferase 2,22,32640.5,26492.0,40631.0,21253.5,30569.0,57098.5,33751.0,23104.0,38857.0,38640.0,20526.5,27735.0,55457.5,29120.5,15997.0,21493.5
Q9D7B6,"Acad8 Isobutyryl-CoA dehydrogenase, mitochondrial",16,38281.0,45298.0,52751.0,22576.0,30276.0,44562.0,38178.0,27392.0,43305.0,42653.0,28779.0,47754.0,50179.0,35328.0,24201.0,22827.0
P20029,Hspa5 78 kDa glucose-regulated protein,39,55806.5,69921.5,91974.0,22631.0,29197.5,37513.5,42078.0,28755.5,83654.5,81989.5,11727.5,19036.5,13780.5,11351.5,11207.5,12398.0
P48962,Slc25a4 ADP/ATP translocase 1,6,20170.0,29367.0,31257.0,29085.0,19737.0,20370.0,32462.0,30948.0,56392.0,46054.0,22938.0,24099.0,30179.0,24697.0,23445.0,22214.0
Q8VCU1,Ces3b Carboxylesterase 3B,10,60332.0,105228.0,94201.0,36155.0,30092.0,65630.0,29622.0,16843.0,59574.0,62042.0,3462.0,7623.0,4832.0,3113.0,2511.0,4103.0
Q64282,Ifit1 Interferon-induced protein with tetratricopeptide repeats 1,16,7318.0,7369.0,8700.0,6514.0,6113.0,6035.0,65084.0,40714.0,61559.0,75853.0,6348.0,12514.0,9844.0,7085.0,38746.0,40992.0
Q60930,Vdac2 Voltage-dependent anion-selective channel protein 2,13,18679.0,25947.0,74586.0,14302.0,21572.0,24502.0,35590.0,26073.0,50867.0,38530.0,19822.0,34340.0,48571.0,28992.0,15995.0,25697.0
P62821,Rab1A Ras-related protein Rab-1A,6,45027.0,41321.5,52048.0,26562.5,31645.0,44508.0,48851.5,46058.0,80068.0,71179.5,28101.5,52082.5,58100.0,48872.0,38412.0,42093.5
Q6ZWZ6,Rps12-ps3 40S ribosomal protein S12,7,16055.5,18804.0,34755.0,10168.5,15826.5,21500.0,29830.0,17448.5,37436.0,34296.5,12028.5,19954.0,30331.0,23231.5,12853.0,21778.5
P50171,Hsd17b8 Estradiol 17-beta-dehydrogenase 8,9,20990.5,22058.5,21984.0,23536.5,13295.0,23459.5,22919.0,18987.5,27778.0,27125.0,22263.5,29641.0,27428.0,22169.0,16693.5,20529.5
Q9DD20,Mettl7b Methyltransferase-like protein 7B,9,31626.0,30607.5,37971.0,20473.5,15757.0,27599.5,16766.0,12734.0,24138.0,22271.0,27644.5,35466.0,25804.0,23172.0,12972.0,13028.5
P62827,Ran GTP-binding nuclear protein Ran,4,76140.0,84560.5,112915.0,61395.5,62003.0,89016.5,101454.5,84243.5,180041.0,151063.0,77847.0,90421.5,117157.5,87015.5,59590.0,69848.5
Q8VCW8,"Acsf2 Acyl-CoA synthetase family member 2, mitochondrial",29,31367.5,33459.5,33513.5,23984.0,23937.5,34841.0,31705.5,24014.0,40243.5,37814.5,29591.0,45736.0,40479.5,29521.0,25373.0,26096.0
Q91VB8,Hba-a2 Hemoglobin subunit alpha,4,53544.0,47407.0,70403.0,43365.5,25573.0,42646.0,43202.0,117841.5,49554.5,89220.5,36347.5,22316.5,142554.0,36747.5,34852.5,53208.5
Q8BK64,Ahsa1 Activator of 90 kDa heat shock protein ATPase homolog 1,16,26880.0,33007.0,31469.5,17316.5,15133.5,20582.5,24307.0,22652.5,36436.0,39070.5,22374.0,35138.5,28248.5,30511.0,20720.0,21019.5
Q63836,Selenbp2 Selenium-binding protein 2,5,15046.0,29050.0,38289.0,13208.0,11054.0,28806.0,28825.0,14160.0,47894.0,27857.0,15228.0,28305.0,55340.0,18812.0,24530.0,20763.0
P60843,Eif4a1 Eukaryotic initiation factor 4A-I,11,17934.5,18648.5,21949.5,11398.0,13671.0,25024.0,27397.5,19726.0,25599.5,28652.5,17553.5,24923.5,24599.0,17065.5,14919.5,18939.0
Q8VCT4,Ces1d Carboxylesterase 1D,17,99675.0,193106.0,159929.0,42772.0,45664.0,59480.0,18770.0,15244.0,40743.0,44237.0,4560.0,9557.0,9977.0,5279.0,4565.0,5500.0
P35293,Rab18 Ras-related protein Rab-18,8,44077.0,62170.0,71394.0,31350.0,28135.0,42692.0,66135.0,44955.0,89515.0,86733.0,42580.0,56851.0,62785.0,48851.0,42086.0,43170.0
Q91ZV0,Mia2 Melanoma inhibitory activity protein 2,16,25735.0,30751.5,48514.5,8897.5,23514.5,26071.0,16023.5,10393.0,46122.0,36218.5,1806.0,3768.5,1523.0,1360.5,1019.5,0.0
P97807,"Fh Fumarate hydratase, mitochondrial",19,24719.5,16494.0,30085.5,9250.0,18663.0,19951.5,26519.0,22358.0,30645.0,31155.0,16146.0,20275.5,27229.5,22971.5,14367.5,20639.0
Q8VCM7,Fgg Fibrinogen gamma chain,19,41455.0,50850.0,56577.5,9863.5,22794.0,37548.5,54601.5,31481.0,105513.0,110171.0,3595.5,11053.5,7143.5,5384.5,7015.5,6371.5
P63017,Hspa8 Heat shock cognate 71 kDa protein,18,63284.5,72838.0,94866.5,32482.0,40016.5,62641.0,73711.5,62962.0,105866.0,108189.5,47602.0,84447.0,92869.0,64660.5,44758.0,45329.0
Q80XN0,"Bdh1 D-beta-hydroxybutyrate dehydrogenase, mitochondrial",18,35248.5,46222.0,44558.0,23094.0,28843.5,31900.0,30242.5,26940.0,36953.5,39507.0,37503.5,45260.0,38617.5,28553.5,18099.0,20809.0
O08601,Mttp Microsomal triglyceride transfer protein large subunit,44,59884.0,65018.0,120033.0,18252.0,29351.0,38325.0,22150.0,13077.0,45912.0,41960.0,4870.0,8912.0,8554.0,5398.0,3368.0,5876.0
Q64516,Gk Glycerol kinase,12,22663.0,25805.5,27620.5,19636.0,18861.5,25075.0,25292.5,21234.5,37996.0,38969.0,21849.0,28479.5,29274.5,24274.0,16018.0,17326.5
Q91YW3,Dnajc3 DnaJ homolog subfamily C member 3,19,51362.0,71741.0,69822.0,16833.0,19088.0,36220.0,25450.0,14723.0,53913.0,61229.0,3911.0,8077.0,5848.0,4693.0,4616.0,5034.0
Q9QXD6,"Fbp1 Fructose-1,6-bisphosphatase 1",12,47709.0,34752.0,36807.5,22440.0,19086.5,33132.5,31100.0,44774.0,36222.0,53809.0,25368.0,20535.5,53888.5,25545.0,27691.0,37252.5
P10126,Eef1a1 Elongation factor 1-alpha 1,10,29710.5,38503.0,37546.0,14214.5,16802.5,30316.0,37346.5,28483.5,31954.0,40259.0,30778.0,42891.5,27221.5,18766.5,20548.5,22136.0
Q9DCS2,UPF0585 protein C16orf13 homolog,8,23345.0,34242.0,41734.0,15423.0,26864.5,25268.0,33190.0,26328.0,41939.0,37116.5,15344.0,32213.5,41999.5,31863.0,21339.0,26283.5
Q8QZR3,Ces2a Pyrethroid hydrolase Ces2a,15,73626.0,123992.5,100374.0,35271.0,43212.5,83727.0,30446.0,11957.5,54193.5,45361.5,2900.5,6799.0,5109.5,4192.5,2862.5,3093.0
