uniprot_id,description,pep_num,annotation,ctrl_turbo(-)_1,ctrl_turbo(-)_2,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,fast_turbo(-)_1,fast_turbo(-)_2,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,LPS_turbo(-)_1,LPS_turbo(-)_2,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4
Q91ZA3,"Pcca Propionyl-CoA carboxylase alpha chain, mitochondrial",14,FP,156406.0,187738.0,323363.0,373895.0,246702.0,375234.0,369647.0,779220.0,519415.0,185686.0,1002763.0,636881.0,3556132.0,436823.0,607505.0,421263.0
Q9ESB3,Hrg Histidine-rich glycoprotein,9,TP,438891.0,549408.0,310398.0,500517.0,988856.0,854214.0,1070424.0,753392.0,764487.0,566586.0,1140255.0,1020067.0,999332.0,1113726.0,649459.0,616153.0
Q8BH61,F13a1 Coagulation factor XIII A chain,18,TP,579564.0,771887.0,488740.0,1090637.0,786650.0,900917.0,1137296.0,594347.0,589247.0,509220.0,628546.0,246869.0,296175.0,432850.0,196993.0,232791.0
P07758,Serpina1a Alpha-1-antitrypsin 1-1,3,TP,163107.0,45673.0,75430.0,124578.0,245446.0,66562.0,123102.0,73757.0,190712.0,76226.0,149640.0,434401.0,180653.0,318006.0,230014.0,434690.0
Q99MN9,"Pccb Propionyl-CoA carboxylase beta chain, mitochondrial",7,FP,13128.0,13542.0,28635.0,45688.0,30697.0,26113.0,26702.0,49043.0,39712.0,13652.0,94528.0,43970.0,425176.0,45450.0,50416.0,54994.0
A0A0A6YY38,Ighv1-42 Protein Ighv1-42,1,,7160.0,3992.0,2887.0,4607.0,7407.0,3935.0,4821.0,4479.0,4954.0,5817.0,8105.0,8533.0,6520.0,6773.0,3765.0,4358.0
Q8BH35,C8b Complement component C8 beta chain,9,TP,201587.0,99405.0,109064.0,241538.0,431526.0,155725.0,226009.0,147054.0,196568.0,126849.0,211730.0,398564.0,211193.0,393908.0,211429.0,284392.0
Q4LDF6,Cfhr2 Putative complement factor H-related protein B,1,,961.0,1259.0,1945.0,2476.0,7689.0,1851.0,1948.0,2386.0,1230.0,1517.0,2461.0,3816.0,3069.0,5065.0,2899.0,3028.0
P14106,C1qb Complement C1q subcomponent subunit B,5,TP,88318.0,79563.0,80336.0,163700.0,154693.0,65676.0,72491.0,130685.0,110232.0,57229.0,284590.0,235978.0,220256.0,328440.0,89945.0,267569.0
P08607,C4bpa C4b-binding protein,10,TP,57536.0,41297.0,120376.0,328081.0,438672.0,66741.0,84450.0,131422.0,132725.0,126505.0,130122.0,166868.0,941579.0,1046098.0,301205.0,275813.0
