,uniprot,annotation,log2_norm_ratio_iWAT_HF_cre+_1/iWAT_HF_cre-_1,TPR_iWAT_HF_cre+_1/iWAT_HF_cre-_1,FPR_iWAT_HF_cre+_1/iWAT_HF_cre-_1,TPR-FPR_iWAT_HF_cre+_1/iWAT_HF_cre-_1,log2_norm_ratio_iWAT_HF_cre+_1/iWAT_HF_cre-_2,TPR_iWAT_HF_cre+_1/iWAT_HF_cre-_2,FPR_iWAT_HF_cre+_1/iWAT_HF_cre-_2,TPR-FPR_iWAT_HF_cre+_1/iWAT_HF_cre-_2,log2_norm_ratio_iWAT_HF_cre+_2/iWAT_HF_cre-_1,TPR_iWAT_HF_cre+_2/iWAT_HF_cre-_1,FPR_iWAT_HF_cre+_2/iWAT_HF_cre-_1,TPR-FPR_iWAT_HF_cre+_2/iWAT_HF_cre-_1,log2_norm_ratio_iWAT_HF_cre+_2/iWAT_HF_cre-_2,TPR_iWAT_HF_cre+_2/iWAT_HF_cre-_2,FPR_iWAT_HF_cre+_2/iWAT_HF_cre-_2,TPR-FPR_iWAT_HF_cre+_2/iWAT_HF_cre-_2,log2_norm_ratio_iWAT_HF_cre+_3/iWAT_HF_cre-_1,TPR_iWAT_HF_cre+_3/iWAT_HF_cre-_1,FPR_iWAT_HF_cre+_3/iWAT_HF_cre-_1,TPR-FPR_iWAT_HF_cre+_3/iWAT_HF_cre-_1,log2_norm_ratio_iWAT_HF_cre+_3/iWAT_HF_cre-_2,TPR_iWAT_HF_cre+_3/iWAT_HF_cre-_2,FPR_iWAT_HF_cre+_3/iWAT_HF_cre-_2,TPR-FPR_iWAT_HF_cre+_3/iWAT_HF_cre-_2,log2_norm_ratio_iWAT_chow_cre+_1/iWAT_chow_cre-_1,TPR_iWAT_chow_cre+_1/iWAT_chow_cre-_1,FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_1,TPR-FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_1,log2_norm_ratio_iWAT_chow_cre+_1/iWAT_chow_cre-_2,TPR_iWAT_chow_cre+_1/iWAT_chow_cre-_2,FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_2,TPR-FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_2,log2_norm_ratio_iWAT_chow_cre+_2/iWAT_chow_cre-_1,TPR_iWAT_chow_cre+_2/iWAT_chow_cre-_1,FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_1,TPR-FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_1,log2_norm_ratio_iWAT_chow_cre+_2/iWAT_chow_cre-_2,TPR_iWAT_chow_cre+_2/iWAT_chow_cre-_2,FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_2,TPR-FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_2,log2_norm_ratio_iWAT_chow_cre+_3/iWAT_chow_cre-_1,TPR_iWAT_chow_cre+_3/iWAT_chow_cre-_1,FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_1,TPR-FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_1,log2_norm_ratio_iWAT_chow_cre+_3/iWAT_chow_cre-_2,TPR_iWAT_chow_cre+_3/iWAT_chow_cre-_2,FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_2,TPR-FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_2,description,pep_num,iWAT_HF_cre-_1,iWAT_HF_cre-_2,iWAT_chow_cre-_1,iWAT_chow_cre-_2,iWAT_HF_cre+_1,iWAT_HF_cre+_2,iWAT_HF_cre+_3,iWAT_chow_cre+_1,iWAT_chow_cre+_2,iWAT_chow_cre+_3
1458,Q6ZWQ0,FP,,,,,,,,,,,,,,,,,,,,,,,,,1.9067801376961677,0.3916083916083916,0.09613130128956623,0.2954770903188254,2.042085485191026,0.3146853146853147,0.13615023474178403,0.17853507994353066,1.1334818112304148,0.5034965034965035,0.17192982456140352,0.33156667893510006,1.2662365577299122,0.40559440559440557,0.1756440281030445,0.22995037749136107,1.2178660959177408,0.2198581560283688,0.13262910798122066,0.08722904804714815,1.313519374589475,0.18309859154929578,0.1425206124852768,0.04057797906401897,Syne2 Nesprin-2,8,1666.0,1839.0,1660.0,1065.0,4608.0,4194.0,5969.0,10954.0,10441.0,7000.0
1459,A0A1D5RMD1,,,,,,,,,,,,,,,,,,,,,,,,,,1.8393070429057476,0.3951048951048951,0.0984759671746776,0.2966289279302175,2.0561268864210627,0.3146853146853147,0.13615023474178403,0.17853507994353066,,,,,,,,,1.2197266807780305,0.2198581560283688,0.13262910798122066,0.08722904804714815,1.3968944554702214,0.15492957746478872,0.13427561837455831,0.020653959090230406,Gm16486 Protein Gm16486,1,4012.0,2886.0,3828.0,2321.0,9585.0,6701.0,10138.0,24106.0,18436.0,16163.0
1460,Q3UL36,,,,,,,,,,,,,,,,,,,,,,,,,,1.81871645649735,0.3951048951048951,0.0984759671746776,0.2966289279302175,0.9778424444617647,0.5629370629370629,0.2007042253521127,0.36223283758495023,1.3737244425299266,0.44755244755244755,0.1368421052631579,0.3107103422892896,,,,,0.9420048066231285,0.2978723404255319,0.18427230046948356,0.11360003995604834,,,,,Arglu1 Arginine and glutamate-rich protein 1,1,7190.0,8605.0,3754.0,4738.0,10196.0,13261.0,8594.0,23305.0,27890.0,13075.0
1461,Q6ZWR6,FP,,,,,,,,,,,,,,,,,,,,,,,,,1.610299019772836,0.46153846153846156,0.10668229777256741,0.35485616376589413,1.5277006349174804,0.4125874125874126,0.15023474178403756,0.26235267080337504,,,,,,,,,1.07256957717708,0.25886524822695034,0.15140845070422534,0.107456797522725,0.9503191234986006,0.2605633802816901,0.1955241460541814,0.06503923422750874,Syne1 Nesprin-1,8,1941.5,2240.5,2316.5,1728.5,6721.0,3989.5,5294.0,12446.5,10199.0,8832.5
1462,Q6P9J9,,,,,,,,,,,,,,,,,,,,,,,,,,1.6006563628943806,0.46503496503496505,0.10902696365767878,0.3560080013772863,1.449234558302261,0.4405594405594406,0.15375586854460094,0.28680357201483964,1.2316329129283965,0.4755244755244755,0.1543859649122807,0.3211385106121948,1.0776605073409165,0.46503496503496505,0.1955503512880562,0.26948461374690885,0.9470195475273128,0.2978723404255319,0.18427230046948356,0.11360003995604834,0.7559456741120696,0.323943661971831,0.2308598351001178,0.09308382687171321,Ano6 Anoctamin-6,3,2601.0,2123.0,2337.0,1829.0,6071.0,5798.0,7239.0,12473.0,15734.0,8168.0
1463,Q8BTI8,FP,,,,,,,,,,,,,,,,,,,,,,,,,1.5762673901175481,0.47202797202797203,0.11137162954279015,0.36065634248518186,1.1981219118106858,0.5104895104895105,0.17136150234741784,0.33912800814209265,1.4530438333220141,0.4090909090909091,0.12748538011695906,0.2816055289739501,1.0723477540197912,0.46503496503496505,0.1955503512880562,0.26948461374690885,0.8753211518871328,0.3333333333333333,0.20657276995305165,0.12676056338028166,,,,,Srrm2 Serine/arginine repetitive matrix protein 2,5,1659.5,1384.5,1752.0,1604.5,3548.0,3783.5,4024.5,9194.0,13752.0,5826.5
1464,Q5RIM6,FP,,,,,,,,,,,,,,,,,,,,,,,,,1.566286822114697,0.4755244755244755,0.11488862837045721,0.3606358471540183,1.6198787630669145,0.3916083916083916,0.1443661971830986,0.24724219442529302,1.7141377054931364,0.32517482517482516,0.10409356725146199,0.22108125792336317,1.7651790454499932,0.2867132867132867,0.13700234192037472,0.149710944792912,1.6505726685189979,0.1276595744680851,0.0892018779342723,0.0384576965338128,1.6645125406480914,0.13028169014084506,0.1166077738515901,0.013673916289254961,"Ncor1 Nuclear receptor co-repressor 1, isoform CRA_a",2,1631.0,954.0,936.0,635.5,2332.5,2080.5,4147.5,4878.0,8804.5,5327.5
1465,Q9DBL9,,,,,,,,,,,,,,,,,,,,,,,,,,1.4914844969473047,0.486013986013986,0.1242672919109027,0.3617466941030833,0.9403379874516365,0.5734265734265734,0.20422535211267606,0.3692012213138974,1.3411724432697347,0.45454545454545453,0.14035087719298245,0.3141945773524721,,,,,,,,,,,,,Abhd5 1-acylglycerol-3-phosphate O-acyltransferase ABHD5,2,2072.0,1358.0,2124.0,2193.0,2935.0,2307.0,5465.0,10510.0,15428.0,4339.0
1466,Q3UJB0,,,,,,,,,,,,,,,,,,,,,,,,,,1.456405980325851,0.486013986013986,0.12778429073856976,0.35822969527541626,1.1079598402010244,0.527972027972028,0.18309859154929578,0.34487343642273227,1.6189790404011768,0.36363636363636365,0.11228070175438597,0.25135566188197767,1.2679822992809895,0.40559440559440557,0.1756440281030445,0.22995037749136107,1.0749627093134155,0.25886524822695034,0.15140845070422534,0.107456797522725,0.686864500365465,0.34507042253521125,0.24852767962308597,0.09654274291212528,"Sf3b2 Splicing factor 3b, subunit 2",2,1941.0,1853.5,1526.5,1369.5,4218.5,3194.5,5962.5,7372.0,13442.5,5830.0
1467,Q60675,TP,,,,,,,,,,,,,,,,,,,,,,,,,1.449765327409733,0.48951048951048953,0.12895662368112543,0.3605538658293641,1.0478633810209117,0.548951048951049,0.18896713615023475,0.3599839128008142,1.4466813220313666,0.4125874125874126,0.1286549707602339,0.2839324418271787,1.042228774647184,0.4825174825174825,0.1990632318501171,0.2834542506673654,1.1617335197846224,0.2375886524822695,0.14084507042253522,0.0967435820597343,0.7201795045726767,0.3345070422535211,0.23910482921083628,0.09540221304268484,Lama2 Laminin subunit alpha-2,2,1521.5,1192.0,920.5,857.0,2258.5,1658.5,3206.5,4425.0,7193.5,3733.5
