,uniprot,annotation,iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,FP,TP,TPR,FPR,TPR-FPR
0,P26231,FP,3.304905128496001,0.0,0.0,0.0,0.0,0.0
1,Q4FZC9,FP,3.234561462368757,1.0,0.0,0.0,0.0012468827930174563,-0.0012468827930174563
2,Q8BYB9,,3.144723813930514,2.0,0.0,0.0,0.0024937655860349127,-0.0024937655860349127
3,Q9JMG3,FP,3.0067970768260404,2.0,0.0,0.0,0.0024937655860349127,-0.0024937655860349127
4,Q61792,FP,2.9624112161455263,3.0,0.0,0.0,0.003740648379052369,-0.003740648379052369
5,P03911,,2.9083276483903595,4.0,0.0,0.0,0.004987531172069825,-0.004987531172069825
6,E9Q4X2,,2.8372732248704384,4.0,0.0,0.0,0.004987531172069825,-0.004987531172069825
7,Q02248,FP,2.8234419657870253,4.0,0.0,0.0,0.004987531172069825,-0.004987531172069825
8,E9QPE7,,2.7607200590161236,5.0,0.0,0.0,0.006234413965087282,-0.006234413965087282
9,Q9JHP7,,2.7208978622059727,5.0,0.0,0.0,0.006234413965087282,-0.006234413965087282
10,Q8BRH0,,2.6545365616506507,5.0,0.0,0.0,0.006234413965087282,-0.006234413965087282
11,Q921M4,FP,2.638352892399397,5.0,0.0,0.0,0.006234413965087282,-0.006234413965087282
12,Q9QZQ1,FP,2.6122418401919405,6.0,0.0,0.0,0.007481296758104738,-0.007481296758104738
13,B1AYL1,,2.5810077331511736,7.0,0.0,0.0,0.008728179551122194,-0.008728179551122194
14,Q924Z4,FP,2.5573620510382664,7.0,0.0,0.0,0.008728179551122194,-0.008728179551122194
15,Q3TCN2,,2.5141372309480725,8.0,0.0,0.0,0.00997506234413965,-0.00997506234413965
16,Q8VCT4,,2.5000821725251052,8.0,0.0,0.0,0.00997506234413965,-0.00997506234413965
17,P08553,FP,2.460383243206076,8.0,0.0,0.0,0.00997506234413965,-0.00997506234413965
18,P39447,,2.4424304285283314,9.0,0.0,0.0,0.011221945137157107,-0.011221945137157107
19,Q80Z24,,2.401998977643403,9.0,0.0,0.0,0.011221945137157107,-0.011221945137157107
20,Q80UM7,,2.3607680928741996,9.0,0.0,0.0,0.011221945137157107,-0.011221945137157107
21,E9Q6C2,,2.339539978005065,9.0,0.0,0.0,0.011221945137157107,-0.011221945137157107
22,Q8CJ40,FP,2.3092193342490397,9.0,0.0,0.0,0.011221945137157107,-0.011221945137157107
23,Q8BSY0,,2.3069769536424825,10.0,0.0,0.0,0.012468827930174564,-0.012468827930174564
24,Q5DTX6,,2.3064193350443962,10.0,0.0,0.0,0.012468827930174564,-0.012468827930174564
25,Q8BLY1,TP,2.3000676654853445,10.0,0.0,0.0,0.012468827930174564,-0.012468827930174564
26,P39061,TP,2.289508712206203,10.0,1.0,0.004608294930875576,0.012468827930174564,-0.007860532999298987
