,uniprot,annotation,ctrl_turbo(+)_1/ctrl_turbo(-)_1_ratio,original_ratio_ctrl_turbo(+)_1/ctrl_turbo(-)_1_ratio,FP_ctrl_turbo(+)_1/ctrl_turbo(-)_1_ratio,TP_ctrl_turbo(+)_1/ctrl_turbo(-)_1_ratio,TPR_ctrl_turbo(+)_1/ctrl_turbo(-)_1_ratio,FPR_ctrl_turbo(+)_1/ctrl_turbo(-)_1_ratio,TPR-FPR_ctrl_turbo(+)_1/ctrl_turbo(-)_1_ratio,ctrl_turbo(+)_1/ctrl_turbo(-)_2_ratio,original_ratio_ctrl_turbo(+)_1/ctrl_turbo(-)_2_ratio,FP_ctrl_turbo(+)_1/ctrl_turbo(-)_2_ratio,TP_ctrl_turbo(+)_1/ctrl_turbo(-)_2_ratio,TPR_ctrl_turbo(+)_1/ctrl_turbo(-)_2_ratio,FPR_ctrl_turbo(+)_1/ctrl_turbo(-)_2_ratio,TPR-FPR_ctrl_turbo(+)_1/ctrl_turbo(-)_2_ratio,ctrl_turbo(+)_2/ctrl_turbo(-)_1_ratio,original_ratio_ctrl_turbo(+)_2/ctrl_turbo(-)_1_ratio,FP_ctrl_turbo(+)_2/ctrl_turbo(-)_1_ratio,TP_ctrl_turbo(+)_2/ctrl_turbo(-)_1_ratio,TPR_ctrl_turbo(+)_2/ctrl_turbo(-)_1_ratio,FPR_ctrl_turbo(+)_2/ctrl_turbo(-)_1_ratio,TPR-FPR_ctrl_turbo(+)_2/ctrl_turbo(-)_1_ratio,ctrl_turbo(+)_2/ctrl_turbo(-)_2_ratio,original_ratio_ctrl_turbo(+)_2/ctrl_turbo(-)_2_ratio,FP_ctrl_turbo(+)_2/ctrl_turbo(-)_2_ratio,TP_ctrl_turbo(+)_2/ctrl_turbo(-)_2_ratio,TPR_ctrl_turbo(+)_2/ctrl_turbo(-)_2_ratio,FPR_ctrl_turbo(+)_2/ctrl_turbo(-)_2_ratio,TPR-FPR_ctrl_turbo(+)_2/ctrl_turbo(-)_2_ratio,ctrl_turbo(+)_3/ctrl_turbo(-)_1_ratio,original_ratio_ctrl_turbo(+)_3/ctrl_turbo(-)_1_ratio,FP_ctrl_turbo(+)_3/ctrl_turbo(-)_1_ratio,TP_ctrl_turbo(+)_3/ctrl_turbo(-)_1_ratio,TPR_ctrl_turbo(+)_3/ctrl_turbo(-)_1_ratio,FPR_ctrl_turbo(+)_3/ctrl_turbo(-)_1_ratio,TPR-FPR_ctrl_turbo(+)_3/ctrl_turbo(-)_1_ratio,ctrl_turbo(+)_3/ctrl_turbo(-)_2_ratio,original_ratio_ctrl_turbo(+)_3/ctrl_turbo(-)_2_ratio,FP_ctrl_turbo(+)_3/ctrl_turbo(-)_2_ratio,TP_ctrl_turbo(+)_3/ctrl_turbo(-)_2_ratio,TPR_ctrl_turbo(+)_3/ctrl_turbo(-)_2_ratio,FPR_ctrl_turbo(+)_3/ctrl_turbo(-)_2_ratio,TPR-FPR_ctrl_turbo(+)_3/ctrl_turbo(-)_2_ratio
129,E9QNN1,,0.7884288280904405,1.9279677053109625,32.0,23.0,0.10267857142857142,0.044630404463040445,0.05804816696553098,,,,,,,,1.1800339819008792,2.1533997729279677,14.0,23.0,0.10267857142857142,0.019525801952580194,0.08315276947599123,1.1876397985143121,2.1230815153851896,22.0,20.0,0.08928571428571429,0.030726256983240222,0.05855945730247407,,,,,,,,,,,,,,
130,Q06890,TP,0.7875527150726348,1.926797253634895,32.0,23.0,0.10267857142857142,0.044630404463040445,0.05804816696553098,,,,,,,,,,,,,,,,,,,,,,0.8731905556769018,3.023980210016155,37.0,24.0,0.10714285714285714,0.05146036161335188,0.05568249552950526,,,,,,,
131,Q8K0C4,,0.785828753847,1.9244961852943858,32.0,24.0,0.10714285714285714,0.044630404463040445,0.0625124526798167,,,,,,,,,,,,,,,,,,,,,,0.8674667141402217,3.012006443964862,38.0,25.0,0.11160714285714286,0.05285118219749652,0.05875596065964634,,,,,,,
132,Q61503,,0.7827003951607623,1.9203276039780484,32.0,24.0,0.10714285714285714,0.044630404463040445,0.0625124526798167,1.6387283994456185,3.3162072449126856,11.0,9.0,0.04017857142857143,0.01532033426183844,0.024858237166732994,,,,,,,,,,,,,,,0.7847471478838993,2.8441652505780426,51.0,28.0,0.125,0.07093184979137691,0.054068150208623086,1.6127316597483021,4.911579352479915,14.0,10.0,0.044642857142857144,0.019498607242339833,0.02514424990051731
133,Q63836,FP,0.7792885547815749,1.9157915725109664,32.0,24.0,0.10714285714285714,0.044630404463040445,0.0625124526798167,,,,,,,,,,,,,,,,,,,,,,0.9472067933859061,3.183171607071647,30.0,24.0,0.10714285714285714,0.04172461752433936,0.06541823961851778,,,,,,,
134,O35737,FP,0.7790261329420386,1.9154431275428976,33.0,24.0,0.10714285714285714,0.04602510460251046,0.061117752540346675,,,,,,,,,,,,,,,,,,,,,,0.6079804847621687,2.516186095878295,83.0,46.0,0.20535714285714285,0.11543810848400557,0.08991903437313728,,,,,,,
135,Q78IK4,,0.7781916036969048,1.914335456811617,34.0,24.0,0.10714285714285714,0.04741980474198047,0.059723052400876664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,E9PVY8,,0.7766694228679364,1.912316715542522,34.0,24.0,0.10714285714285714,0.04741980474198047,0.059723052400876664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,P42227,FP,0.7740019653707745,1.9087842221357207,34.0,24.0,0.10714285714285714,0.04741980474198047,0.059723052400876664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Q6PGH1,FP,0.7729228013716078,1.9073569482288828,35.0,24.0,0.10714285714285714,0.04881450488145049,0.058328352261406646,,,,,,,,,,,,,,,,,,,,,,0.7919045673218705,2.8583106267029974,47.0,28.0,0.125,0.06536856745479833,0.059631432545201674,,,,,,,
