,uniprot,annotation,iWAT_HF_cre+_1/iWAT_HF_cre-_1_ratio,FP,TP,TPR,FPR,TPR-FPR
0,Q9Z2G9,FP,4.652908466541662,0.0,0.0,0.0,0.0,0.0
1,Q9D3V1,FP,4.652876669254762,1.0,0.0,0.0,0.0011961722488038277,-0.0011961722488038277
2,Q925U4,,4.158616240989973,2.0,0.0,0.0,0.0023923444976076554,-0.0023923444976076554
3,Q6ZQI3,,4.140222738777401,2.0,0.0,0.0,0.0023923444976076554,-0.0023923444976076554
4,Q99LJ6,TP,4.111581237281871,2.0,0.0,0.0,0.0023923444976076554,-0.0023923444976076554
5,Q8BH01,,4.087741887066443,2.0,1.0,0.004424778761061947,0.0023923444976076554,0.0020324342634542914
6,Q3V1D3,,4.067963581760449,2.0,1.0,0.004424778761061947,0.0023923444976076554,0.0020324342634542914
7,Q3TCN2,,3.9697244901639497,2.0,1.0,0.004424778761061947,0.0023923444976076554,0.0020324342634542914
8,Q8CFG0,,3.9473017811578606,2.0,1.0,0.004424778761061947,0.0023923444976076554,0.0020324342634542914
9,P55302,,3.8783300021599625,2.0,1.0,0.004424778761061947,0.0023923444976076554,0.0020324342634542914
10,Q9ERE7,,3.7984493038668004,2.0,1.0,0.004424778761061947,0.0023923444976076554,0.0020324342634542914
11,Q9CQE7,,3.7719589377141682,2.0,1.0,0.004424778761061947,0.0023923444976076554,0.0020324342634542914
12,Q91ZW2,,3.7216001317539145,2.0,1.0,0.004424778761061947,0.0023923444976076554,0.0020324342634542914
13,Q8R429,,3.6896301421731352,2.0,1.0,0.004424778761061947,0.0023923444976076554,0.0020324342634542914
14,Q9WUZ9,TP,3.6418137475633783,2.0,1.0,0.004424778761061947,0.0023923444976076554,0.0020324342634542914
15,P09055,,3.6324231257294604,2.0,2.0,0.008849557522123894,0.0023923444976076554,0.006457213024516238
16,Q60716,,3.621944503905799,2.0,2.0,0.008849557522123894,0.0023923444976076554,0.006457213024516238
17,J3KMH5,,3.61941362033425,2.0,2.0,0.008849557522123894,0.0023923444976076554,0.006457213024516238
18,Q640L3,,3.607546362558499,2.0,2.0,0.008849557522123894,0.0023923444976076554,0.006457213024516238
19,Q9EPK6,,3.6060657572985186,2.0,2.0,0.008849557522123894,0.0023923444976076554,0.006457213024516238
20,O35887,TP,3.586926320785813,2.0,2.0,0.008849557522123894,0.0023923444976076554,0.006457213024516238
21,Q9CXE7,,3.5850803280918258,2.0,3.0,0.01327433628318584,0.0023923444976076554,0.010881991785578185
22,Q9D0F3,,3.5586978120299593,2.0,3.0,0.01327433628318584,0.0023923444976076554,0.010881991785578185
23,Q02819,TP,3.540936725565334,2.0,3.0,0.01327433628318584,0.0023923444976076554,0.010881991785578185
24,Q8BYB9,,3.5278074109134003,2.0,4.0,0.017699115044247787,0.0023923444976076554,0.015306770546640132
25,Q9ES89,,3.5209640449064046,2.0,4.0,0.017699115044247787,0.0023923444976076554,0.015306770546640132
26,E9Q723,,3.5162728652147237,2.0,4.0,0.017699115044247787,0.0023923444976076554,0.015306770546640132
27,O54998,,3.5156793964960373,2.0,4.0,0.017699115044247787,0.0023923444976076554,0.015306770546640132
28,Q9DCC8,,3.5018513722145004,2.0,4.0,0.017699115044247787,0.0023923444976076554,0.015306770546640132
29,Q91YW3,,3.497845046938322,2.0,4.0,0.017699115044247787,0.0023923444976076554,0.015306770546640132
30,Q3UPY5,TP,3.4976555395222495,2.0,4.0,0.017699115044247787,0.0023923444976076554,0.015306770546640132
31,Q3V0T4,,3.4859571492195602,2.0,5.0,0.022123893805309734,0.0023923444976076554,0.01973154930770208
32,Q8CC36,TP,3.4744599711064352,2.0,5.0,0.022123893805309734,0.0023923444976076554,0.01973154930770208
33,Q8BFR4,,3.465652132973401,2.0,6.0,0.02654867256637168,0.0023923444976076554,0.024156328068764027
34,Q8BRH0,,3.445283435187713,2.0,6.0,0.02654867256637168,0.0023923444976076554,0.024156328068764027
35,Q61335,,3.436472279039038,2.0,6.0,0.02654867256637168,0.0023923444976076554,0.024156328068764027
36,Q9CQU0,,3.4213334755674287,2.0,6.0,0.02654867256637168,0.0023923444976076554,0.024156328068764027
37,Q8R180,TP,3.4037977692490817,2.0,6.0,0.02654867256637168,0.0023923444976076554,0.024156328068764027
38,Q9DBH5,,3.3606050006838126,2.0,7.0,0.030973451327433628,0.0023923444976076554,0.028581106829825974
39,Q9DAU1,FP,3.3505193941426805,2.0,7.0,0.030973451327433628,0.0023923444976076554,0.028581106829825974
40,Q922Q9,TP,3.349305155753575,3.0,7.0,0.030973451327433628,0.0035885167464114833,0.027384934581022143
41,Q8VHI3,,3.346095686697377,3.0,8.0,0.035398230088495575,0.0035885167464114833,0.031809713342084094
42,Q64449,,3.3044376669009052,3.0,8.0,0.035398230088495575,0.0035885167464114833,0.031809713342084094
43,P07214,TP,3.294354417586406,3.0,8.0,0.035398230088495575,0.0035885167464114833,0.031809713342084094
44,Q8K2C7,,3.2846038991018793,3.0,9.0,0.03982300884955752,0.0035885167464114833,0.03623449210314604
45,Q9Z0J0,TP,3.2367886145431983,3.0,9.0,0.03982300884955752,0.0035885167464114833,0.03623449210314604
46,Q9Z2G6,,3.233839308431784,3.0,10.0,0.04424778761061947,0.0035885167464114833,0.04065927086420799
47,Q07113,,3.179570837531594,3.0,10.0,0.04424778761061947,0.0035885167464114833,0.04065927086420799
48,Q3V1T4,TP,3.1777792614297438,3.0,10.0,0.04424778761061947,0.0035885167464114833,0.04065927086420799
49,P21550,,3.175914550659931,3.0,11.0,0.048672566371681415,0.0035885167464114833,0.045084049625269934
50,O09164,TP,3.1706211343423294,3.0,11.0,0.048672566371681415,0.0035885167464114833,0.045084049625269934
51,Q5I012,,3.1611617211120486,3.0,12.0,0.05309734513274336,0.0035885167464114833,0.04950882838633188
52,Q6P5E4,,3.1392517624476306,3.0,12.0,0.05309734513274336,0.0035885167464114833,0.04950882838633188
53,P24668,,3.135065932605351,3.0,12.0,0.05309734513274336,0.0035885167464114833,0.04950882838633188
54,Q6ZQM8,,3.114891754399418,3.0,12.0,0.05309734513274336,0.0035885167464114833,0.04950882838633188
55,Q91XD7,,3.1119723125255345,3.0,12.0,0.05309734513274336,0.0035885167464114833,0.04950882838633188
56,Q9Z247,,3.104295873351094,3.0,12.0,0.05309734513274336,0.0035885167464114833,0.04950882838633188
