,uniprot,annotation,iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,FP,TP,TPR,FPR,TPR-FPR
0,Q9CXE7,,4.7394895198592195,0.0,0.0,0.0,0.0,0.0
1,P50172,,4.1488861499643885,0.0,0.0,0.0,0.0,0.0
2,Q9D3V1,FP,4.100818253227964,0.0,0.0,0.0,0.0,0.0
3,Q8VCT4,,4.061969707860315,1.0,0.0,0.0,0.0012376237623762376,-0.0012376237623762376
4,P02469,TP,3.9075933924121093,1.0,0.0,0.0,0.0012376237623762376,-0.0012376237623762376
5,Q9QZ25,,3.873580778594172,1.0,1.0,0.0045871559633027525,0.0012376237623762376,0.0033495322009265147
6,Q9Z0F8,TP,3.8113884824989137,1.0,1.0,0.0045871559633027525,0.0012376237623762376,0.0033495322009265147
7,Q80Z24,,3.7516690313008905,1.0,2.0,0.009174311926605505,0.0012376237623762376,0.007936688164229268
8,P16675,,3.695665080085454,1.0,2.0,0.009174311926605505,0.0012376237623762376,0.007936688164229268
9,P29416,,3.668901410729173,1.0,2.0,0.009174311926605505,0.0012376237623762376,0.007936688164229268
10,Q9DCC8,,3.634512922940354,1.0,2.0,0.009174311926605505,0.0012376237623762376,0.007936688164229268
11,P15208,,3.6278229649898805,1.0,2.0,0.009174311926605505,0.0012376237623762376,0.007936688164229268
12,P15306,,3.622977909171486,1.0,2.0,0.009174311926605505,0.0012376237623762376,0.007936688164229268
13,Q9Z2A9,,3.6141058692880375,1.0,2.0,0.009174311926605505,0.0012376237623762376,0.007936688164229268
14,E9Q6C2,,3.5972751987140774,1.0,2.0,0.009174311926605505,0.0012376237623762376,0.007936688164229268
15,Q9QY73,,3.5908102486475637,1.0,2.0,0.009174311926605505,0.0012376237623762376,0.007936688164229268
16,Q80UM7,,3.566738240963383,1.0,2.0,0.009174311926605505,0.0012376237623762376,0.007936688164229268
17,Q91XL1,,3.5408563104995356,1.0,2.0,0.009174311926605505,0.0012376237623762376,0.007936688164229268
18,Q8VCF1,,3.480738174160747,1.0,2.0,0.009174311926605505,0.0012376237623762376,0.007936688164229268
19,P15116,,3.4672021025442876,1.0,2.0,0.009174311926605505,0.0012376237623762376,0.007936688164229268
20,Q8VHI3,,3.4619098056432693,1.0,2.0,0.009174311926605505,0.0012376237623762376,0.007936688164229268
21,Q922Q9,TP,3.392159144271084,1.0,2.0,0.009174311926605505,0.0012376237623762376,0.007936688164229268
22,Q8BFR4,,3.3742425475901126,1.0,3.0,0.013761467889908258,0.0012376237623762376,0.01252384412753202
23,Q61335,,3.371957739531123,1.0,3.0,0.013761467889908258,0.0012376237623762376,0.01252384412753202
24,O88531,TP,3.356565309266814,1.0,3.0,0.013761467889908258,0.0012376237623762376,0.01252384412753202
25,P18572,,3.352827286882482,1.0,4.0,0.01834862385321101,0.0012376237623762376,0.01711100009083477
26,Q8VD31,,3.3278114841175976,1.0,4.0,0.01834862385321101,0.0012376237623762376,0.01711100009083477
27,Q8C7K6,TP,3.2726359773970572,1.0,4.0,0.01834862385321101,0.0012376237623762376,0.01711100009083477
28,Q925U4,,3.270099369673985,1.0,5.0,0.022935779816513763,0.0012376237623762376,0.021698156054137524
29,Q8CFG0,,3.2559292717984496,1.0,5.0,0.022935779816513763,0.0012376237623762376,0.021698156054137524
30,Q60994,TP,3.251676540964873,1.0,5.0,0.022935779816513763,0.0012376237623762376,0.021698156054137524
31,P37040,,3.249433256908157,1.0,6.0,0.027522935779816515,0.0012376237623762376,0.026285312017440277
32,Q91WU0,,3.2449578743336835,1.0,6.0,0.027522935779816515,0.0012376237623762376,0.026285312017440277
33,Q62190,,3.231538979363885,1.0,6.0,0.027522935779816515,0.0012376237623762376,0.026285312017440277
34,P97927,TP,3.171371985504052,1.0,6.0,0.027522935779816515,0.0012376237623762376,0.026285312017440277
35,P08003,,3.1609656364602454,1.0,7.0,0.03211009174311927,0.0012376237623762376,0.03087246798074303
36,P39061,TP,3.155034781929772,1.0,7.0,0.03211009174311927,0.0012376237623762376,0.03087246798074303
37,Q8BMD6,FP,3.1489236658892588,1.0,8.0,0.03669724770642202,0.0012376237623762376,0.03545962394404578
38,Q8VCC9,TP,3.0883561325554667,2.0,8.0,0.03669724770642202,0.0024752475247524753,0.03422200018166954
39,Q8K2C7,,3.054104567390189,2.0,9.0,0.04128440366972477,0.0024752475247524753,0.038809156144972295
40,P10493,TP,3.037595772450599,2.0,9.0,0.04128440366972477,0.0024752475247524753,0.038809156144972295
41,P14211,TP,3.037204633654556,2.0,10.0,0.045871559633027525,0.0024752475247524753,0.04339631210827505
42,Q8BJS4,FP,3.018154715507769,2.0,11.0,0.05045871559633028,0.0024752475247524753,0.0479834680715778
43,Q07113,,3.0140448788738996,3.0,11.0,0.05045871559633028,0.0037128712871287127,0.04674584430920156
44,Q61147,TP,3.0139015050700735,3.0,11.0,0.05045871559633028,0.0037128712871287127,0.04674584430920156
45,P01029,TP,3.012762629271455,3.0,12.0,0.05504587155963303,0.0037128712871287127,0.051333000272504314
46,Q9JMG3,FP,3.002406332167663,3.0,13.0,0.05963302752293578,0.0037128712871287127,0.05592015623580707
47,P24668,,2.97759528144723,4.0,13.0,0.05963302752293578,0.0049504950495049506,0.054682532473430835
48,Q80X71,,2.974616805009214,4.0,13.0,0.05963302752293578,0.0049504950495049506,0.054682532473430835
49,Q91ZX7,FP,2.969913348158135,4.0,13.0,0.05963302752293578,0.0049504950495049506,0.054682532473430835
50,P09055,,2.9648497568155996,5.0,13.0,0.05963302752293578,0.006188118811881188,0.053444908711054596
51,Q60715,,2.9555984805657376,5.0,13.0,0.05963302752293578,0.006188118811881188,0.053444908711054596
52,Q9Z247,,2.9521263865397827,5.0,13.0,0.05963302752293578,0.006188118811881188,0.053444908711054596
53,Q3U4G3,,2.9120817208620156,5.0,13.0,0.05963302752293578,0.006188118811881188,0.053444908711054596
54,F6XJP7,,2.907835841739804,5.0,13.0,0.05963302752293578,0.006188118811881188,0.053444908711054596
55,Q6ZQI3,,2.905220212069425,5.0,13.0,0.05963302752293578,0.006188118811881188,0.053444908711054596
56,Q61334,,2.9017666907631585,5.0,13.0,0.05963302752293578,0.006188118811881188,0.053444908711054596
57,Q8VEB4,TP,2.868967479096804,5.0,13.0,0.05963302752293578,0.006188118811881188,0.053444908711054596
58,Q8R2G4,,2.867207421928983,5.0,14.0,0.06422018348623854,0.006188118811881188,0.05803206467435735
59,P59481,,2.851709680430085,5.0,14.0,0.06422018348623854,0.006188118811881188,0.05803206467435735
60,Q91YQ5,,2.8413914608659616,5.0,14.0,0.06422018348623854,0.006188118811881188,0.05803206467435735
61,P23780,,2.832382600662135,5.0,14.0,0.06422018348623854,0.006188118811881188,0.05803206467435735
62,Q9WTZ2,,2.8278526621274653,5.0,14.0,0.06422018348623854,0.006188118811881188,0.05803206467435735
63,P70302,FP,2.824002353785125,5.0,14.0,0.06422018348623854,0.006188118811881188,0.05803206467435735
64,Q9DAU1,FP,2.8048355999704553,6.0,14.0,0.06422018348623854,0.007425742574257425,0.05679444091198111
65,P10810,TP,2.795354260249608,7.0,14.0,0.06422018348623854,0.008663366336633664,0.05555681714960487
66,F8VQJ3,,2.794846506634255,7.0,15.0,0.06880733944954129,0.008663366336633664,0.060143973112907624
67,Q3TCN2,,2.7876696626384687,7.0,15.0,0.06880733944954129,0.008663366336633664,0.060143973112907624
68,Q9R045,TP,2.7779462677438924,7.0,15.0,0.06880733944954129,0.008663366336633664,0.060143973112907624
69,Q99LJ1,,2.7770158671149345,7.0,16.0,0.07339449541284404,0.008663366336633664,0.06473112907621037
70,Q8BSY0,,2.772886754564761,7.0,16.0,0.07339449541284404,0.008663366336633664,0.06473112907621037
71,P08113,,2.7724142763486177,7.0,16.0,0.07339449541284404,0.008663366336633664,0.06473112907621037
72,Q4FZC9,FP,2.7703685433820193,7.0,16.0,0.07339449541284404,0.008663366336633664,0.06473112907621037
73,Q9JHP7,,2.763760404129093,8.0,16.0,0.07339449541284404,0.009900990099009901,0.06349350531383414
74,Q03311,TP,2.7426838060801075,8.0,16.0,0.07339449541284404,0.009900990099009901,0.06349350531383414
75,P20029,,2.7319289898957932,8.0,17.0,0.0779816513761468,0.009900990099009901,0.0680806612771369
76,Q8BRH0,,2.7180175516092535,8.0,17.0,0.0779816513761468,0.009900990099009901,0.0680806612771369
77,Q9Z0J0,TP,2.7179498133047337,8.0,17.0,0.0779816513761468,0.009900990099009901,0.0680806612771369
78,Q8BRK9,,2.7114290586050713,8.0,18.0,0.08256880733944955,0.009900990099009901,0.07266781724043965
79,E9PYH0,,2.701632463813363,8.0,18.0,0.08256880733944955,0.009900990099009901,0.07266781724043965
80,Q9QXT0,,2.6904849919851426,8.0,18.0,0.08256880733944955,0.009900990099009901,0.07266781724043965
81,Q9WVB4,TP,2.6867969065290924,8.0,18.0,0.08256880733944955,0.009900990099009901,0.07266781724043965
82,Q9D7N9,,2.6853305417581224,8.0,19.0,0.0871559633027523,0.009900990099009901,0.0772549732037424
83,Q9CPT4,TP,2.677704808112957,8.0,19.0,0.0871559633027523,0.009900990099009901,0.0772549732037424
