,fast_turbo(+)_1/fast_turbo(-)_1_ratio,original_ratio_fast_turbo(+)_1/fast_turbo(-)_1_ratio,FP_fast_turbo(+)_1/fast_turbo(-)_1_ratio,TP_fast_turbo(+)_1/fast_turbo(-)_1_ratio,TPR_fast_turbo(+)_1/fast_turbo(-)_1_ratio,FPR_fast_turbo(+)_1/fast_turbo(-)_1_ratio,TPR-FPR_fast_turbo(+)_1/fast_turbo(-)_1_ratio,uniprot,annotation,fast_turbo(+)_1/fast_turbo(-)_2_ratio,original_ratio_fast_turbo(+)_1/fast_turbo(-)_2_ratio,FP_fast_turbo(+)_1/fast_turbo(-)_2_ratio,TP_fast_turbo(+)_1/fast_turbo(-)_2_ratio,TPR_fast_turbo(+)_1/fast_turbo(-)_2_ratio,FPR_fast_turbo(+)_1/fast_turbo(-)_2_ratio,TPR-FPR_fast_turbo(+)_1/fast_turbo(-)_2_ratio,fast_turbo(+)_2/fast_turbo(-)_1_ratio,original_ratio_fast_turbo(+)_2/fast_turbo(-)_1_ratio,FP_fast_turbo(+)_2/fast_turbo(-)_1_ratio,TP_fast_turbo(+)_2/fast_turbo(-)_1_ratio,TPR_fast_turbo(+)_2/fast_turbo(-)_1_ratio,FPR_fast_turbo(+)_2/fast_turbo(-)_1_ratio,TPR-FPR_fast_turbo(+)_2/fast_turbo(-)_1_ratio,fast_turbo(+)_2/fast_turbo(-)_2_ratio,original_ratio_fast_turbo(+)_2/fast_turbo(-)_2_ratio,FP_fast_turbo(+)_2/fast_turbo(-)_2_ratio,TP_fast_turbo(+)_2/fast_turbo(-)_2_ratio,TPR_fast_turbo(+)_2/fast_turbo(-)_2_ratio,FPR_fast_turbo(+)_2/fast_turbo(-)_2_ratio,TPR-FPR_fast_turbo(+)_2/fast_turbo(-)_2_ratio,fast_turbo(+)_3/fast_turbo(-)_1_ratio,original_ratio_fast_turbo(+)_3/fast_turbo(-)_1_ratio,FP_fast_turbo(+)_3/fast_turbo(-)_1_ratio,TP_fast_turbo(+)_3/fast_turbo(-)_1_ratio,TPR_fast_turbo(+)_3/fast_turbo(-)_1_ratio,FPR_fast_turbo(+)_3/fast_turbo(-)_1_ratio,TPR-FPR_fast_turbo(+)_3/fast_turbo(-)_1_ratio,fast_turbo(+)_3/fast_turbo(-)_2_ratio,original_ratio_fast_turbo(+)_3/fast_turbo(-)_2_ratio,FP_fast_turbo(+)_3/fast_turbo(-)_2_ratio,TP_fast_turbo(+)_3/fast_turbo(-)_2_ratio,TPR_fast_turbo(+)_3/fast_turbo(-)_2_ratio,FPR_fast_turbo(+)_3/fast_turbo(-)_2_ratio,TPR-FPR_fast_turbo(+)_3/fast_turbo(-)_2_ratio,fast_turbo(+)_4/fast_turbo(-)_1_ratio,original_ratio_fast_turbo(+)_4/fast_turbo(-)_1_ratio,FP_fast_turbo(+)_4/fast_turbo(-)_1_ratio,TP_fast_turbo(+)_4/fast_turbo(-)_1_ratio,TPR_fast_turbo(+)_4/fast_turbo(-)_1_ratio,FPR_fast_turbo(+)_4/fast_turbo(-)_1_ratio,TPR-FPR_fast_turbo(+)_4/fast_turbo(-)_1_ratio,fast_turbo(+)_4/fast_turbo(-)_2_ratio,original_ratio_fast_turbo(+)_4/fast_turbo(-)_2_ratio,FP_fast_turbo(+)_4/fast_turbo(-)_2_ratio,TP_fast_turbo(+)_4/fast_turbo(-)_2_ratio,TPR_fast_turbo(+)_4/fast_turbo(-)_2_ratio,FPR_fast_turbo(+)_4/fast_turbo(-)_2_ratio,TPR-FPR_fast_turbo(+)_4/fast_turbo(-)_2_ratio
0,,,,,,,,Q8CEC0,FP,inf,inf,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,inf,inf,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,2.0,0.008928571428571428,0.0,0.008928571428571428,,,,,,,,,,,,,,
1,,,,,,,,Q6PGH1,FP,inf,inf,1.0,0.0,0.0,0.001394700139470014,-0.001394700139470014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,Q80WR5,FP,inf,inf,2.0,0.0,0.0,0.002789400278940028,-0.002789400278940028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,inf,2.0,2.0,0.008928571428571428,0.0028011204481792717,0.006127450980392156,inf,inf,1.0,2.0,0.008928571428571428,0.0013986013986013986,0.0075299700299700295
3,,,,,,,,Q3U276,,inf,inf,3.0,0.0,0.0,0.0041841004184100415,-0.0041841004184100415,,,,,,,,,,,,,,,,,,,,,,inf,inf,1.0,2.0,0.008928571428571428,0.0014005602240896359,0.007528011204481792,1.3057436050097788,3.396694214876033,26.0,20.0,0.08928571428571429,0.036414565826330535,0.05287114845938375,inf,inf,0.0,1.0,0.004464285714285714,0.0,0.004464285714285714
4,,,,,,,,Q8R0Z6,TP,inf,inf,3.0,0.0,0.0,0.0041841004184100415,-0.0041841004184100415,,,,,,,,,,,,,,,inf,inf,2.0,0.0,0.0,0.0028011204481792717,-0.0028011204481792717,inf,inf,0.0,0.0,0.0,0.0,0.0,inf,inf,1.0,1.0,0.004464285714285714,0.0014005602240896359,0.003063725490196078,inf,inf,0.0,0.0,0.0,0.0,0.0
5,,,,,,,,Q8BH15,FP,inf,inf,3.0,1.0,0.004484304932735426,0.0041841004184100415,0.00030020451432538446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,inf,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,1.0,0.004464285714285714,0.0,0.004464285714285714
6,,,,,,,,Q7TQG1,,inf,inf,4.0,1.0,0.004484304932735426,0.005578800557880056,-0.0010944956251446297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,inf,1.0,1.0,0.004464285714285714,0.0013986013986013986,0.0030656843156843154
7,,,,,,,,Q11136,,inf,inf,4.0,1.0,0.004484304932735426,0.005578800557880056,-0.0010944956251446297,,,,,,,,,,,,,,,,,,,,,,inf,inf,1.0,2.0,0.008928571428571428,0.0014005602240896359,0.007528011204481792,,,,,,,,inf,inf,0.0,1.0,0.004464285714285714,0.0,0.004464285714285714
8,,,,,,,,Q9WTL4,,3.6303080162197046,16.185264363428136,4.0,1.0,0.004484304932735426,0.005578800557880056,-0.0010944956251446297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2393709598735212,3.2439660056657225,27.0,23.0,0.10267857142857142,0.037815126050420166,0.06486344537815125,,,,,,,
9,,,,,,,,Q9Z2K1,,2.662857907741733,8.277292366778685,4.0,1.0,0.004484304932735426,0.005578800557880056,-0.0010944956251446297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.193075573117523,3.1415211970074814,27.0,23.0,0.10267857142857142,0.037815126050420166,0.06486344537815125,,,,,,,
10,,,,,,,,P84244,FP,2.642866410488255,8.16338454879896,4.0,1.0,0.004484304932735426,0.005578800557880056,-0.0010944956251446297,,,,,,,,,,,,,,,,,,,,,,4.642994552156357,17.88379138714564,1.0,2.0,0.008928571428571428,0.0014005602240896359,0.007528011204481792,,,,,,,,3.877241957459301,14.025319194979442,2.0,2.0,0.008928571428571428,0.002797202797202797,0.006131368631368631
11,,,,,,,,P50446,,2.3335664691259166,6.5881229431123645,5.0,1.0,0.004484304932735426,0.00697350069735007,-0.0024891957646146438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,Q6IFX2,,2.0025899132572715,5.237545681861897,5.0,1.0,0.004484304932735426,0.00697350069735007,-0.0024891957646146438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,Q62267,,1.9381191122692412,5.008644168146833,5.0,1.0,0.004484304932735426,0.00697350069735007,-0.0024891957646146438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,P04104,,1.9267655704452369,4.96938245492534,5.0,1.0,0.004484304932735426,0.00697350069735007,-0.0024891957646146438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,Q99LH1,FP,1.8987540049721334,4.873826903023983,5.0,1.0,0.004484304932735426,0.00697350069735007,-0.0024891957646146438,,,,,,,,,,,,,,,,,,,,,,1.2271810437454362,1.67570385818561,26.0,25.0,0.11160714285714286,0.036414565826330535,0.07519257703081234,,,,,,,,,,,,,,
16,,,,,,,,A0A140LHX0,,1.8945272169446385,4.859568529394662,6.0,1.0,0.004484304932735426,0.008368200836820083,-0.003883895904084657,,,,,,,,,,,,,,,,,,,,,,1.1024333499438295,1.5368959702273652,34.0,28.0,0.125,0.047619047619047616,0.07738095238095238,,,,,,,,1.2825964196614446,2.321916613362796,24.0,20.0,0.08928571428571429,0.033566433566433566,0.05571928071928072
17,,,,,,,,P14602,FP,1.8787677402546723,4.806773250816572,6.0,1.0,0.004484304932735426,0.008368200836820083,-0.003883895904084657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,P10922,FP,1.8291180907989084,4.644164580725907,7.0,1.0,0.004484304932735426,0.009762900976290097,-0.005278596043554671,,,,,,,,,,,,,,,,,,,,,,2.136346259673489,3.1469023779724656,6.0,18.0,0.08035714285714286,0.008403361344537815,0.07195378151260505,,,,,,,,1.9830512202597002,3.773153942428035,7.0,9.0,0.04017857142857143,0.009790209790209791,0.03038836163836164
19,,,,,,,,Q8K4L4,,1.812485431784533,4.5909300184162065,8.0,1.0,0.004484304932735426,0.011157601115760111,-0.006673296183024685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,Q61781,FP,1.750873587284465,4.398996935079409,8.0,1.0,0.004484304932735426,0.011157601115760111,-0.006673296183024685,,,,,,,,,,,,,,,1.7572856262081538,3.5701078582434516,7.0,20.0,0.08928571428571429,0.00980392156862745,0.07948179271708683,,,,,,,,1.5537869725487927,4.033898305084746,11.0,14.0,0.0625,0.015406162464985995,0.047093837535014005,,,,,,,
21,,,,,,,,E9Q557,FP,1.7308165903958448,4.338263248180259,9.0,1.0,0.004484304932735426,0.012552301255230125,-0.008067996322494699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,Q9CQ65,FP,1.7062476041398829,4.265008488617071,10.0,1.0,0.004484304932735426,0.01394700139470014,-0.009462696461964713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,P31001,FP,1.7018834634911686,4.252126366950182,11.0,1.0,0.004484304932735426,0.015341701534170154,-0.010857396601434727,,,,,,,,,,,,,,,,,,,,,,2.082670001852805,3.031971445929526,7.0,18.0,0.08035714285714286,0.00980392156862745,0.0705532212885154,,,,,,,,1.8646463088810084,3.475850546780073,9.0,9.0,0.04017857142857143,0.012587412587412588,0.02759115884115884
24,,,,,,,,F6XCP4,,1.5984638054228635,3.9579813494240264,12.0,1.0,0.004484304932735426,0.016736401673640166,-0.01225209674090474,,,,,,,,,,,,,,,,,,,,,,0.9616848922381246,1.3940391296397878,41.0,32.0,0.14285714285714285,0.05742296918767507,0.08543417366946779,,,,,,,,,,,,,,
25,,,,,,,,Q9QWL7,,1.5898045530549152,3.934296157617901,12.0,1.0,0.004484304932735426,0.016736401673640166,-0.01225209674090474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,P08228,FP,1.5808551208919264,3.909966182613885,12.0,1.0,0.004484304932735426,0.016736401673640166,-0.01225209674090474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5834844695721602,4.117795577224447,10.0,14.0,0.0625,0.014005602240896359,0.04849439775910364,0.97933124658738,1.8817187189178437,39.0,29.0,0.12946428571428573,0.05454545454545454,0.07491883116883119
27,,,,,,,,P97350,FP,1.5623960126710246,3.8602573266619014,13.0,1.0,0.004484304932735426,0.01813110181311018,-0.013646796880374755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,E9Q0F0,,1.5587138186589526,3.850417345276873,14.0,1.0,0.004484304932735426,0.019525801952580194,-0.015041497019844769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,P48678,FP,1.5523492029504404,3.83346819873766,14.0,1.0,0.004484304932735426,0.019525801952580194,-0.015041497019844769,,,,,,,,,,,,,,,,,,,,,,2.1779780897681196,3.239035442628257,5.0,18.0,0.08035714285714286,0.0070028011204481795,0.07335434173669468,1.696496142423025,4.453328029700344,9.0,14.0,0.0625,0.012605042016806723,0.04989495798319328,2.509737918673606,5.435669202136268,4.0,3.0,0.013392857142857142,0.005594405594405594,0.007798451548451548
30,,,,,,,,Q3UL36,,1.5375960121216472,3.794466403162055,15.0,1.0,0.004484304932735426,0.02092050209205021,-0.016436197159314783,,,,,,,,,,,,,,,,,,,,,,1.5859005401130348,2.1487337139511054,17.0,23.0,0.10267857142857142,0.023809523809523808,0.07886904761904762,,,,,,,,1.5363372144812042,2.768408724930464,15.0,16.0,0.07142857142857142,0.02097902097902098,0.05044955044955045
31,,,,,,,,Q3UV17,,1.5329635983047218,3.782302121712616,15.0,1.0,0.004484304932735426,0.02092050209205021,-0.016436197159314783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,Q8VED5,,1.520229941529292,3.7490652898237404,15.0,1.0,0.004484304932735426,0.02092050209205021,-0.016436197159314783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,Q6NXH9,,1.5014239986802382,3.7005122891843665,15.0,1.0,0.004484304932735426,0.02092050209205021,-0.016436197159314783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,P61982,,1.4808633085003469,3.6481481481481484,15.0,1.0,0.004484304932735426,0.02092050209205021,-0.016436197159314783,,,,,,,,,,,,,,,inf,inf,2.0,1.0,0.004464285714285714,0.0028011204481792717,0.0016631652661064423,,,,,,,,inf,inf,1.0,2.0,0.008928571428571428,0.0014005602240896359,0.007528011204481792,1.0663257787583664,1.9986772486772486,32.0,25.0,0.11160714285714286,0.044755244755244755,0.06685189810189811
35,,,,,,,,Q91VB8,,1.3547251776167735,3.342728509121606,15.0,1.0,0.004484304932735426,0.02092050209205021,-0.016436197159314783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,O70318,FP,1.3521811697184203,3.3368392296134406,15.0,1.0,0.004484304932735426,0.02092050209205021,-0.016436197159314783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,P30115,,1.3296831326414449,3.285206690765567,16.0,1.0,0.004484304932735426,0.022315202231520222,-0.017830897298784797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2834233297169604,2.3232478486513153,24.0,20.0,0.08928571428571429,0.033566433566433566,0.05571928071928072
38,,,,,,,,P20152,FP,1.313426207089754,3.248395322254462,16.0,1.0,0.004484304932735426,0.022315202231520222,-0.017830897298784797,,,,,,,,,,,,,,,,,,,,,,1.4308904536665457,1.9298338169348457,20.0,24.0,0.10714285714285714,0.028011204481792718,0.07913165266106442,,,,,,,,1.150401196550161,2.118614261848237,29.0,23.0,0.10267857142857142,0.04055944055944056,0.062119130869130866
39,,,,,,,,Q9CPN9,,1.3108922079173362,3.2426947368421053,17.0,1.0,0.004484304932735426,0.023709902370990237,-0.01922559743825481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,Q9DBH0,FP,1.3018032832151583,3.2223300970873785,17.0,1.0,0.004484304932735426,0.023709902370990237,-0.01922559743825481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,Q0VBK2,,1.2997154634530028,3.2176702219208804,18.0,1.0,0.004484304932735426,0.02510460251046025,-0.020620297577724826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,A8DUK4,,1.2922359303248765,3.201031644689432,18.0,1.0,0.004484304932735426,0.02510460251046025,-0.020620297577724826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,P49222,FP,1.288243620222812,3.1921858076938507,18.0,1.0,0.004484304932735426,0.02510460251046025,-0.020620297577724826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,P62259,FP,1.2793321233774153,3.172528517110266,19.0,1.0,0.004484304932735426,0.026499302649930265,-0.02201499771719484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1911537099008478,3.1373390557939915,27.0,23.0,0.10267857142857142,0.037815126050420166,0.06486344537815125,,,,,,,
45,,,,,,,,P16015,,1.271668262180162,3.1557201466797373,20.0,1.0,0.004484304932735426,0.02789400278940028,-0.023409697856664854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,P14152,,1.255797769544899,3.1211956151698783,20.0,1.0,0.004484304932735426,0.02789400278940028,-0.023409697856664854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8372593244610536,4.909741492624507,7.0,11.0,0.049107142857142856,0.00980392156862745,0.039303221288515405,1.2619315033966758,2.288894941104378,24.0,21.0,0.09375,0.033566433566433566,0.060183566433566434
47,,,,,,,,Q9QZQ8,FP,1.235878849582891,3.078398195149464,20.0,1.0,0.004484304932735426,0.02789400278940028,-0.023409697856664854,,,,,,,,,,,,,,,,,,,,,,2.8294287021250093,5.087704455724761,2.0,14.0,0.0625,0.0028011204481792717,0.05969887955182073,,,,,,,,2.6125071866304745,5.8369994359842075,3.0,3.0,0.013392857142857142,0.004195804195804196,0.009197052947052947
48,,,,,,,,Q6NV66,,1.2160705383515795,3.036420395421436,21.0,1.0,0.004484304932735426,0.029288702928870293,-0.024804397996134868,,,,,,,,,,,,,,,,,,,,,,1.4265507237189188,1.9240374609781479,22.0,24.0,0.10714285714285714,0.03081232492997199,0.07633053221288515,,,,,,,,,,,,,,
49,,,,,,,,Q99MN9,,1.2001626821059497,3.0031232618833696,21.0,1.0,0.004484304932735426,0.029288702928870293,-0.024804397996134868,,,,,,,,,,,,,,,,,,,,,,0.9760750220186567,1.408013519873358,40.0,32.0,0.14285714285714285,0.056022408963585436,0.08683473389355742,,,,,,,,,,,,,,
50,,,,,,,,Q52KC3,,1.1891362996172763,2.9802581624905087,21.0,1.0,0.004484304932735426,0.029288702928870293,-0.024804397996134868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,P17182,FP,1.1462244971490458,2.8929181512030846,21.0,1.0,0.004484304932735426,0.029288702928870293,-0.024804397996134868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,P62075,,1.1110400343248568,2.8232189973614776,22.0,1.0,0.004484304932735426,0.030683403068340307,-0.026199098135604882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,Q91X78,,1.105342791135884,2.81209201119055,22.0,1.0,0.004484304932735426,0.030683403068340307,-0.026199098135604882,,,,,,,,,,,,,,,,,,,,,,1.0133079678402637,1.444824370531551,37.0,31.0,0.13839285714285715,0.05182072829131653,0.08657212885154061,,,,,,,,1.4390145940078582,2.5878147342244326,17.0,17.0,0.07589285714285714,0.023776223776223775,0.05211663336663336
54,,,,,,,,Q9WTP6,,1.1045670999200043,2.81058044519583,22.0,1.0,0.004484304932735426,0.030683403068340307,-0.026199098135604882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,P00920,,1.077984665775945,2.7592681647285127,22.0,1.0,0.004484304932735426,0.030683403068340307,-0.026199098135604882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5349057247235138,3.9814486921529175,13.0,14.0,0.0625,0.018207282913165267,0.04429271708683473,1.1801109023405716,2.162695636967736,28.0,23.0,0.10267857142857142,0.039160839160839164,0.06351773226773226
56,,,,,,,,Q99MZ3,FP,1.063388769405174,2.7314930991217063,22.0,1.0,0.004484304932735426,0.030683403068340307,-0.026199098135604882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,Q91ZA3,,1.0195831229333814,2.649801210025929,23.0,1.0,0.004484304932735426,0.03207810320781032,-0.027593798275074896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,Q922U2,,1.0155187690986585,2.6423467075678877,23.0,1.0,0.004484304932735426,0.03207810320781032,-0.027593798275074896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,O09131,,0.9944247523162343,2.6039933444259566,23.0,1.0,0.004484304932735426,0.03207810320781032,-0.027593798275074896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2975385243895803,2.346089850249584,23.0,20.0,0.08928571428571429,0.032167832167832165,0.05711788211788212
60,,,,,,,,P21619,FP,0.9915513159120751,2.5988120950323976,23.0,1.0,0.004484304932735426,0.03207810320781032,-0.027593798275074896,,,,,,,,,,,,,,,,,,,,,,0.9746131089941076,1.40658747300216,40.0,32.0,0.14285714285714285,0.056022408963585436,0.08683473389355742,,,,,,,,,,,,,,
61,,,,,,,,Q9Z108,,0.9888191588989057,2.5938951559389514,24.0,1.0,0.004484304932735426,0.03347280334728033,-0.028988498414544907,,,,,,,,,,,,,,,,,,,,,,1.3548798748439224,1.8307896483078965,23.0,25.0,0.11160714285714286,0.03221288515406162,0.07939425770308124,,,,,,,,1.6674792834252343,3.0318513603185138,12.0,16.0,0.07142857142857142,0.016783216783216783,0.05464535464535464
62,,,,,,,,P52480,FP,0.9849519647063344,2.5869514404254077,24.0,1.0,0.004484304932735426,0.03347280334728033,-0.028988498414544907,,,,,,,,,,,,,,,,,,,,,,1.9720677307560812,2.808215976158476,10.0,18.0,0.08035714285714286,0.014005602240896359,0.0663515406162465,1.4194416579426106,3.675216908797417,17.0,17.0,0.07589285714285714,0.023809523809523808,0.05208333333333333,2.157265055626578,4.257435867469176,6.0,7.0,0.03125,0.008391608391608392,0.022858391608391607
63,,,,,,,,Q6ZWX6,,0.9770771682527213,2.572869310759262,25.0,1.0,0.004484304932735426,0.03486750348675035,-0.030383198554014924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,P12710,,0.9765152096814941,2.571867321867322,25.0,1.0,0.004484304932735426,0.03486750348675035,-0.030383198554014924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,A2A513,TP,0.9760500656519332,2.57103825136612,25.0,1.0,0.004484304932735426,0.03486750348675035,-0.030383198554014924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,P17751,,0.9633037388802232,2.5484229725521597,25.0,2.0,0.008968609865470852,0.03486750348675035,-0.0258988936212795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,E9QM77,FP,0.9602891403290706,2.543103448275862,25.0,2.0,0.008968609865470852,0.03486750348675035,-0.0258988936212795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,P62897,,0.9544377134325517,2.5328097640470864,26.0,2.0,0.008968609865470852,0.03626220362622036,-0.02729359376074951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,P35290,,0.9494659935598657,2.5240963855421685,26.0,2.0,0.008968609865470852,0.03626220362622036,-0.02729359376074951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,Q9DCV7,,0.9461696464282496,2.518335778103747,26.0,2.0,0.008968609865470852,0.03626220362622036,-0.02729359376074951,,,,,,,,,,,,,,,,,,,,,,1.574633184402196,2.1320176023469797,18.0,23.0,0.10267857142857142,0.025210084033613446,0.07746848739495799,1.203445550467505,3.1641835518474375,27.0,23.0,0.10267857142857142,0.037815126050420166,0.06486344537815125,1.5691580420125233,2.832110948126417,14.0,16.0,0.07142857142857142,0.019580419580419582,0.05184815184815184
71,,,,,,,,Q811Q3,,0.9458549787694294,2.5177865612648223,26.0,2.0,0.008968609865470852,0.03626220362622036,-0.02729359376074951,,,,,,,,,,,,,,,,,,,,,,1.0453017780024811,1.4772233201581029,36.0,30.0,0.13392857142857142,0.05042016806722689,0.08350840336134453,,,,,,,,,,,,,,
72,,,,,,,,A0A0G2JDV3,,0.9451964023019327,2.5166374781085814,26.0,2.0,0.008968609865470852,0.03626220362622036,-0.02729359376074951,,,,,,,,,,,,,,,,,,,,,,1.793690942643649,2.4816112084063047,14.0,22.0,0.09821428571428571,0.0196078431372549,0.07860644257703081,,,,,,,,1.6318869352531529,2.957968476357268,13.0,16.0,0.07142857142857142,0.01818181818181818,0.053246753246753244
73,,,,,,,,Q64261,FP,0.9364690441233022,2.5014594279042615,26.0,2.0,0.008968609865470852,0.03626220362622036,-0.02729359376074951,,,,,,,,,,,,,,,,,,,,,,1.1736898401549682,1.6147110332749561,27.0,28.0,0.125,0.037815126050420166,0.08718487394957983,1.284292312234069,3.346562721474132,26.0,22.0,0.09821428571428571,0.036414565826330535,0.06179971988795518,1.5301531479592536,2.7565674255691768,15.0,16.0,0.07142857142857142,0.02097902097902098,0.05044955044955045
74,,,,,,,,P62806,FP,0.9126788893785956,2.4605484051482933,27.0,2.0,0.008968609865470852,0.03765690376569038,-0.028688293900219528,,,,,,,,,,,,,,,,,,,,,,2.691932658255152,4.625209848908786,3.0,14.0,0.0625,0.004201680672268907,0.058298319327731093,,,,,,,,1.6001141772452592,2.8935366536094014,13.0,16.0,0.07142857142857142,0.01818181818181818,0.053246753246753244
75,,,,,,,,Q9ESW8,,0.9045400925792517,2.4467065868263473,28.0,2.0,0.008968609865470852,0.03905160390516039,-0.030082994039689538,,,,,,,,,,,,,,,1.6337648962332405,3.2771618625277164,11.0,22.0,0.09821428571428571,0.015406162464985995,0.08280812324929972,2.0431775960394156,2.9500998003992014,9.0,18.0,0.08035714285714286,0.012605042016806723,0.06775210084033614,1.237961459087436,3.2407982261640798,27.0,23.0,0.10267857142857142,0.037815126050420166,0.06486344537815125,1.6119462883595277,2.9173652694610777,13.0,16.0,0.07142857142857142,0.01818181818181818,0.053246753246753244
76,,,,,,,,Q8JZQ9,,0.8855616254512817,2.4147312541473127,28.0,2.0,0.008968609865470852,0.03905160390516039,-0.030082994039689538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0704613660640607,5.771111111111111,6.0,8.0,0.03571428571428571,0.008403361344537815,0.0273109243697479,1.2674843541740373,2.2977217429772177,24.0,21.0,0.09375,0.033566433566433566,0.060183566433566434
77,,,,,,,,Q6GQT1,TP,0.8811355020818061,2.4073343200131556,28.0,2.0,0.008968609865470852,0.03905160390516039,-0.030082994039689538,,,,,,,,,,,,,,,,,,,,,,1.1738282701024736,1.614865975990791,27.0,27.0,0.12053571428571429,0.037815126050420166,0.08272058823529413,,,,,,,,1.6866258958261253,3.07235652030916,12.0,14.0,0.0625,0.016783216783216783,0.04571678321678321
