,uniprot,annotation,iWAT_HF_cre+_2/iWAT_HF_cre-_2_ratio,FP,TP,TPR,FPR,TPR-FPR
0,Q99LJ6,TP,4.776171299176011,0.0,0.0,0.0,0.0,0.0
1,Q9Z2G9,FP,4.683839311713563,0.0,1.0,0.004524886877828055,0.0,0.004524886877828055
2,Q3TCN2,,4.625616230198124,1.0,1.0,0.004524886877828055,0.0012106537530266344,0.0033142331248014203
3,Q9QZ25,,4.480803480069505,1.0,1.0,0.004524886877828055,0.0012106537530266344,0.0033142331248014203
4,Q8BH01,,4.321536809181471,1.0,1.0,0.004524886877828055,0.0012106537530266344,0.0033142331248014203
5,Q9CPV7,,4.222291272866583,1.0,1.0,0.004524886877828055,0.0012106537530266344,0.0033142331248014203
6,Q9CXE7,,4.211910487750762,1.0,1.0,0.004524886877828055,0.0012106537530266344,0.0033142331248014203
7,J3KMH5,,4.127816576569619,1.0,1.0,0.004524886877828055,0.0012106537530266344,0.0033142331248014203
8,P55302,,4.122471540859389,1.0,1.0,0.004524886877828055,0.0012106537530266344,0.0033142331248014203
9,Q9CQW0,,4.112668370112814,1.0,1.0,0.004524886877828055,0.0012106537530266344,0.0033142331248014203
10,Q925U4,,4.080691896324736,1.0,1.0,0.004524886877828055,0.0012106537530266344,0.0033142331248014203
11,Q9DAU1,FP,4.045267999143634,1.0,1.0,0.004524886877828055,0.0012106537530266344,0.0033142331248014203
12,Q6ZQI3,,4.028668685210304,2.0,1.0,0.004524886877828055,0.002421307506053269,0.002103579371774786
13,O54998,,4.013312073406199,2.0,1.0,0.004524886877828055,0.002421307506053269,0.002103579371774786
14,Q9Z0F8,TP,3.989658508494956,2.0,1.0,0.004524886877828055,0.002421307506053269,0.002103579371774786
15,Q8CFG0,,3.983229150898383,2.0,2.0,0.00904977375565611,0.002421307506053269,0.0066284662496028405
16,Q9DBZ1,,3.9614775300933758,2.0,2.0,0.00904977375565611,0.002421307506053269,0.0066284662496028405
17,P59481,,3.9292007338253905,2.0,2.0,0.00904977375565611,0.002421307506053269,0.0066284662496028405
18,Q9ERE7,,3.9199076498564662,2.0,2.0,0.00904977375565611,0.002421307506053269,0.0066284662496028405
19,Q91XD7,,3.918060129965708,2.0,2.0,0.00904977375565611,0.002421307506053269,0.0066284662496028405
20,Q02819,TP,3.8891193231186776,2.0,2.0,0.00904977375565611,0.002421307506053269,0.0066284662496028405
21,Q640L3,,3.871216470925371,2.0,3.0,0.013574660633484163,0.002421307506053269,0.011153353127430893
22,Q8BRH0,,3.8659852270501105,2.0,3.0,0.013574660633484163,0.002421307506053269,0.011153353127430893
23,Q3V1T4,TP,3.853954829070918,2.0,3.0,0.013574660633484163,0.002421307506053269,0.011153353127430893
24,Q8K2C7,,3.8180091519661947,2.0,4.0,0.01809954751131222,0.002421307506053269,0.01567824000525895
25,P28798,TP,3.799714020701181,2.0,4.0,0.01809954751131222,0.002421307506053269,0.01567824000525895
26,E9Q723,,3.7724046566880007,2.0,5.0,0.02262443438914027,0.002421307506053269,0.020203126883087
27,Q91ZW2,,3.7590675715727366,2.0,5.0,0.02262443438914027,0.002421307506053269,0.020203126883087
28,Q8BFR4,,3.7471701176877446,2.0,5.0,0.02262443438914027,0.002421307506053269,0.020203126883087
