,uniprot,annotation,iWAT_HF_cre+_2/control_mean,FP,TP,TPR,FPR,TPR-FPR
0,Q9D3V1,FP,5.7008604072829625,1.0,0.0,0.0,0.00117096018735363,-0.00117096018735363
1,Q99LJ6,TP,4.771162010984254,1.0,1.0,0.004310344827586207,0.00117096018735363,0.003139384640232577
2,Q9Z2G9,FP,4.68053193841896,2.0,1.0,0.004310344827586207,0.00234192037470726,0.001968424452878947
3,Q3UPY5,TP,4.54874501557166,2.0,2.0,0.008620689655172414,0.00234192037470726,0.006278769280465154
4,Q3TCN2,,4.473779024570468,2.0,2.0,0.008620689655172414,0.00234192037470726,0.006278769280465154
5,Q8R180,TP,4.387671865131675,2.0,3.0,0.01293103448275862,0.00234192037470726,0.01058911410805136
6,Q8BH01,,4.295784037101911,2.0,3.0,0.01293103448275862,0.00234192037470726,0.01058911410805136
7,P55302,,4.198664832444143,2.0,3.0,0.01293103448275862,0.00234192037470726,0.01058911410805136
8,J3KMH5,,4.168978007283601,2.0,3.0,0.01293103448275862,0.00234192037470726,0.01058911410805136
9,Q925U4,,4.11544414123259,2.0,3.0,0.01293103448275862,0.00234192037470726,0.01058911410805136
10,Q8CFG0,,4.070529986129525,2.0,3.0,0.01293103448275862,0.00234192037470726,0.01058911410805136
11,Q8VEF1,,4.019551918878742,2.0,3.0,0.01293103448275862,0.00234192037470726,0.01058911410805136
12,Q6ZQI3,,3.9976237398596477,2.0,3.0,0.01293103448275862,0.00234192037470726,0.01058911410805136
13,Q9DAU1,FP,3.9410696813932846,3.0,3.0,0.01293103448275862,0.00351288056206089,0.00941815392069773
14,E9Q4X2,,3.9152136679676315,3.0,3.0,0.01293103448275862,0.00351288056206089,0.00941815392069773
15,Q02819,TP,3.909994107768181,3.0,4.0,0.017241379310344827,0.00351288056206089,0.013728498748283937
16,P15116,,3.8993501655186136,3.0,4.0,0.017241379310344827,0.00351288056206089,0.013728498748283937
17,Q640L3,,3.8841168942139537,3.0,4.0,0.017241379310344827,0.00351288056206089,0.013728498748283937
18,O54998,,3.88284851857111,3.0,4.0,0.017241379310344827,0.00351288056206089,0.013728498748283937
19,Q9ERE7,,3.875187071537048,3.0,4.0,0.017241379310344827,0.00351288056206089,0.013728498748283937
20,Q8BRH0,,3.8697150866426506,3.0,4.0,0.017241379310344827,0.00351288056206089,0.013728498748283937
21,Q91ZW2,,3.8526846941447537,3.0,4.0,0.017241379310344827,0.00351288056206089,0.013728498748283937
22,Q3V1T4,TP,3.842994943746486,3.0,5.0,0.021551724137931036,0.00351288056206089,0.018038843575870146
23,Q9CQE7,,3.8395887566247864,3.0,5.0,0.021551724137931036,0.00351288056206089,0.018038843575870146
24,Q9EPK6,,3.812280013269357,3.0,5.0,0.021551724137931036,0.00351288056206089,0.018038843575870146
25,Q9D0F3,,3.802962950368704,3.0,5.0,0.021551724137931036,0.00351288056206089,0.018038843575870146
26,Q9CXE7,,3.794485551997766,3.0,5.0,0.021551724137931036,0.00351288056206089,0.018038843575870146
27,Q3U4G3,,3.7562362219692402,3.0,5.0,0.021551724137931036,0.00351288056206089,0.018038843575870146
28,P54818,,3.7505114600858236,3.0,5.0,0.021551724137931036,0.00351288056206089,0.018038843575870146
29,E9Q723,,3.747579299602897,3.0,5.0,0.021551724137931036,0.00351288056206089,0.018038843575870146
30,Q8K2C7,,3.738833648302635,3.0,5.0,0.021551724137931036,0.00351288056206089,0.018038843575870146
31,P23188,TP,3.7339455801712815,3.0,6.0,0.02586206896551724,0.00351288056206089,0.02234918840345635
32,Q9Z0F8,TP,3.731119910739381,3.0,7.0,0.03017241379310345,0.00351288056206089,0.02665953323104256
33,E9Q6C2,,3.706837275136651,3.0,7.0,0.03017241379310345,0.00351288056206089,0.02665953323104256
34,Q9DBZ1,,3.685374582173939,3.0,7.0,0.03017241379310345,0.00351288056206089,0.02665953323104256
35,Q60716,,3.649808434765943,3.0,7.0,0.03017241379310345,0.00351288056206089,0.02665953323104256
36,Q62181,TP,3.6319575600488867,3.0,8.0,0.034482758620689655,0.00351288056206089,0.030969878058628764
