,uniprot,annotation,iWAT_HF_cre+_3/control_mean,FP,TP,TPR,FPR,TPR-FPR
0,Q9D3V1,FP,6.397855734265114,1.0,0.0,0.0,0.0011655011655011655,-0.0011655011655011655
1,Q9Z2G9,FP,4.510575970051604,2.0,0.0,0.0,0.002331002331002331,-0.002331002331002331
2,P15116,,4.390217622811401,2.0,0.0,0.0,0.002331002331002331,-0.002331002331002331
3,Q3UPY5,TP,4.225868469642738,2.0,1.0,0.004310344827586207,0.002331002331002331,0.001979342496583876
4,Q99LJ6,TP,4.206189530517101,2.0,2.0,0.008620689655172414,0.002331002331002331,0.006289687324170083
5,Q9DCC8,,4.195446291515815,2.0,2.0,0.008620689655172414,0.002331002331002331,0.006289687324170083
6,Q9CXE7,,4.187843606214445,2.0,2.0,0.008620689655172414,0.002331002331002331,0.006289687324170083
7,Q6ZQI3,,4.168367944204638,2.0,2.0,0.008620689655172414,0.002331002331002331,0.006289687324170083
8,Q925U4,,4.168161525251766,2.0,2.0,0.008620689655172414,0.002331002331002331,0.006289687324170083
9,Q8R180,TP,4.031827954618848,2.0,3.0,0.01293103448275862,0.002331002331002331,0.01060003215175629
10,Q3TCN2,,4.015206497098984,2.0,3.0,0.01293103448275862,0.002331002331002331,0.01060003215175629
11,Q3U4G3,,3.993861062581378,2.0,3.0,0.01293103448275862,0.002331002331002331,0.01060003215175629
12,Q8CFG0,,3.9235314125897127,2.0,3.0,0.01293103448275862,0.002331002331002331,0.01060003215175629
13,Q9Z0F8,TP,3.8685012324430605,2.0,4.0,0.017241379310344827,0.002331002331002331,0.014910376979342495
14,Q9D0F3,,3.8668104082406685,2.0,4.0,0.017241379310344827,0.002331002331002331,0.014910376979342495
15,Q9QYK5,,3.823174261460405,2.0,4.0,0.017241379310344827,0.002331002331002331,0.014910376979342495
16,P16675,,3.7998405250290888,2.0,4.0,0.017241379310344827,0.002331002331002331,0.014910376979342495
17,Q61335,,3.778824755322647,2.0,4.0,0.017241379310344827,0.002331002331002331,0.014910376979342495
18,Q07113,,3.746911338773722,2.0,4.0,0.017241379310344827,0.002331002331002331,0.014910376979342495
19,O09164,TP,3.7357431125178353,2.0,5.0,0.021551724137931036,0.002331002331002331,0.019220721806928704
20,Q8BH01,,3.7219582711267147,2.0,5.0,0.021551724137931036,0.002331002331002331,0.019220721806928704
21,Q3V0T4,,3.713709201202519,2.0,5.0,0.021551724137931036,0.002331002331002331,0.019220721806928704
22,Q9DBH5,,3.693777826385439,2.0,5.0,0.021551724137931036,0.002331002331002331,0.019220721806928704
23,Q8K2C7,,3.605477533050298,2.0,5.0,0.021551724137931036,0.002331002331002331,0.019220721806928704
24,F6XJP7,,3.597742790651394,2.0,5.0,0.021551724137931036,0.002331002331002331,0.019220721806928704
25,P42932,FP,3.581762016080611,3.0,5.0,0.021551724137931036,0.0034965034965034965,0.01805522064142754
26,P54818,,3.576365787944252,3.0,5.0,0.021551724137931036,0.0034965034965034965,0.01805522064142754
27,Q91XD7,,3.5758999495197483,3.0,5.0,0.021551724137931036,0.0034965034965034965,0.01805522064142754
28,Q8VEF1,,3.5635228331381543,3.0,5.0,0.021551724137931036,0.0034965034965034965,0.01805522064142754
29,Q8BFR4,,3.516849995156706,3.0,5.0,0.021551724137931036,0.0034965034965034965,0.01805522064142754
30,E9Q6C2,,3.485343281924629,3.0,5.0,0.021551724137931036,0.0034965034965034965,0.01805522064142754
31,Q91ZW2,,3.4688294290644888,3.0,5.0,0.021551724137931036,0.0034965034965034965,0.01805522064142754
32,Q9JK53,TP,3.4604084401572845,3.0,6.0,0.02586206896551724,0.0034965034965034965,0.022365565469013745
33,Q8VHI3,,3.4581893940588344,3.0,6.0,0.02586206896551724,0.0034965034965034965,0.022365565469013745
34,Q60715,,3.4547434437245346,3.0,6.0,0.02586206896551724,0.0034965034965034965,0.022365565469013745
35,Q9QZ25,,3.4404422463310844,3.0,6.0,0.02586206896551724,0.0034965034965034965,0.022365565469013745
36,Q91XL3,,3.4257531432129222,3.0,6.0,0.02586206896551724,0.0034965034965034965,0.022365565469013745
37,D3YZZ5,,3.412079259336578,3.0,6.0,0.02586206896551724,0.0034965034965034965,0.022365565469013745
38,Q9CQE7,,3.405660553277639,3.0,6.0,0.02586206896551724,0.0034965034965034965,0.022365565469013745
39,Q3V1T4,TP,3.4012520476552197,3.0,7.0,0.03017241379310345,0.0034965034965034965,0.026675910296599954
40,Q60716,,3.3893506576948096,3.0,7.0,0.03017241379310345,0.0034965034965034965,0.026675910296599954
41,P24668,,3.3857399158263286,3.0,7.0,0.03017241379310345,0.0034965034965034965,0.026675910296599954
42,Q9DBZ1,,3.3844206562298105,3.0,7.0,0.03017241379310345,0.0034965034965034965,0.026675910296599954
43,Q9DAU1,FP,3.374610584410577,4.0,7.0,0.03017241379310345,0.004662004662004662,0.02551040913109879
44,P55302,,3.368714351949387,4.0,7.0,0.03017241379310345,0.004662004662004662,0.02551040913109879
45,Q64449,,3.3683652676282305,4.0,7.0,0.03017241379310345,0.004662004662004662,0.02551040913109879
46,J3KMH5,,3.366136393512063,4.0,7.0,0.03017241379310345,0.004662004662004662,0.02551040913109879
