,uniprot,annotation,LPS_turbo(+)_1/LPS_turbo(-)_1_ratio,original_ratio_LPS_turbo(+)_1/LPS_turbo(-)_1_ratio,FP_LPS_turbo(+)_1/LPS_turbo(-)_1_ratio,TP_LPS_turbo(+)_1/LPS_turbo(-)_1_ratio,TPR_LPS_turbo(+)_1/LPS_turbo(-)_1_ratio,FPR_LPS_turbo(+)_1/LPS_turbo(-)_1_ratio,TPR-FPR_LPS_turbo(+)_1/LPS_turbo(-)_1_ratio,LPS_turbo(+)_1/LPS_turbo(-)_2_ratio,original_ratio_LPS_turbo(+)_1/LPS_turbo(-)_2_ratio,FP_LPS_turbo(+)_1/LPS_turbo(-)_2_ratio,TP_LPS_turbo(+)_1/LPS_turbo(-)_2_ratio,TPR_LPS_turbo(+)_1/LPS_turbo(-)_2_ratio,FPR_LPS_turbo(+)_1/LPS_turbo(-)_2_ratio,TPR-FPR_LPS_turbo(+)_1/LPS_turbo(-)_2_ratio,LPS_turbo(+)_2/LPS_turbo(-)_1_ratio,original_ratio_LPS_turbo(+)_2/LPS_turbo(-)_1_ratio,FP_LPS_turbo(+)_2/LPS_turbo(-)_1_ratio,TP_LPS_turbo(+)_2/LPS_turbo(-)_1_ratio,TPR_LPS_turbo(+)_2/LPS_turbo(-)_1_ratio,FPR_LPS_turbo(+)_2/LPS_turbo(-)_1_ratio,TPR-FPR_LPS_turbo(+)_2/LPS_turbo(-)_1_ratio,LPS_turbo(+)_2/LPS_turbo(-)_2_ratio,original_ratio_LPS_turbo(+)_2/LPS_turbo(-)_2_ratio,FP_LPS_turbo(+)_2/LPS_turbo(-)_2_ratio,TP_LPS_turbo(+)_2/LPS_turbo(-)_2_ratio,TPR_LPS_turbo(+)_2/LPS_turbo(-)_2_ratio,FPR_LPS_turbo(+)_2/LPS_turbo(-)_2_ratio,TPR-FPR_LPS_turbo(+)_2/LPS_turbo(-)_2_ratio,LPS_turbo(+)_3/LPS_turbo(-)_1_ratio,original_ratio_LPS_turbo(+)_3/LPS_turbo(-)_1_ratio,FP_LPS_turbo(+)_3/LPS_turbo(-)_1_ratio,TP_LPS_turbo(+)_3/LPS_turbo(-)_1_ratio,TPR_LPS_turbo(+)_3/LPS_turbo(-)_1_ratio,FPR_LPS_turbo(+)_3/LPS_turbo(-)_1_ratio,TPR-FPR_LPS_turbo(+)_3/LPS_turbo(-)_1_ratio,LPS_turbo(+)_3/LPS_turbo(-)_2_ratio,original_ratio_LPS_turbo(+)_3/LPS_turbo(-)_2_ratio,FP_LPS_turbo(+)_3/LPS_turbo(-)_2_ratio,TP_LPS_turbo(+)_3/LPS_turbo(-)_2_ratio,TPR_LPS_turbo(+)_3/LPS_turbo(-)_2_ratio,FPR_LPS_turbo(+)_3/LPS_turbo(-)_2_ratio,TPR-FPR_LPS_turbo(+)_3/LPS_turbo(-)_2_ratio
110,Q8VCM7,TP,,,,,,,,2.5221339737144923,11.169564556192022,8.0,5.0,0.022321428571428572,0.011157601115760111,0.01116382745566846,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Q8K0E8,TP,,,,,,,,2.379714922762149,10.119611414693383,8.0,8.0,0.03571428571428571,0.011157601115760111,0.0245566845985256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Q9QZQ8,FP,,,,,,,,2.350606133599174,9.917477356591748,8.0,9.0,0.04017857142857143,0.011157601115760111,0.02902097031281132,,,,,,,,,,,,,,,,,,,,,,1.9178891094958939,5.710835290171084,10.0,5.0,0.022321428571428572,0.014005602240896359,0.008315826330532213
113,P20152,FP,,,,,,,,2.227567477177456,9.106739032112166,9.0,9.0,0.04017857142857143,0.012552301255230125,0.027626270173341308,,,,,,,,,,,,,,,,,,,,,,2.3076372883286096,7.482134780642244,8.0,2.0,0.008928571428571428,0.011204481792717087,-0.002275910364145659
114,P10922,FP,,,,,,,,2.1943224804741877,8.899285714285714,10.0,9.0,0.04017857142857143,0.01394700139470014,0.02623157003387129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,E9PV24,TP,,,,,,,,2.192182370452277,8.886094200576737,11.0,9.0,0.04017857142857143,0.015341701534170154,0.02483686989440128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Q91X78,,,,,,,,,2.157306642674322,8.673857293709458,11.0,11.0,0.049107142857142856,0.015341701534170154,0.033765441322972704,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Q8K2C7,,,,,,,,,2.141054171768759,8.576691548278353,11.0,11.0,0.049107142857142856,0.015341701534170154,0.033765441322972704,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,P31001,FP,,,,,,,,1.9560499125683004,7.54445652173913,12.0,13.0,0.05803571428571429,0.016736401673640166,0.04129931261207412,,,,,,,,,,,,,,,,,,,,,,2.334883539243495,7.624782608695652,7.0,2.0,0.008928571428571428,0.00980392156862745,-0.0008753501400560228
119,P52875,,,,,,,,,1.9225050621431792,7.371060128036267,13.0,13.0,0.05803571428571429,0.01813110181311018,0.03990461247260411,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Q7TNC4,FP,,,,,,,,1.8917888164995484,7.215782640949555,14.0,13.0,0.05803571428571429,0.019525801952580194,0.0385099123331341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,P47754,,,,,,,,,1.891731701016223,7.215496977837475,15.0,13.0,0.05803571428571429,0.02092050209205021,0.03711521219366408,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,P01027,TP,,,,,,,,1.8833566121104055,7.17373114273499,15.0,13.0,0.05803571428571429,0.02092050209205021,0.03711521219366408,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Q8R1T4,,,,,,,,,1.8570333580439502,7.044026920919798,15.0,14.0,0.0625,0.02092050209205021,0.04157949790794979,,,,,,,,,,,,,,,,,,,,,,1.6312536239562319,4.681809684053094,12.0,10.0,0.044642857142857144,0.01680672268907563,0.027836134453781514
124,Q8R1J1,,,,,,,,,1.8513621216459906,7.016391194019614,15.0,14.0,0.0625,0.02092050209205021,0.04157949790794979,,,,,,,,,,,,,,,,,,,,,,1.1840729361328417,3.4339894383101295,18.0,13.0,0.05803571428571429,0.025210084033613446,0.03282563025210084
125,Q8R081,FP,,,,,,,,1.7644596730689726,6.606227889437468,15.0,15.0,0.06696428571428571,0.02092050209205021,0.046043783622235504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,P56379,,,,,,,,,1.7434443449654438,6.510694342008218,16.0,15.0,0.06696428571428571,0.022315202231520222,0.044649083482765486,,,,,,,,,,,,,,,,,,,,,,1.9755574133416196,5.943736171109472,10.0,5.0,0.022321428571428572,0.014005602240896359,0.008315826330532213
127,P52480,FP,,,,,,,,1.7207046581770615,6.408877627627628,16.0,15.0,0.06696428571428571,0.022315202231520222,0.044649083482765486,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Q5QGU6,,,,,,,,,1.6896012377074776,6.272185824895772,17.0,15.0,0.06696428571428571,0.023709902370990237,0.043254383343295476,,,,,,,,,,,,,,,,,,,,,,1.1222984233068938,3.2900536033353185,21.0,13.0,0.05803571428571429,0.029411764705882353,0.028623949579831935
129,S4R1W1,,,,,,,,,1.6707299076488022,6.190676073948379,17.0,16.0,0.07142857142857142,0.023709902370990237,0.04771866905758119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,O88572,,,,,,,,,1.6589605343684415,6.140378548895899,17.0,16.0,0.07142857142857142,0.023709902370990237,0.04771866905758119,,,,,,,,,,,,,,,,,,,,,,1.528912068968535,4.361198738170347,14.0,11.0,0.049107142857142856,0.0196078431372549,0.029499299719887954
131,Q8VDD5,FP,,,,,,,,1.6022720564003843,5.903780653950954,17.0,17.0,0.07589285714285714,0.023709902370990237,0.0521829547718669,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Q8C2Q3,FP,,,,,,,,1.5960746816385423,5.8784742188997505,18.0,17.0,0.07589285714285714,0.02510460251046025,0.05078825463239689,,,,,,,,,,,,,,,,,,,,,,1.1506620572739963,3.3553766532489937,19.0,13.0,0.05803571428571429,0.02661064425770308,0.031425070028011204
133,Q9DAW9,,,,,,,,,1.5896345313214495,5.85229135763916,19.0,17.0,0.07589285714285714,0.026499302649930265,0.04939355449292687,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,E9QA15,,,,,,,,,1.5772692095444556,5.802345786272806,20.0,18.0,0.08035714285714286,0.02789400278940028,0.05246314006774258,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Q8K2K6,FP,,,,,,,,1.5698789867227991,5.772699197035207,20.0,18.0,0.08035714285714286,0.02789400278940028,0.05246314006774258,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Q9QUJ7,,,,,,,,,1.5488226313373288,5.689057632398754,21.0,18.0,0.08035714285714286,0.029288702928870293,0.05106843992827257,,,,,,,,,,,,,,,,,,,,,,1.1552133865676415,3.365978712357217,19.0,13.0,0.05803571428571429,0.02661064425770308,0.031425070028011204
137,Q3UTJ2,FP,,,,,,,,1.5371200259180855,5.643096774193548,21.0,18.0,0.08035714285714286,0.029288702928870293,0.05106843992827257,,,,,,,,,,,,,,,,,,,,,,1.5974198415087089,4.573290322580645,13.0,10.0,0.044642857142857144,0.018207282913165267,0.026435574229691877
138,P10605,TP,,,,,,,,1.5323781624079147,5.6245794392523365,22.0,18.0,0.08035714285714286,0.030683403068340307,0.04967373978880256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Q91Y74,,,,,,,,,1.5307277680466613,5.61814878941841,22.0,19.0,0.08482142857142858,0.030683403068340307,0.05413802550308827,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,P39061,TP,,,,,,,,1.5232335060188333,5.589040273693056,22.0,19.0,0.08482142857142858,0.030683403068340307,0.05413802550308827,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Q60953,FP,,,,,,,,1.5206784248620528,5.579150579150579,23.0,20.0,0.08928571428571429,0.03207810320781032,0.057207611077903966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Q8BGB5,FP,,,,,,,,1.5186802319652095,5.571428571428571,25.0,20.0,0.08928571428571429,0.03486750348675035,0.05441821079896394,,,,,,,,,,,,,,,,,,,,,,1.7647182680969826,5.135593220338983,11.0,7.0,0.03125,0.015406162464985995,0.015843837535014005
143,Q3U5Q7,,,,,,,,,1.5176294565567554,5.567372143347232,26.0,20.0,0.08928571428571429,0.03626220362622036,0.05302351065949393,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Q8K182,TP,,,,,,,,1.5041993614712879,5.515785776997366,26.0,20.0,0.08928571428571429,0.03626220362622036,0.05302351065949393,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Q8BGD9,,,,,,,,,1.500380248899866,5.501203659123736,26.0,21.0,0.09375,0.03626220362622036,0.05748779637377964,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Q9QXS1,FP,,,,,,,,1.4769889737838098,5.412728551336146,26.0,22.0,0.09821428571428571,0.03626220362622036,0.06195208208806535,,,,,,,,,,,,,,,1.819925150128936,3.5721158802707995,0.0,8.0,0.03571428571428571,0.0,0.03571428571428571,2.274014326742356,7.309774964838256,9.0,2.0,0.008928571428571428,0.012605042016806723,-0.003676470588235295
147,Q61249,,,,,,,,,1.4704010422615603,5.3880681818181815,27.0,22.0,0.09821428571428571,0.03765690376569038,0.060557381948595335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Q9CRA4,,,,,,,,,1.4627100258220378,5.359420783645656,27.0,22.0,0.09821428571428571,0.03765690376569038,0.060557381948595335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Q3UFS0,,,,,,,,,1.4565132340926157,5.336449892651846,27.0,22.0,0.09821428571428571,0.03765690376569038,0.060557381948595335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,E9QAZ2,,,,,,,,,1.4559852792396026,5.334497373868229,27.0,22.0,0.09821428571428571,0.03765690376569038,0.060557381948595335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,P11679,FP,,,,,,,,1.4514184425855137,5.317637774562673,27.0,22.0,0.09821428571428571,0.03765690376569038,0.060557381948595335,,,,,,,,,,,,,,,1.7928623931452394,3.505733005733006,1.0,8.0,0.03571428571428571,0.001394700139470014,0.0343195855748157,3.034829487474052,12.38603182954097,5.0,0.0,0.0,0.0070028011204481795,-0.0070028011204481795
152,Q00898,TP,,,,,,,,1.4442251404882984,5.2911899313501145,28.0,22.0,0.09821428571428571,0.03905160390516039,0.059162681809125324,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,P70429,FP,,,,,,,,1.4402163434703783,5.276507782101167,28.0,23.0,0.10267857142857142,0.03905160390516039,0.06362696752341104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Q9ET30,,,,,,,,,1.434064507490143,5.254055981458371,29.0,23.0,0.10267857142857142,0.040446304044630406,0.06223226738394102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Q9DCE9,,,,,,,,,1.4298655425139417,5.238786279683377,29.0,23.0,0.10267857142857142,0.040446304044630406,0.06223226738394102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,P62748,,,,,,,,,1.4073912447357602,5.157808857808858,29.0,23.0,0.10267857142857142,0.040446304044630406,0.06223226738394102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,P70302,FP,,,,,,,,1.4040750310722867,5.145966609455454,29.0,23.0,0.10267857142857142,0.040446304044630406,0.06223226738394102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Q9CY64,,,,,,,,,1.4009479157570268,5.134824543402422,30.0,24.0,0.10714285714285714,0.04184100418410042,0.06530185295875672,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Q9EP71,FP,,,,,,,,1.395374033298272,5.115024315331456,30.0,24.0,0.10714285714285714,0.04184100418410042,0.06530185295875672,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,B2RY56,FP,,,,,,,,1.3944118350672603,5.111614012854169,31.0,24.0,0.10714285714285714,0.043235704323570434,0.0639071528192867,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,P48025,,,,,,,,,1.3932517240675042,5.10750527479152,32.0,24.0,0.10714285714285714,0.044630404463040445,0.0625124526798167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Q501J6,FP,,,,,,,,1.3904607492407663,5.097634069400631,32.0,24.0,0.10714285714285714,0.044630404463040445,0.0625124526798167,,,,,,,,,,,,,,,,,,,,,,1.3527056464261757,3.8597791798107255,15.0,11.0,0.049107142857142856,0.02100840336134454,0.028098739495798317
163,Q61129,TP,,,,,,,,1.3892423812206889,5.093330892113333,33.0,24.0,0.10714285714285714,0.04602510460251046,0.061117752540346675,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Q03963,FP,,,,,,,,1.3858061658178367,5.081214016954531,33.0,25.0,0.11160714285714286,0.04602510460251046,0.06558203825463241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,P06909,TP,,,,,,,,1.3762940439965359,5.047822248381401,34.0,25.0,0.11160714285714286,0.04741980474198047,0.06418733811516239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Q9JM76,FP,,,,,,,,1.3645660587576047,5.006953730944103,34.0,26.0,0.11607142857142858,0.04741980474198047,0.0686516238294481,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Q921I1,TP,,,,,,,,1.358699471699964,4.98663475347056,35.0,26.0,0.11607142857142858,0.04881450488145049,0.06725692368997808,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,O55142,,,,,,,,,1.3552427975860821,4.9747011588648595,35.0,27.0,0.12053571428571429,0.04881450488145049,0.0717212094042638,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Q9EST4,FP,,,,,,,,1.351142530682096,4.960582690659812,35.0,27.0,0.12053571428571429,0.04881450488145049,0.0717212094042638,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,P27659,FP,,,,,,,,1.3414957714841969,4.927523789082064,36.0,27.0,0.12053571428571429,0.0502092050209205,0.07032650926479378,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Q9CYI4,,,,,,,,,1.3401932170194735,4.923076923076923,37.0,27.0,0.12053571428571429,0.05160390516039052,0.06893180912532376,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Q60598,FP,,,,,,,,1.3266172849433897,4.8769674711437565,37.0,27.0,0.12053571428571429,0.05160390516039052,0.06893180912532376,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Q9QZ85,FP,,,,,,,,1.3188306397488647,4.850715964949775,38.0,27.0,0.12053571428571429,0.05299860529986053,0.06753710898585376,,,,,,,,,,,,,,,,,,,,,,1.1779871052876492,3.4195340884804444,18.0,13.0,0.05803571428571429,0.025210084033613446,0.03282563025210084
174,Q9D2Y4,FP,,,,,,,,1.3147393687617213,4.836979534227241,39.0,27.0,0.12053571428571429,0.05439330543933055,0.06614240884638374,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,P59999,FP,,,,,,,,1.3143925253558082,4.8358167986824565,40.0,27.0,0.12053571428571429,0.05578800557880056,0.06474770870691374,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Q91Z40,,,,,,,,,1.3132816392680784,4.832094616428617,41.0,27.0,0.12053571428571429,0.05718270571827057,0.06335300856744372,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Q9QYI6,,,,,,,,,1.3027744732993545,4.7970302531842535,41.0,27.0,0.12053571428571429,0.05718270571827057,0.06335300856744372,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,P52019,,,,,,,,,1.2972008413108336,4.77853341218214,41.0,27.0,0.12053571428571429,0.05718270571827057,0.06335300856744372,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Q62351,TP,,,,,,,,1.293057464525436,4.764829296204463,41.0,27.0,0.12053571428571429,0.05718270571827057,0.06335300856744372,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Q8VH51,FP,,,,,,,,1.2903536120776125,4.7559075700543705,41.0,28.0,0.125,0.05718270571827057,0.06781729428172943,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Q9CYA0,,,,,,,,,1.2868785377860559,4.744465620876705,42.0,28.0,0.125,0.058577405857740586,0.06642259414225941,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,O08573,TP,,,,,,,,1.2812554496082007,4.726009451176719,42.0,28.0,0.125,0.058577405857740586,0.06642259414225941,,,,,,,,,,,,,,,,,,,,,,1.1051202430459557,3.2511112150844523,22.0,13.0,0.05803571428571429,0.03081232492997199,0.027223389355742297
183,Q80YW0,,,,,,,,,1.2744640692346882,4.703814392449862,42.0,29.0,0.12946428571428573,0.058577405857740586,0.07088687985654514,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Q8K5B2,,,,,,,,,1.2693405249863625,4.687139033666714,42.0,29.0,0.12946428571428573,0.058577405857740586,0.07088687985654514,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,P11276,TP,,,,,,,,1.262398461191282,4.664639297178577,42.0,29.0,0.12946428571428573,0.058577405857740586,0.07088687985654514,,,,,,,,,,,,,,,1.4108179476620566,2.69012214551248,4.0,8.0,0.03571428571428571,0.005578800557880056,0.030135485156405656,1.7645010579909473,5.134820070957932,12.0,7.0,0.03125,0.01680672268907563,0.01444327731092437
186,Q06890,TP,,,,,,,,1.2535678461981905,4.636174636174636,42.0,30.0,0.13392857142857142,0.058577405857740586,0.07535116557083084,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,P61082,,,,,,,,,1.2535317147595733,4.636058527394235,42.0,31.0,0.13839285714285715,0.058577405857740586,0.07981545128511656,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Q8VC81,TP,,,,,,,,1.2427975388009338,4.601692571491786,42.0,31.0,0.13839285714285715,0.058577405857740586,0.07981545128511656,,,,,,,,,,,,,,,,,,,,,,,,,,,,
