,uniprot,annotation,iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,original_ratio_iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,FP_iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,TP_iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,TPR_iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,TPR-FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,original_ratio_iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,FP_iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,TP_iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,TPR_iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,TPR-FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,original_ratio_iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,FP_iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,TP_iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,TPR_iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,TPR-FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,original_ratio_iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,FP_iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,TP_iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,TPR_iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,TPR-FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,original_ratio_iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,FP_iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,TP_iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,TPR_iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,TPR-FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio,original_ratio_iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio,FP_iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio,TP_iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio,TPR_iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio,FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio,TPR-FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio
1289,Q9DCT8,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0436181209638256,3.7371117515209735,137.0,74.0,0.2624113475177305,0.1607981220657277,0.1016132254520028,,,,,,,
1290,Q6Q899,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04332443387849,3.736351071181755,138.0,74.0,0.2624113475177305,0.1619718309859155,0.10043951653181499,0.7442405281797086,4.429741909053667,197.0,93.0,0.3274647887323944,0.232037691401649,0.09542709733074536
1291,Q80UG5,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0395993819313614,3.7267162221250545,139.0,74.0,0.2624113475177305,0.16314553990610328,0.0992658076116272,0.6506455877850799,4.151485630784218,219.0,99.0,0.3485915492957746,0.2579505300353357,0.09064101926043894
1292,Q60598,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.035917759155343,3.7172181152659154,140.0,75.0,0.26595744680851063,0.1643192488262911,0.10163819798221954,1.3052643132780257,6.5352681388012615,122.0,53.0,0.18661971830985916,0.143698468786808,0.04292124952305115
1293,Q9Z0P4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.035709009582739,3.716680294358136,141.0,75.0,0.26595744680851063,0.16549295774647887,0.10046448906203176,,,,,,,
1294,P09405,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0168110625518478,3.668312757201646,144.0,77.0,0.2730496453900709,0.16901408450704225,0.10403556088302868,,,,,,,
1295,G3X9K3,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.013148010820966,3.6590106007067136,145.0,78.0,0.2765957446808511,0.17018779342723006,0.10640795125362101,,,,,,,
1296,Q4FE56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.010853644980827,3.653196179279941,146.0,79.0,0.2801418439716312,0.17136150234741784,0.10878034162421338,0.8112123293589218,4.640223985067662,185.0,84.0,0.29577464788732394,0.21790341578327443,0.0778712321040495
1297,Q8R1B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0075965995900162,3.6449579831932772,148.0,79.0,0.2801418439716312,0.17370892018779344,0.10643292378383779,,,,,,,
1298,Q922I7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992328563687385,3.6238881829733165,149.0,79.0,0.2801418439716312,0.17488262910798122,0.10525921486365,1.0344864284011555,5.41690408357075,155.0,68.0,0.23943661971830985,0.18256772673733804,0.05686889298097181
1299,P42208,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9931636057280293,3.6086749285033366,149.0,80.0,0.28368794326241137,0.17488262910798122,0.10880531415443015,,,,,,,
1300,Q9CZU6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9782243113171736,3.5714994418950763,153.0,80.0,0.28368794326241137,0.1795774647887324,0.10411047847367896,1.2755808398611137,6.4021787461093815,131.0,55.0,0.1936619718309859,0.15429917550058891,0.03936279633039699
1301,Q9JK48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9760250790356484,3.5660592255125283,153.0,81.0,0.2872340425531915,0.1795774647887324,0.10765657776445911,,,,,,,
1302,Q811D0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9683806311127243,3.5472136222910216,154.0,83.0,0.29432624113475175,0.1807511737089202,0.11357506742583157,,,,,,,
