,uniprot,annotation,iWAT_HF_cre+_2/iWAT_HF_cre-_1_ratio,FP,TP,TPR,FPR,TPR-FPR
0,Q9D3V1,FP,4.7701924616678015,0.0,0.0,0.0,0.0,0.0
1,Q99LJ6,TP,4.768691219369492,1.0,0.0,0.0,0.001199040767386091,-0.001199040767386091
2,Q9Z2G9,FP,4.67959952658978,1.0,1.0,0.004424778761061947,0.001199040767386091,0.003225737993675856
3,Q3TCN2,,4.3504660010129115,2.0,1.0,0.004424778761061947,0.002398081534772182,0.0020266972262897648
4,Q8BH01,,4.274836847933931,2.0,1.0,0.004424778761061947,0.002398081534772182,0.0020266972262897648
5,P55302,,4.273657082872154,2.0,1.0,0.004424778761061947,0.002398081534772182,0.0020266972262897648
6,J3KMH5,,4.209503213608064,2.0,1.0,0.004424778761061947,0.002398081534772182,0.0020266972262897648
7,Q8CFG0,,4.156804314274001,2.0,1.0,0.004424778761061947,0.002398081534772182,0.0020266972262897648
8,Q925U4,,4.149840263763716,2.0,1.0,0.004424778761061947,0.002398081534772182,0.0020266972262897648
9,Q9CQE7,,4.0275544972003825,2.0,1.0,0.004424778761061947,0.002398081534772182,0.0020266972262897648
10,Q6ZQI3,,3.972042383532073,2.0,1.0,0.004424778761061947,0.002398081534772182,0.0020266972262897648
11,Q9D0F3,,3.947442324082958,2.0,1.0,0.004424778761061947,0.002398081534772182,0.0020266972262897648
12,Q91ZW2,,3.945453303766259,2.0,1.0,0.004424778761061947,0.002398081534772182,0.0020266972262897648
13,Q02819,TP,3.9312997204651663,2.0,1.0,0.004424778761061947,0.002398081534772182,0.0020266972262897648
14,Q9EPK6,,3.9310581355730947,2.0,2.0,0.008849557522123894,0.002398081534772182,0.006451475987351712
15,Q640L3,,3.8980099621733664,2.0,2.0,0.008849557522123894,0.002398081534772182,0.006451475987351712
16,Q8BRH0,,3.875180577364244,2.0,2.0,0.008849557522123894,0.002398081534772182,0.006451475987351712
17,Q9DAU1,FP,3.8545474186574893,2.0,2.0,0.008849557522123894,0.002398081534772182,0.006451475987351712
18,Q9ERE7,,3.8377765930124492,3.0,2.0,0.008849557522123894,0.0035971223021582736,0.00525243521996562
19,Q3V1T4,TP,3.835172382152629,3.0,2.0,0.008849557522123894,0.0035971223021582736,0.00525243521996562
20,O54998,,3.775776136020764,3.0,3.0,0.01327433628318584,0.0035971223021582736,0.009677213981027567
21,E9Q723,,3.7274475055035805,3.0,3.0,0.01327433628318584,0.0035971223021582736,0.009677213981027567
22,P29416,,3.694299656147022,3.0,3.0,0.01327433628318584,0.0035971223021582736,0.009677213981027567
23,Q60716,,3.687917736748548,3.0,3.0,0.01327433628318584,0.0035971223021582736,0.009677213981027567
24,Q8K2C7,,3.6725240599879863,3.0,3.0,0.01327433628318584,0.0035971223021582736,0.009677213981027567
25,Q3UPY5,TP,3.6180770699564984,3.0,3.0,0.01327433628318584,0.0035971223021582736,0.009677213981027567
26,Q8BYB9,,3.6153461714066455,3.0,4.0,0.017699115044247787,0.0035971223021582736,0.014101992742089514
27,O88207,TP,3.603651237329651,3.0,4.0,0.017699115044247787,0.0035971223021582736,0.014101992742089514
