uniprot_id,description,pep_num,annotation,iWAT_HF_cre-_1,iWAT_HF_cre-_2,iWAT_chow_cre-_1,iWAT_chow_cre-_2,iWAT_HF_cre+_1,iWAT_HF_cre+_2,iWAT_HF_cre+_3,iWAT_chow_cre+_1,iWAT_chow_cre+_2,iWAT_chow_cre+_3
B1ART2,Vps13d Protein Vps13d,6,,43405.0,31160.0,31806.0,22723.0,85425.0,64799.0,102930.0,41480.0,57218.0,38713.0
E9PZW8,Myo9b Unconventional myosin-IXb,3,,8604.0,8472.0,8102.0,2244.0,18192.0,10596.0,12310.0,5839.0,6515.0,6287.0
E9Q043,Fndc1 Protein Fndc1,2,,6158.0,7583.0,7827.0,5271.0,11595.0,6250.0,12278.0,10557.0,19712.0,11586.0
Q61830,Mrc1 Macrophage mannose receptor 1,3,,7832.0,7505.0,9205.0,8492.0,17769.0,9487.0,15793.0,12498.0,18691.0,18692.0
E9Q735,Ube4a Ubiquitin conjugation factor E4 A,1,,1320.0,0.0,0.0,0.0,5022.0,2765.0,4340.0,2578.0,4944.0,3008.0
Q9D4H4,Amotl1 Angiomotin-like protein 1,2,,4750.0,3325.0,4650.0,2951.0,12637.0,8856.0,15280.0,14769.0,20133.0,10358.0
Q8CBA2,Slfn5 Schlafen family member 5,2,,7609.0,6323.0,6425.0,4116.0,13283.0,11689.0,10633.0,9150.0,13880.0,7812.0
Q61824,Adam12 Disintegrin and metalloproteinase domain-containing protein 12,2,,5238.0,3515.0,1631.0,3706.0,42563.0,30005.0,46025.0,7456.0,18917.0,7779.0
Q3URD3,Slmap Sarcolemmal membrane-associated protein,2,,1866.0,1368.0,1433.0,1727.0,6347.0,3819.0,8314.0,8873.0,10492.0,5381.0
Q99LI8,Hgs Hepatocyte growth factor-regulated tyrosine kinase substrate,2,,19032.0,13916.0,14651.0,12637.0,57830.0,27540.0,52826.0,23588.0,34137.0,39799.0
E9PYR1,Fbxl18 Protein Fbxl18,1,,0.0,1212.0,0.0,0.0,2825.0,0.0,2118.0,0.0,0.0,0.0
G3X9Q6,Larp4 La-related protein 4,2,,9772.0,6412.0,9014.0,5995.0,25748.0,14598.0,29039.0,12651.0,24741.0,14751.0
Q920N2,Hlcs Biotin--protein ligase,1,FP,1803.0,1286.0,0.0,0.0,1935.0,1825.0,2659.0,1274.0,1410.0,0.0
