uniprot_id,description,pep_num,annotation,ctrl_turbo(-)_1,ctrl_turbo(-)_2,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,fast_turbo(-)_1,fast_turbo(-)_2,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,LPS_turbo(-)_1,LPS_turbo(-)_2,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4
Q91ZA3,"Pcca Propionyl-CoA carboxylase alpha chain, mitochondrial",23,FP,230042.0,418020.0,795944.0,599103.0,362901.0,306809.0,379825.0,511681.0,528137.0,493281.0,547237.0,181922.0,5995674.0,479994.0,1433068.0,480382.0
P08607,C4bpa C4b-binding protein,17,TP,146986.0,197436.0,3823955.0,2013945.0,2464380.0,127176.0,177267.0,2120977.0,1331592.0,1230193.0,230941.0,142252.0,3164532.0,4022705.0,3669873.0,2759315.0
Q61702,Itih1 Inter-alpha-trypsin inhibitor heavy chain H1,29,TP,330486.0,717706.0,8306908.0,4455321.0,4743232.0,219208.0,363544.0,3769449.0,3285399.0,2516401.0,355034.0,186510.0,4830383.0,4439317.0,4163920.0,4353156.0
P98064,Masp1 Mannan-binding lectin serine protease 1,20,TP,221222.0,291992.0,3927632.0,2677359.0,2755451.0,136135.0,233856.0,1846368.0,1473691.0,1432071.0,217763.0,205913.0,2219705.0,3458737.0,3106762.0,2873364.0
P29699,Ahsg Alpha-2-HS-glycoprotein,8,TP,468934.0,1719556.0,3277700.0,2053533.0,1929227.0,215261.0,355479.0,1684619.0,2078717.0,1175703.0,407923.0,207712.0,3242281.0,1791044.0,1658689.0,1691396.0
Q9ESB3,Hrg Histidine-rich glycoprotein,18,TP,381182.0,506495.0,10676028.0,7439264.0,7055813.0,371147.0,646384.0,8981740.0,8369396.0,5193994.0,520579.0,388485.0,6643200.0,7805938.0,6216565.0,6524778.0
A0A0G2JGQ8,Iglc3 Ig lambda-3 chain C region,1,,13267.0,37587.0,41765.0,13049.0,12763.0,4890.0,6710.0,16005.0,11568.0,9647.0,9783.0,3622.0,29320.0,17186.0,11159.0,14938.0
Q61703,Itih2 Inter-alpha-trypsin inhibitor heavy chain H2,27,TP,434429.0,884933.0,11001086.0,4487389.0,4828091.0,211182.0,347180.0,5046334.0,4200153.0,3053358.0,385027.0,244043.0,5622372.0,4827782.0,4198622.0,4369499.0
P20029,Hspa5 78 kDa glucose-regulated protein,17,TP,149545.0,200077.0,2196998.0,1433649.0,1723164.0,122686.0,152023.0,1630262.0,1319041.0,1692534.0,206570.0,128271.0,3368548.0,3423349.0,2295725.0,1879944.0
P01898,"H2-Q10 H-2 class I histocompatibility antigen, Q10 alpha chain",5,,40779.0,107110.0,303486.0,241514.0,252816.0,22816.0,32721.0,183259.0,116259.0,133267.0,26429.0,17006.0,190543.0,160741.0,162260.0,144823.0
P52430,Pon1 Serum paraoxonase/arylesterase 1,7,TP,106896.0,320090.0,529902.0,521386.0,422425.0,64577.0,64768.0,389101.0,263487.0,171095.0,53266.0,37345.0,397729.0,443922.0,382109.0,376733.0
P08226,Apoe Apolipoprotein E,9,TP,104193.0,197574.0,1340761.0,835143.0,704297.0,78676.0,91304.0,503729.0,276553.0,240918.0,169084.0,23952.0,2670662.0,1278405.0,1062197.0,1333036.0
Q91VB8,Hba-a2 Hemoglobin subunit alpha,4,,144545.0,597442.0,885044.0,1027487.0,427282.0,246009.0,105201.0,506714.0,501910.0,505871.0,90894.0,69734.0,604605.0,971020.0,513674.0,493938.0
Q64726,Azgp1 Zinc-alpha-2-glycoprotein,9,TP,88216.0,195012.0,1083974.0,908489.0,923244.0,82987.0,107175.0,1119539.0,823861.0,797936.0,74090.0,67663.0,597644.0,752200.0,714055.0,727722.0
