uniprot_id,description,pep_num,annotation,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,ctrl_turbo(-)_1,ctrl_turbo(-)_2,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4,LPS_turbo(-)_1,LPS_turbo(-)_2,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,fast_turbo(-)_1,fast_turbo(-)_2
Q8K021,Scamp1 Secretory carrier-associated membrane protein 1,1,,19946.0,27619.0,27444.0,9332.0,20713.0,6576.0,8714.0,6976.0,14390.0,21671.0,16940.0,13839.0,27226.0,24150.0,12874.0,3637.0
Q4FK66,Prpf38a Pre-mRNA-splicing factor 38A,1,FP,9144.0,11161.0,10959.0,6879.0,5571.0,12358.0,11146.0,11541.0,12832.0,10096.0,12304.0,9493.0,7799.0,18996.0,8199.0,6059.0
E9PUJ6,Mycbp2 E3 ubiquitin-protein ligase MYCBP2,12,,269422.0,250828.0,395072.0,113408.0,124238.0,242956.0,205342.0,210226.0,387888.0,177649.0,222691.0,245576.0,195683.0,421475.0,127286.0,70743.0
P70227,"Itpr3 Inositol 1,4,5-trisphosphate receptor type 3",6,TP,71176.0,99021.0,114034.0,37401.0,65517.0,76189.0,74145.0,71599.0,98765.0,123210.0,111417.0,82173.0,96351.0,118249.0,67738.0,28427.0
Q9ESD7,Dysf Dysferlin,3,,76798.0,72835.0,90946.0,40978.0,38237.0,41479.0,73719.0,32632.0,115323.0,65361.0,87093.0,84954.0,72513.0,167793.0,65590.0,23692.0
A2ACM0,Rptor Regulatory-associated protein of mTOR,3,,94329.0,93320.0,106106.0,54549.0,56632.0,99669.0,65269.0,85069.0,117803.0,89228.0,107538.0,84441.0,79058.0,128314.0,59317.0,43580.0
Q8K411,"Pitrm1 Presequence protease, mitochondrial",2,FP,30078.0,31946.0,37218.0,23703.0,20504.0,28701.0,30210.0,30368.0,51491.0,25431.0,45038.0,28959.0,24404.0,38349.0,29381.0,13164.0
Q80UJ7,Rab3gap1 Rab3 GTPase-activating protein catalytic subunit,2,,106232.0,130975.0,161401.0,49621.0,62680.0,71255.0,68830.0,56643.0,167729.0,74975.0,90664.0,84309.0,101481.0,152162.0,46136.0,29096.0
O08759,Ube3a Ubiquitin-protein ligase E3A,1,FP,3950.0,6881.0,10210.0,8881.0,3579.0,13644.0,5179.0,4649.0,6418.0,4273.0,1861.0,8257.0,4295.0,12497.0,5539.0,2204.0
Q3UIA2,Arhgap17 Rho GTPase-activating protein 17,1,,8811.0,14333.0,15387.0,6763.0,3926.0,9734.0,9337.0,11099.0,15108.0,9458.0,9392.0,11486.0,9649.0,16913.0,9645.0,5455.0
