uniprot_id,description,pep_num,annotation,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,ctrl_turbo(-)_1,ctrl_turbo(-)_2,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4,LPS_turbo(-)_1,LPS_turbo(-)_2,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,fast_turbo(-)_1,fast_turbo(-)_2
Q9JIF0,Prmt1 Protein arginine N-methyltransferase 1,2,FP,17755.0,7656.0,32130.0,11005.0,10428.0,27267.0,12751.0,10866.0,9570.0,13190.0,15575.0,19445.0,16670.0,18260.0,10961.0,19748.0
Q9D710,Tmx2 Thioredoxin-related transmembrane protein 2,2,TP,16920.0,3087.0,24306.0,5825.0,7083.0,13320.0,5212.0,3971.0,5209.0,3947.0,17218.0,7628.0,9784.0,3891.0,5744.0,12075.0
P46412,Gpx3 Glutathione peroxidase 3,1,TP,5916.0,1560.0,9069.0,2028.0,2902.0,3104.0,3776.0,2540.0,1743.0,1340.0,6709.0,2611.0,3611.0,3393.0,2185.0,3425.0
P23506,Pcmt1 Protein-L-isoaspartate(D-aspartate) O-methyltransferase,1,,310491.0,0.0,225108.0,3571.0,26622.0,26117.0,14860.0,14637.0,13154.0,13179.0,22345.0,17186.0,17039.0,15333.0,13284.0,23560.0
Q642K5,Fau Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (Fox derived),1,,13170.0,2935.0,15587.0,4953.0,6085.0,8211.0,7401.0,5164.0,6496.0,3437.0,10188.0,3092.0,3162.0,7615.0,3525.0,15223.0
Q8BUV3,Gphn Gephyrin,4,,17990.0,8984.0,24775.0,13533.0,9950.0,21363.0,13755.0,7388.0,9303.0,11458.0,15223.0,14858.0,12936.0,15042.0,8705.0,16916.0
Q9D6Y9,"Gbe1 1,4-alpha-glucan-branching enzyme",4,,42804.0,29277.0,94372.0,29205.0,21118.0,76133.0,34443.0,17295.0,37896.0,22234.0,36237.0,17145.0,81265.0,23931.0,33131.0,34224.0
D3Z7P3,"Gls Glutaminase kidney isoform, mitochondrial",3,FP,35841.0,15303.0,54330.0,22697.0,23214.0,46792.0,26797.0,14465.0,24275.0,20311.0,39239.0,33327.0,29867.0,36641.0,27004.0,36971.0
Q8CIV8,Tbce Tubulin-specific chaperone E,1,,3295.0,2141.0,10913.0,2758.0,1756.0,7631.0,4748.0,2493.0,1700.0,2501.0,5641.0,4127.0,4143.0,4708.0,2543.0,6502.0
Q91Y97,Aldob Fructose-bisphosphate aldolase B,1,,4823.0,1069.0,4749.0,2435.0,38629.0,2800.0,4428.0,1399.0,3020.0,4642.0,3791.0,5971.0,2337.0,4298.0,1714.0,3187.0
Q9WUB4,Dctn6 Dynactin subunit 6,1,,18192.0,7754.0,22454.0,10647.0,12480.0,15599.0,15154.0,9828.0,11869.0,10398.0,18793.0,12084.0,12783.0,17641.0,9545.0,16311.0
P14115,Rpl27a 60S ribosomal protein L27a,1,,13436.0,4376.0,20582.0,7133.0,8045.0,10913.0,9451.0,3481.0,9665.0,5545.0,19406.0,7405.0,8293.0,10254.0,5407.0,20219.0
A0A0G2JE47,Igkv8-28 Protein Igkv8-28,1,,4022.0,2934.0,62833.0,1206.0,5195.0,5876.0,4957.0,4023.0,3080.0,5026.0,4938.0,6979.0,5511.0,4114.0,3233.0,6563.0
Q8VDD5,Myh9 Myosin-9,8,,148430.0,51092.0,164242.0,116045.0,99934.0,163724.0,100097.0,85504.0,93034.0,115181.0,194894.0,149085.0,82423.0,125908.0,74588.0,166628.0
Q8BRK9,Man2a2 Alpha-mannosidase 2x,7,,504704.0,518.0,461324.0,3617.0,35572.0,42719.0,24113.0,16301.0,18493.0,15281.0,36612.0,23829.0,29864.0,30671.0,26735.0,40821.0
Q8VIJ6,"Sfpq Splicing factor, proline- and glutamine-rich",3,FP,22812.0,9858.0,36986.0,26681.0,16810.0,41806.0,22289.0,18749.0,18428.0,14585.0,36941.0,16960.0,16001.0,17444.0,13454.0,31722.0
Q8K0U4,Hspa12a Heat shock 70 kDa protein 12A,2,FP,11910.0,16358.0,37474.0,9617.0,8170.0,16188.0,15086.0,9195.0,11501.0,7354.0,13283.0,22189.0,19472.0,20153.0,15942.0,20070.0
O55028,Bckdk,2,FP,9661.0,4238.0,13852.0,5397.0,7640.0,9448.0,9101.0,4584.0,5885.0,4031.0,15092.0,5863.0,5365.0,8679.0,5148.0,13093.0
P70295,Aup1 Ancient ubiquitous protein 1,2,TP,6549.0,3597.0,19941.0,2471.0,6739.0,7164.0,4385.0,3347.0,3361.0,4466.0,7852.0,5076.0,4868.0,6855.0,4113.0,7631.0
Q99LR1,Abhd12 Monoacylglycerol lipase ABHD12,2,TP,12663.0,4104.0,20890.0,5896.0,4182.0,10858.0,8447.0,4204.0,5414.0,3890.0,6118.0,6190.0,6541.0,7050.0,6272.0,10634.0
Q9QZJ6,Mfap5 Microfibrillar-associated protein 5,1,TP,11020.0,14588.0,13190.0,21750.0,6563.0,14469.0,23076.0,10446.0,6515.0,7625.0,18745.0,7010.0,14265.0,9535.0,5862.0,23704.0
P63030,Mpc1 Mitochondrial pyruvate carrier 1,1,FP,6720.0,2811.0,6199.0,2733.0,3820.0,3776.0,5796.0,2672.0,2112.0,2715.0,5095.0,2940.0,2534.0,6778.0,1944.0,4028.0
Q640N1,Aebp1 Adipocyte enhancer-binding protein 1,5,TP,139675.0,549.0,108816.0,2576.0,9834.0,11321.0,11439.0,5433.0,5906.0,5072.0,14047.0,5578.0,7217.0,8997.0,4483.0,8701.0
Q9EPU0,Upf1 Regulator of nonsense transcripts 1,4,FP,31758.0,21100.0,58499.0,19379.0,16739.0,25453.0,19920.0,12344.0,15012.0,15726.0,28054.0,24421.0,18169.0,28620.0,16618.0,30764.0
P57780,Actn4 Alpha-actinin-4,3,FP,75751.0,25151.0,82004.0,52462.0,52752.0,72067.0,48136.0,40453.0,37257.0,53336.0,55102.0,84582.0,39851.0,49062.0,32413.0,71473.0
Q9WU78,Pdcd6ip Programmed cell death 6-interacting protein,4,TP,63490.0,31415.0,112642.0,32947.0,36457.0,80181.0,54269.0,31902.0,52209.0,37573.0,62451.0,56108.0,81032.0,67779.0,53754.0,63059.0
O70423,Aoc3 Membrane primary amine oxidase,1,,9670.0,5654.0,15861.0,7159.0,3657.0,16817.0,9393.0,7562.0,7092.0,5436.0,8297.0,8960.0,8260.0,8691.0,10083.0,12185.0
Q8BUK6,Hook3 Protein Hook homolog 3,4,,22668.0,16069.0,59640.0,14021.0,11704.0,36599.0,20419.0,11078.0,21244.0,12422.0,18485.0,20887.0,24786.0,21509.0,17148.0,23888.0
Q60649,Clpb Caseinolytic peptidase B protein homolog,3,FP,22172.0,6648.0,28894.0,10249.0,9928.0,14193.0,13361.0,5850.0,8779.0,6336.0,18642.0,13399.0,8917.0,12048.0,8291.0,17039.0
Q8R5A0,Smyd2 N-lysine methyltransferase SMYD2,2,FP,26172.0,16973.0,94306.0,14861.0,17829.0,36286.0,16155.0,10196.0,16584.0,11303.0,28396.0,38600.0,28242.0,31954.0,28325.0,26295.0
Q8C7H1,"Mmaa Methylmalonic aciduria type A homolog, mitochondrial",2,FP,17155.0,7469.0,43918.0,10691.0,10072.0,19375.0,13501.0,7203.0,11490.0,7226.0,15954.0,12442.0,11326.0,21146.0,11147.0,27503.0
Q8BH95,"Echs1 Enoyl-CoA hydratase, mitochondrial",1,FP,71840.0,63484.0,135510.0,76847.0,54285.0,122553.0,102278.0,81658.0,84899.0,56234.0,119617.0,62754.0,82989.0,74667.0,60556.0,194678.0
Q61543,Glg1 Golgi apparatus protein 1,6,,362486.0,1653.0,435589.0,3528.0,41498.0,32883.0,22700.0,17318.0,17981.0,19997.0,35553.0,24383.0,20089.0,23080.0,14407.0,31018.0
Q9JIF7,Copb1 Coatomer subunit beta,4,TP,46452.0,13990.0,90370.0,20354.0,24050.0,28500.0,18456.0,12692.0,11369.0,14730.0,35490.0,30519.0,25614.0,36307.0,20220.0,38257.0
Q9WTX6,Cul1 Cullin-1,4,,27486.0,6483.0,45678.0,9468.0,8791.0,19694.0,11449.0,7765.0,9759.0,7807.0,13633.0,17263.0,14228.0,17257.0,14027.0,17347.0
P51660,Hsd17b4 Peroxisomal multifunctional enzyme type 2,4,,26803.0,7326.0,36517.0,27066.0,20163.0,39909.0,16933.0,15858.0,13769.0,15765.0,37415.0,21202.0,25370.0,23085.0,11359.0,28897.0
P84091,Ap2m1 AP-2 complex subunit mu,2,,34467.0,10669.0,43796.0,19552.0,19868.0,33775.0,15071.0,11993.0,20164.0,17412.0,33316.0,20174.0,26735.0,23821.0,13298.0,20520.0
Q9DCL9,Paics Multifunctional protein ADE2,2,,10998.0,6787.0,20133.0,9443.0,9314.0,15603.0,10902.0,7559.0,7038.0,7861.0,10735.0,8602.0,12645.0,8871.0,8817.0,15717.0
Q91ZW2,Pofut1 GDP-fucose protein O-fucosyltransferase 1,2,TP,68772.0,0.0,141204.0,0.0,9465.0,4347.0,4175.0,3147.0,2100.0,1180.0,4073.0,2471.0,2754.0,2440.0,2321.0,3012.0
Q9DCM2,Gstk1 Glutathione S-transferase kappa 1,1,FP,9005.0,7500.0,29120.0,5545.0,5472.0,16551.0,7868.0,4970.0,10770.0,7069.0,11066.0,11878.0,12084.0,15884.0,8762.0,24213.0
Q9D892,Itpa Inosine triphosphate pyrophosphatase,1,,8750.0,5104.0,11880.0,3161.0,4934.0,8804.0,6675.0,4986.0,5082.0,5067.0,10430.0,7584.0,7668.0,6998.0,5752.0,9003.0
Q9D1I2,Card19 Caspase recruitment domain-containing protein 19,1,TP,8231.0,7251.0,31881.0,9093.0,7485.0,11579.0,8484.0,3430.0,5811.0,5120.0,12536.0,12617.0,7324.0,7367.0,4873.0,20245.0
Q9QZ88,Vps29 Vacuolar protein sorting-associated protein 29,1,,14196.0,2041.0,19070.0,3587.0,3779.0,15030.0,4313.0,3068.0,5258.0,4275.0,9268.0,8013.0,10196.0,7527.0,7653.0,9394.0
Q8CFV9,Rfk Riboflavin kinase,1,,22232.0,9149.0,37029.0,10703.0,10972.0,18672.0,20160.0,10095.0,11330.0,9907.0,32986.0,17741.0,21548.0,32301.0,12311.0,24572.0
Q8VBT1,Txlnb Beta-taxilin,3,,23101.0,14205.0,54486.0,14004.0,11188.0,15249.0,8780.0,4666.0,9354.0,7445.0,17610.0,15769.0,11686.0,12577.0,7671.0,28648.0
P26040,Ezr Ezrin,1,,17272.0,7656.0,41398.0,12277.0,7749.0,19929.0,8330.0,7953.0,9486.0,14057.0,19588.0,17295.0,14386.0,17684.0,13079.0,22154.0
P48453,Ppp3cb Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform,1,,31021.0,27124.0,60730.0,19374.0,14583.0,35023.0,27566.0,15443.0,23592.0,19917.0,32942.0,34322.0,36298.0,48783.0,31734.0,35520.0
Q9D8W5,Psmd12 26S proteasome non-ATPase regulatory subunit 12,1,,13482.0,3919.0,24240.0,8414.0,6831.0,20164.0,10227.0,5693.0,11325.0,6913.0,13412.0,10172.0,11370.0,11778.0,10400.0,11616.0
Q9DBE8,"Alg2 Alpha-1,3/1,6-mannosyltransferase ALG2",2,,32204.0,21947.0,103958.0,18291.0,19824.0,38951.0,21958.0,15125.0,17205.0,15837.0,32400.0,27615.0,24264.0,32531.0,28023.0,34444.0
G5E895,Akr1b10 Protein Akr1b10,1,,17863.0,5557.0,55343.0,19059.0,9447.0,57774.0,22065.0,10487.0,29912.0,14475.0,15936.0,8631.0,68615.0,12249.0,21377.0,24962.0
F6XCP4,5830454E08Rik Protein 5830454E08Rik,1,,13896.0,22659.0,19298.0,11372.0,11418.0,12959.0,55723.0,8506.0,22792.0,7548.0,32383.0,11209.0,15525.0,42747.0,24537.0,31592.0
Q9CPY7,Lap3 Cytosol aminopeptidase,3,,42558.0,27387.0,132529.0,34172.0,31891.0,57827.0,33750.0,18496.0,24748.0,19656.0,57631.0,31749.0,48105.0,34397.0,29651.0,70455.0
P61161,Actr2 Actin-related protein 2,2,FP,34574.0,30334.0,87717.0,32477.0,29372.0,59656.0,48533.0,26163.0,28075.0,24543.0,46549.0,57464.0,37524.0,33518.0,28181.0,45669.0
Q5SSK3,"Tefm Transcription elongation factor, mitochondrial",1,FP,5120.0,2616.0,10627.0,3483.0,2713.0,5364.0,4827.0,1826.0,3949.0,2473.0,8401.0,2868.0,3245.0,5460.0,3855.0,9797.0
Q9DCH4,Eif3f Eukaryotic translation initiation factor 3 subunit F,2,,48789.0,21784.0,76484.0,23854.0,30259.0,42857.0,23794.0,15540.0,22410.0,19054.0,50429.0,31127.0,20745.0,31997.0,19447.0,36417.0
Q9CQY5,Magt1 Magnesium transporter protein 1,1,TP,55267.0,5310.0,46863.0,13591.0,24505.0,22046.0,19214.0,7905.0,9117.0,12502.0,34536.0,14304.0,12629.0,26162.0,13028.0,23088.0
Q8BHE8,"Maip1 m-AAA protease-interacting protein 1, mitochondrial",2,FP,15683.0,5759.0,26897.0,6676.0,7986.0,11575.0,9375.0,5644.0,5853.0,8646.0,16529.0,9079.0,10376.0,18105.0,10699.0,18604.0
Q61335,Bcap31 B-cell receptor-associated protein 31,2,TP,785554.0,0.0,610799.0,0.0,43278.0,37950.0,25997.0,21031.0,16261.0,16887.0,29883.0,22895.0,20297.0,27897.0,21418.0,38660.0
O70456,Sfn 14-3-3 protein sigma,1,TP,3400.0,910.0,4862.0,5885.0,8315.0,3477.0,6525.0,3787.0,2544.0,4879.0,2275.0,7686.0,3029.0,3283.0,1324.0,4514.0
Q9DCS2,UPF0585 protein C16orf13 homolog,1,,23494.0,15741.0,48679.0,17885.0,14433.0,28150.0,19284.0,10837.0,17303.0,11666.0,26609.0,15512.0,25627.0,16347.0,18947.0,30084.0
Q9D6K5,Synj2bp Synaptojanin-2-binding protein,1,FP,31201.0,11699.0,47053.0,12781.0,10629.0,23134.0,19985.0,9098.0,10187.0,12654.0,24949.0,14648.0,16006.0,26741.0,19425.0,37335.0
P55096,Abcd3 ATP-binding cassette sub-family D member 3,3,,77092.0,40664.0,160336.0,65526.0,57626.0,86150.0,70546.0,30414.0,45398.0,43126.0,71630.0,73978.0,54391.0,92782.0,53868.0,94530.0
Q9Z2A5,Ate1 Arginyl-tRNA--protein transferase 1,3,FP,47511.0,46041.0,123679.0,33161.0,24462.0,55469.0,75934.0,23525.0,29809.0,22911.0,43716.0,46322.0,68891.0,68786.0,37566.0,56875.0
P11152,Lpl Lipoprotein lipase,2,TP,141482.0,4276.0,99045.0,20194.0,16133.0,34328.0,37377.0,15435.0,20625.0,28265.0,26993.0,24303.0,32706.0,74648.0,25490.0,34045.0
P47809,Map2k4 Dual specificity mitogen-activated protein kinase kinase 4,2,FP,38961.0,18089.0,98247.0,23483.0,23591.0,68503.0,37718.0,15652.0,23374.0,19427.0,53646.0,33581.0,43217.0,43064.0,33894.0,52988.0
P11404,"Fabp3 Fatty acid-binding protein, heart",1,,27756.0,3025.0,43790.0,12512.0,9248.0,48532.0,20498.0,8713.0,23181.0,11813.0,25008.0,5402.0,55458.0,22093.0,17084.0,19570.0
Q8K310,Matr3 Matrin-3,3,FP,17195.0,6669.0,26561.0,12387.0,10074.0,18863.0,9879.0,6576.0,6437.0,7828.0,13693.0,12232.0,8300.0,9039.0,4757.0,28466.0
P26043,Rdx Radixin,1,,24578.0,9244.0,43701.0,15474.0,13632.0,51015.0,9300.0,10145.0,19017.0,12625.0,47872.0,12968.0,31582.0,14938.0,14509.0,28523.0
P21836,Ache Acetylcholinesterase,3,TP,88108.0,320.0,62480.0,0.0,3925.0,3753.0,748.0,704.0,1012.0,1385.0,0.0,2815.0,2040.0,1508.0,1249.0,3613.0
Q5XJY5,Arcn1 Coatomer subunit delta,2,,16399.0,5734.0,27255.0,6926.0,7567.0,10380.0,10013.0,2791.0,6198.0,3904.0,19708.0,8918.0,8419.0,11805.0,9206.0,17848.0
P14142,"Slc2a4 Solute carrier family 2, facilitated glucose transporter member 4",2,,54503.0,12502.0,123297.0,12634.0,20978.0,26688.0,24348.0,11589.0,17289.0,19313.0,49291.0,23794.0,27595.0,54274.0,25442.0,54455.0
P53986,Slc16a1 Monocarboxylate transporter 1,2,,105517.0,18394.0,219382.0,24396.0,41279.0,57267.0,67831.0,23376.0,29796.0,38518.0,77627.0,42973.0,57821.0,142082.0,57805.0,103416.0
