RPL36A-HNRNPH2
AC135050.2
C11orf16
CD1D
AC010422.5
C22orf39
ALG1L2
AF196969.1
ZNF501
C4orf3
AKR1C2
AC068631.2
TRAPPC2B
C2orf76
GVQW3
AKR1C1
RPS27AP5
AKR1C4
AL645922.1
SCD
AL035078.4
ALG10
AP001781.2
GIMAP1-GIMAP5
AKR1C3
AC138811.2
AL669918.1
AC245033.1
C19orf71
ZNF33A
RPL26L1
C11orf58
C16orf95
RPL36AL
AL162231.1
RPL17-C18orf32
CD1C
ZNF33B
GPR89B
