C6orf58
C17orf67
IGKV1D-37
IL26
CFHR5
ANGPTL5
ARSF
IGHV3-48
IGKV1D-17
IGHV2-70
HTN1
DEFB133
IGKV2-30
OOSP4B
IGHV3-23
IGLV4-3
IGKV2-24
PSG8
IGKV2D-26
IGLC7
CCL4L2
CCL3L3
DEFB116
C4orf48
IFNL1
IGKV2D-40
LAIR2
ADGRE3
MTRNR2L4
MTRNR2L1
IGKV1D-12
DEFB128
C10orf95
AMY1B
IGLV7-46
IGKV1D-42
IGHV3-38
IGKV3D-11
C18orf54
PGA4
IGKV1D-39
IGKV1-8
MUC7
CGB5
IGHV6-1
DEFB119
HTN3
APOL4
IGKV2D-29
IGHV3-33
COL21A1
IGKV1-6
IGLV1-51
IGLV5-37
RAET1G
IGHV1-45
FUT6
C11orf45
LAMB4
IGKV5-2
DEFB114
IGFL4
C11orf94
DEFB105B
MTRNR2L6
CST1
PSG3
IGLV3-19
SERPINA1
IGHV1-3
PSG4
C5orf46
CXCL8
PAEP
NOTCH2NLB
IGLV7-43
DEFB125
CPAMD8
NOTCH2NLC
DEFB107B
IGKV6D-41
FGF19
DCD
MTRNR2L11
IGLV9-49
PRH2
DEFB131B
IGHV1-2
IGKV1D-13
LCN1
C3orf33
DEFB4A
ERVH48-1
HPR
MTRNR2L10
IGLV3-27
LCN15
CGB3
LILRA2
WFDC10A
MTRNR2L5
DEFB124
IGKV2D-24
DEFB103A
IGHV5-10-1
MTRNR2L8
CFC1B
CCL14
IGHV3-49
KLK2
REG1B
CST9L
DEFA1B
IGHV4-39
GH2
HLA-G
IGKV1-12
PRB2
IGLV8-61
IGHV3-73
FBN3
SCGB1D4
IGLV6-57
CTRB2
PSG5
IGKV3D-7
IGLL5
IGKV4-1
IGLV3-12
DEFB104B
IGLV1-47
IGLV3-1
IGHV8-51-1
IGLV3-21
IGHA2
CLEC18B
FAM180B
NPIPB7
IGHV3-43
CGB2
C22orf15
MXRA5
AC008687.1
IGLV2-23
MTRNR2L13
IGLV2-8
IGKV1-16
DEFB121
IGHV4-34
APOL1
DEFB130A
C17orf99
CSHL1
PSG1
IGLV11-55
IGLV3-25
IGKV6D-21
IGHV1-69-2
IGHV3-66
DEFB135
IGHV3-21
IGFL2
IGLV1-44
SIRPD
SCGB2A1
ZG16B
PI3
SCGB1D2
AZU1
HLA-E
C6orf120
PRB3
CST5
IGLV3-16
C1orf54
MMP1
IGKV1D-43
DEFB106B
SIGLEC6
SERPINA4
SPACA5B
SPINK9
STATH
HSD11B1L
XCL2
PSG7
GNLY
SPTY2D1OS
IGHV3-64
PSG9
IGKV2D-28
CST4
CGB7
CCL23
RLN2
SCGB1C2
INS
IGHV3-53
ERAP2
GZMH
DEFB106A
IGLV10-54
ADA2
C15orf61
IGKV3D-15
CCL18
AMY1C
DEFB107A
SCGB1D1
IGKV1-33
IGHV1-69D
IGKV1-9
C1QTNF9B
IFNA17
IGHV3-15
TCN1
IGHV1-46
IGHV7-4-1
IGKV3-15
IGHV3-7
PSG2
DEFB130B
ANOS1
IGKV1-39
LPA
IL37
DEFB134
IGHV4-4
OPRPN
IGLV2-11
C1orf56
PLGLB2
PGA3
DEFB132
CHI3L2
ITIH6
IGKV1-17
IGLV4-60
OOSP4A
IGLV2-33
RNASE7
IGKV1-5
IGLV3-10
DEFB131A
EDDM3A
INSL4
DEFB115
DEFB105A
ULBP2
NOTCH2NLA
CCL16
CELA2B
CLPSL1
IGKV6-21
IGLV3-9
IGLV2-14
IFNW1
DEFB126
C16orf89
IGHA1
FCGR3B
MMP26
ELSPBP1
MTRNR2L3
DEFB4B
DEFB127
DHRS4L2
ZP4
SEMG2
IGLV4-69
LACRT
DEFB118
CETP
IGHV3-35
PF4V1
IGHV4-61
REG1A
DEFB108B
IGHV3-13
FDCSP
IGLV5-48
IGLV1-50
IGHV3-72
CCL21
EYS
CLEC19A
INS-IGF2
IGKV1-37
IGHV4-59
SFTPA2
PLGLB1
IGKV1D-33
FGFBP2
IGKV3-11
IGHV2-70D
PNLIPRP3
IL32
C2orf66
C21orf62
FTCDNL1
IGKV3-20
DEFB113
AMY2B
RNASET2
PSG6
IGLV1-36
C14orf93
C6orf15
C10orf99
IGKV2D-30
IGKV1D-8
IGLV3-32
DEFB104A
FCN3
CXCL6
OVCH1
ERVMER34-1
IGKV1-27
IGHV4-28
WFDC10B
C4BPB
TNFRSF6B
IGHV3-64D
IGHV5-51
AC233755.1
CCL15
IGHV3-11
MTRNR2L7
CST2
DEFB103B
DEFB123
IGHV4-31
C2orf69
LYZL2
SMR3B
PRB4
IGKV2-40
IGLV2-18
IGHV3-30
S100A12
EPPIN-WFDC6
IGHV7-81
IFNA10
CGB8
PSG11
ADM5
SERPINA3
IGLV5-52
RNASE8
IGHV2-26
IGLV3-22
DEFB129
IGKV2-28
DEFB110
MTRNR2L12
AMELY
CLEC18C
DEFB136
CGB1
IGHV3-20
IFNA21
IGLV1-40
FOLR3
IGKV3D-20
C1QTNF8
IGLV5-45
IGKV1D-16
VSTM1
GNRH2
IGFL1
IGHV3-16
CCL13
IGHV3-74
HMSD
