uniprot_id,description,pep_num,annotation,ctrl_turbo(-)_1,ctrl_turbo(-)_2,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,fast_turbo(-)_1,fast_turbo(-)_2,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,LPS_turbo(-)_1,LPS_turbo(-)_2,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4
Q8K0E8,Fgb Fibrinogen beta chain,43,TP,9941739.0,12370953.0,50598302.38871369,25253523.0,67403167.65178867,10543284.0,7925807.0,43184276.03901081,63587432.0,92373220.26655912,15074668.0,7121511.0,200886182.9850541,181316898.59699178,149952837.39949915,112674198.93151394
Q8VCM7,Fgg Fibrinogen gamma chain,35,TP,7287381.0,8074488.0,33356099.92126124,13926279.0,34131464.75046723,7119630.0,4772958.0,24988623.019425977,39767769.0,51915853.0913372,8918337.0,4549291.0,116608760.9423395,95198636.85004334,79420852.18549456,59661433.32608909
P07724,Alb Serum albumin,56,TP,124553491.0,508883937.0,128810224.84491059,180615692.0,80217350.04636183,17378954.0,19483281.0,45493185.78331499,105604785.0,51979224.02238129,20967255.0,12101717.0,84288317.37799922,28303165.65284652,38730128.61019371,66275290.22248982
A8DUK4,Hbbt1 Protein Hbb-bs,9,,246044.0,754887.0,1072596.3480712872,1646471.0,660867.9981845089,335340.0,101670.0,618280.2848800506,739422.0,1195020.2124166272,109564.0,107030.0,707530.1161866556,1124012.191758829,615735.3292882498,564766.2037526575
P20918,Plg Plasminogen,45,TP,625295.0,941659.0,9133669.848806562,7194566.0,7556219.668157305,403361.0,624237.0,4821962.53219048,5427904.0,5242452.049304631,582374.0,316581.0,6888891.374938501,7440349.174449434,8399433.261672977,8071998.8005702505
Q921I1,Tf Serotransferrin,3,TP,172904.0,449603.0,3280014.0955997775,2582712.0,3094989.9009572193,49654.0,166405.0,1018334.9320839756,874309.0,712288.5129814657,222688.0,55584.0,3177488.0192405996,2976487.829479411,3224084.903874677,2658059.263749647
Q9DBD0,Ica Inhibitor of carbonic anhydrase,35,TP,293997.0,423396.0,6458895.548419558,6098571.0,6345346.470345838,224422.0,422923.0,4391766.484694696,4298078.0,4690939.377693528,313624.0,232643.0,3775776.2475073733,4585979.419904771,4928110.062493201,4764609.756187979
P21614,Gc Vitamin D-binding protein,29,TP,442104.0,991640.0,6396211.0956179835,5760843.0,6000391.8693076335,245440.0,437924.0,3325517.573651552,3707736.0,3251234.6467438885,390832.0,220986.0,3752894.1616592035,4494288.6905914135,5225464.453097962,5543076.904026463
P28665,Mug1 Murinoglobulin-1,36,TP,1641589.0,2854191.0,37617672.44386905,48846513.0,49247761.22664179,2611964.0,2603072.0,60279863.75923787,42288415.0,82557913.83017309,1236238.0,2868580.0,22738893.59728747,39640686.49947478,29829484.527728885,30649389.51823521
P01837,Ig kappa chain C region,5,,1203419.0,2748678.0,2456272.542718053,920045.0,743234.2639932975,352077.0,464381.0,477990.8871923692,505488.0,533178.4195350762,569688.0,569244.0,1503229.2031216936,745265.1395508319,589646.1610806775,1090165.811245035
