uniprot_id,description,pep_num,annotation,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4,ctrl_turbo(-)_1,ctrl_turbo(-)_2,fast_turbo(-)_1,fast_turbo(-)_2,LPS_turbo(-)_1,LPS_turbo(-)_2
P61514,Rpl37a 60S ribosomal protein L37a,4,,776213.1506501586,685662.0,927721.6585848356,352433.0,584840.5212387014,460439.64665563015,1057133.9258277826,1246278.85321662,705167.6461591582,734351.5676195386,492795.0,785185.0,927007.0,711833.0,525376.0,760799.0
Q9JKC8,Ap3m1 AP-3 complex subunit mu-1,10,,904007.2892839139,685049.0,728101.4777871906,468469.0,453065.1661981466,478620.19534057734,1144854.913410091,1145042.0585659537,966110.831876495,921459.1641977358,698220.0,999674.0,770418.0,674559.0,565335.0,556448.0
P62754,Rps6 40S ribosomal protein S6,10,,9127057.356355537,7633111.0,8181056.974855298,5416681.0,5321394.653764346,5079032.8846425675,10145394.519298844,10339833.840621809,7408886.053658589,7297462.267449198,6252353.0,7218250.0,9630020.0,5941650.0,5527155.0,6013110.0
P56389,Cda Cytidine deaminase,3,,56720.99717198008,61947.0,77067.78204139197,40449.0,40425.434715172574,30182.660217319328,90384.96262820822,96918.79115789851,84425.69056982572,87056.80643936236,46755.0,69471.0,70813.0,57830.0,41005.0,51013.0
Q8CFJ7,Slc25a45 Solute carrier family 25 member 45,8,FP,2439732.732739604,1988249.0,2197124.5400549937,2110729.0,1863824.5884873813,1666701.9398151883,3413343.379355397,2898020.111055192,1946688.843884554,1743231.286474639,2479353.0,3882361.0,2767641.0,2211555.0,1838308.0,2735471.0
O35386,"Phyh Phytanoyl-CoA dioxygenase, peroxisomal",9,,598497.969546051,447434.0,488078.5065760517,604966.0,507928.49954786175,667085.4837323541,817514.4909203566,879564.1749193381,532646.523090258,565944.1547597832,367000.0,601573.0,1117984.0,638879.0,413009.0,591217.0
Q8BSY0,Asph Aspartyl/asparaginyl beta-hydroxylase,23,TP,4803436.277310414,5953034.0,5821762.331504943,1841677.0,2633299.1654000245,2795575.1687397286,1935738.963819189,1505418.7744074347,2979425.514652509,2621941.2217742954,391406.0,629421.0,709498.0,391291.0,296204.0,363994.0
Q00897,Serpina1d Alpha-1-antitrypsin 1-4,4,TP,1157627.3222119336,990827.0,1085549.595100735,469694.0,611707.1427144806,485561.7202612648,810331.2012434197,698880.2105131575,697432.9249053138,690396.5213908571,206947.0,308024.0,333804.0,247937.0,153122.0,200440.0
V9GX76,Myo6 Unconventional myosin-VI,34,,4633393.89204901,5767685.0,4000571.471634713,1431930.0,1609137.4215894034,1771572.597901454,4181900.845093742,3281522.286139844,5250423.047499715,5280861.37582541,1445545.0,2482915.0,1946613.0,1593151.0,1299420.0,1141537.0
O09110,Map2k3 Dual specificity mitogen-activated protein kinase kinase 3,6,,802501.5840486806,742527.0,822092.5511862449,462510.0,483358.4034842164,426292.68635583785,907122.737908622,834749.7475198824,804120.1753353173,690797.9263627053,740814.0,775152.0,786216.0,578986.0,484879.0,485056.0
Q03734,Serpina3m Serine protease inhibitor A3M,5,TP,557969.2945681282,620211.0,641879.298191645,636900.0,975153.3009156781,679841.6400601993,3519616.4327965453,3349687.370910106,2536067.593556712,2456213.04689031,384342.0,477630.0,977798.0,739331.0,729945.0,1323044.0
Q9D1R9,Rpl34 60S ribosomal protein L34,4,TP,166849.42792481973,140217.0,213238.21124767506,84421.0,111420.098642799,100847.92648827619,217315.46010975307,247436.44273945695,211276.01400999544,182779.4735084876,97868.0,148274.0,212542.0,165528.0,112160.0,138369.0
P61922,"Abat 4-aminobutyrate aminotransferase, mitochondrial",13,FP,980123.5128941262,482890.0,607189.3653672319,570860.0,398946.89747274393,402814.34693074075,602304.4089921608,696478.0971517126,444626.4094155798,433230.5373009092,488742.0,613116.0,704400.0,529951.0,354915.0,418642.0
Q9DBN5,"Lonp2 Lon protease homolog 2, peroxisomal",24,,2664220.7600616375,2408415.0,2678995.4368116916,2143329.0,1346569.1519046812,1714655.4324955603,2587739.8738423483,2695387.859436662,2223913.573097377,2033491.9487425624,2448890.0,3472536.0,3201708.0,2413437.0,1442849.0,1479605.0
Q9R0H0,Acox1 Peroxisomal acyl-coenzyme A oxidase 1,16,,2941872.5217285603,1970016.0,2039413.1320085,1936810.0,1136909.5567000986,1668734.5218192218,1999997.5531065813,2581771.9919517315,1597055.1323823186,1656717.6987396942,1836058.0,2156450.0,3643535.0,2253096.0,1050020.0,1244343.0
P07759,Serpina3k Serine protease inhibitor A3K,5,TP,2353157.33579787,2994580.0,3014574.7155236467,1624160.0,1811359.9997817941,2316536.2142046173,4361195.8086297875,2879572.631099721,3634335.3702041092,3639897.8207213506,459026.0,774117.0,721461.0,488456.0,380383.0,611921.0
Q791V5,Mtch2 Mitochondrial carrier homolog 2,8,FP,1067385.2464596124,1025311.0,1562919.3328442902,728302.0,905010.4639213358,883078.9720651356,1859098.144038873,2117261.61463591,1626053.6255058234,1441684.0137507736,839579.0,1564306.0,2202234.0,1179872.0,749427.0,1122495.0
Q8BZ09,Slc25a21 Mitochondrial 2-oxodicarboxylate carrier,11,FP,759874.11156914,1009967.0,1085957.4447436547,701914.0,657424.1263392137,650426.9369039522,1046920.913158055,1062182.7959674778,858810.5906182367,782192.4703621209,950003.0,1195571.0,1135374.0,864903.0,552987.0,620770.0
Q9CR68,"Uqcrfs1 Cytochrome b-c1 complex subunit Rieske, mitochondrial",11,FP,6227066.289037222,4074800.0,5178461.978504191,4264491.0,5359408.850373702,3578613.8213346177,6443917.567367881,6630900.862647663,4355997.09317512,3907350.5082714986,3733678.0,4926186.0,6914792.0,5722907.0,3089780.0,4009207.0
P84244,H3f3b Histone H3.3,1,FP,8781.876039055993,14948.0,64483.694874986395,2187.0,29724.216894636065,3214.42896667971,123754.47530999788,117437.41146904718,140693.32677945952,142775.9828110551,5128.0,89790.0,37723.0,40694.0,82641.0,64811.0
Q8BH59,Slc25a12 Calcium-binding mitochondrial carrier protein Aralar1,14,FP,1909030.398604224,1513252.0,1983745.1121028694,1049640.0,1398903.1271471651,1295360.6157360864,3489368.412592402,3079795.94517112,2584648.9810232515,2457343.5507132197,1228841.0,1559493.0,2638268.0,1899679.0,1605842.0,1967416.0
Q91YH5,Atl3 Atlastin-3,14,TP,2800400.141794273,2249040.0,2743602.572861896,1925995.0,1522681.530938049,1474740.4990783494,2943285.448003773,3223015.130161584,2790763.04550383,2555136.538036349,2637488.0,2854704.0,2564774.0,2071252.0,1553191.0,1781410.0
Q9D665,Sdr42e1 Short-chain dehydrogenase/reductase family 42E member 1,10,,703819.5572057305,865049.0,842934.3592100219,1136789.0,862048.8564834654,1290907.299517804,1237679.0823459278,1108868.756291298,986586.3661482658,896573.6583581986,975833.0,1027046.0,1955984.0,994150.0,488386.0,582460.0
Q9CXS4,Cenpv Centromere protein V,6,FP,275621.3491549905,190532.0,472451.84132287727,175414.0,209174.62173723298,166029.67327333475,946773.8053291957,921933.837796812,741618.9742432225,703928.1153420465,171388.0,259452.0,575391.0,721636.0,298596.0,611542.0
P62717,Rpl18a 60S ribosomal protein L18a,6,,873493.9068862821,630223.0,1476208.3261948822,397751.0,750268.7189901985,508153.8483676971,1059670.221590404,975901.2042475117,1053673.8124882532,875820.7809513829,595287.0,496219.0,1130103.0,792739.0,587528.0,620625.0
Q9CQM8,Rpl21 60S ribosomal protein L21,3,,1244212.6660612584,854240.0,2276693.7340709995,508948.0,1206302.7859931511,771353.0451048972,1890998.0149704285,1930359.111023432,1723447.5770286336,1565023.5031245674,759559.0,902125.0,1862487.0,1450912.0,967956.0,1252445.0
Q571F8,"Gls2 Glutaminase liver isoform, mitochondrial",16,FP,4176168.120921985,1824481.0,2820961.676076802,1393502.0,1745223.0209123755,1493990.20537459,2563395.6904972917,2244462.729775091,1512929.9713791434,1508435.0165843011,1614030.0,2087933.0,2369768.0,1745472.0,1074196.0,1449549.0
Q9ET01,"Pygl Glycogen phosphorylase, liver form",19,,2338738.0498818383,2178597.0,2544611.4482931606,1168660.0,1467109.4775798416,1394937.656761882,2013762.9758350197,2382104.8490137346,1768547.8924923823,1609304.6408174052,1357458.0,1459013.0,3353566.0,1374069.0,986487.0,1310020.0
P61222,Abce1 ATP-binding cassette sub-family E member 1,18,FP,2634641.1436140737,2171840.0,2242095.641480949,1460788.0,1655418.8825285928,1781295.1847154081,3351093.0787945692,2844588.443180837,2402005.3062478644,2442987.5142150605,1456974.0,2399047.0,2599093.0,1799391.0,1704771.0,1648596.0
Q9D0F3,Lman1 Protein ERGIC-53,16,TP,3543263.7980200285,3249148.0,4483978.964140522,1311126.0,1785834.7217836261,1537587.7676958735,2115068.5071611227,1797534.8668790504,2296912.428556071,2338635.040854961,569670.0,836021.0,793826.0,578672.0,420831.0,558528.0
Q9CQR4,Acot13 Acyl-coenzyme A thioesterase 13,4,FP,839894.496408665,666241.0,863632.9754705462,392128.0,551042.3000644788,485030.2717153779,915560.210545261,844890.4874491638,674729.892331843,655556.0120079763,466694.0,602726.0,982824.0,751390.0,374864.0,417946.0
Q9CQ69,Uqcrq Cytochrome b-c1 complex subunit 8,4,FP,570530.9954916143,392156.0,627807.991746215,370770.0,372905.9802376281,361471.9628630768,479794.80669412605,528065.7246552429,382030.5004947887,317202.06662594917,365690.0,396185.0,652237.0,315179.0,231502.0,347329.0
Q3TNA1,Xylb Xylulose kinase,12,,2170888.9577441625,1782955.0,1772850.3081255294,1165438.0,1145309.7060315239,1119642.4406995154,1987808.171531109,2101547.221047651,1553893.7173485733,1473298.0604158237,1692992.0,1927915.0,1807626.0,1387841.0,989104.0,1083678.0
Q3UED7,Gm4951 Interferon-gamma-inducible GTPase Ifgga2 protein,8,,283098.93693622836,229369.0,268938.81962356303,184397.0,119816.84066649104,126227.37700749481,297257.3213598261,292215.04316406156,247485.72527124386,237540.40567592767,186114.0,278952.0,226208.0,210203.0,152243.0,159217.0
Q99JB2,"Stoml2 Stomatin-like protein 2, mitochondrial",7,FP,408870.1232387443,340469.0,481148.02523462236,201016.0,263933.4643164653,234464.80336875058,544822.1316662561,471542.700665165,363765.3127132219,346284.2975004991,258521.0,415161.0,510668.0,388985.0,256867.0,318449.0
P62918,Rpl8 60S ribosomal protein L8,7,,2017190.5850175724,1342254.0,2479958.8858904764,903609.0,1158991.1823493103,949430.0447738013,2896380.6013019527,3930096.3058227994,2323116.6678675674,2863944.353384744,1047496.0,1219399.0,1747807.0,1386565.0,1693343.0,2096069.0
Q8BU31,Rap2c Ras-related protein Rap-2c,2,,50061.542540069575,41735.0,40660.53558734861,31980.0,36304.8638965665,36358.31491677453,63557.683221895764,67260.88016687758,52789.5471305815,60758.771726834035,36433.0,51228.0,50597.0,41658.0,35205.0,35393.0
Q922Q1,Marc2 Mitochondrial amidoxime reducing component 2,11,FP,1103587.0166356217,933480.0,964725.3727975314,861498.0,926098.2914817159,884383.9425783344,696388.0808578364,967393.1507435873,572913.7563667559,639147.281821443,740098.0,946193.0,1329318.0,941693.0,526052.0,537279.0
Q8C2Q3,Rbm14 RNA-binding protein 14,12,FP,801274.3843246896,591603.0,719785.4926951163,263689.0,469206.7186992573,321824.7883586672,1250969.6977396754,1419631.936149698,1301642.7714051288,1197266.8438565347,473389.0,789097.0,700188.0,884779.0,684402.0,687440.0
P08752,Gnai2 Guanine nucleotide-binding protein G(i) subunit alpha-2,7,,794539.0845224007,533765.0,438856.091075595,343770.0,357314.14005079673,351838.4145489571,1256965.3040836174,1153676.3595050676,1139036.886842892,1302295.5363708055,366691.0,664215.0,555076.0,446970.0,523686.0,561513.0
Q9CQQ7,"Atp5f1 ATP synthase F(0) complex subunit B1, mitochondrial",11,FP,3586664.642564739,3507931.0,4100923.2219103915,2534321.0,2397930.2975796843,2262145.5162315266,3906283.832257048,4188395.146127824,2784516.8031954807,2848642.090795262,2375158.0,3397614.0,3624877.0,2911601.0,1763066.0,2378103.0
Q9D3D9,"Atp5d ATP synthase subunit delta, mitochondrial",3,FP,91339.96567763433,65016.0,74458.7293619881,52117.0,55570.91758896311,56205.55302049785,69066.51229833948,88849.19158429468,54838.81573890819,57521.09210360255,47545.0,60070.0,97216.0,70071.0,47207.0,51891.0
