uniprot_id,description,pep_num,annotation,ctrl_turbo(-)_1,ctrl_turbo(-)_2,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,fast_turbo(-)_1,fast_turbo(-)_2,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,LPS_turbo(-)_1,LPS_turbo(-)_2,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4
P35700,Prdx1 Peroxiredoxin-1,1,,40231.0,56208.0,45124.310530148054,55389.0,31675.74896444706,36578.0,44988.0,47678.48421287931,39050.87305082804,48930.0,88602.0,60220.0,64368.24050568557,71057.33261351497,47067.74114592099,53575.52553119489
Q9JM99,Prg4 Proteoglycan 4,4,TP,42185.0,23755.0,39595.3759578378,33453.0,66107.99354265477,41036.0,53334.0,46837.21252538047,41524.46558637457,35283.0,80911.0,140803.0,160833.7595621007,109126.97315613549,108043.02450049289,93153.15803159562
P98064,Masp1 Mannan-binding lectin serine protease 1,3,TP,59376.0,45916.0,110569.64245345168,120306.0,106751.06255866047,33716.0,60919.0,42565.564554887016,50460.702605684906,46509.0,105719.0,95558.0,166329.1805317833,144480.3770546411,135338.964150898,151094.18031239425
P56480,"Atp5b ATP synthase subunit beta, mitochondrial",2,FP,8300.0,7919.0,10459.127457439063,11493.0,7878.65669699283,11953.0,10739.0,11375.36322485703,5508.899756870633,9061.0,11616.0,14207.0,13934.678066057719,11626.842026671568,12308.576326609122,9670.339287940584
O54724,Ptrf Polymerase I and transcript release factor,1,TP,3622.0,2351.0,2815.7449117575675,3268.0,1410.9077075173009,2762.0,5229.0,8179.387068531937,4296.971066332311,2521.0,4800.0,4024.0,3928.3673337965392,3158.030186425298,6210.3557981294025,4641.352663543911
Q61233,Lcp1 Plastin-2,2,,6831.0,5876.0,7402.076072258244,8160.0,4154.883692700447,8318.0,7845.0,15103.288527094237,3674.5502361282606,6809.0,13211.0,9992.0,12305.176464607093,11873.53213338081,7536.597629294799,9284.756300425668
A0A0A6YWR2,Ighg1 Ig gamma-1 chain C region secreted form,1,,12357.0,8557.0,6946.6101036718555,9403.0,3675.871816691487,5346.0,18854.0,4563.845388670528,20403.847121271912,12530.0,40130.0,13925.0,12244.679997966412,16149.934894726564,31756.431487581445,19498.603522895257
P09581,Csf1r Macrophage colony-stimulating factor 1 receptor,2,,3399.0,2747.0,3109.8371762421552,3538.0,4310.018220726076,1860.0,6045.0,4066.146489577706,5134.423299685587,5655.0,5355.0,10850.0,5794.976054500161,6490.661413524162,9949.582505830587,7435.803836358131
P24270,Cat Catalase,2,,13123.0,13418.0,12893.306508096113,17473.0,9073.464728628816,8327.0,15186.0,11924.43749417879,10834.94968113138,9479.0,18781.0,11302.0,15094.844176312088,15179.047289769007,13731.725180928566,16961.54950398062
Q60841,Reln Reelin,11,TP,76920.0,81873.0,63724.51513470407,68096.0,152746.54495738904,82807.0,92781.0,29742.05808170184,135229.1536042974,66314.0,185190.0,51407.0,225686.94755037368,166622.30220884687,108904.11262051885,68295.3611769106
P09411,Pgk1 Phosphoglycerate kinase 1,1,,4606.0,5254.0,6041.710828334662,5439.0,2494.6720769875733,2257.0,5803.0,5551.750945364454,5250.715793225474,5906.0,8737.0,5621.0,4823.129590401464,6450.317991247315,4623.849390493136,6511.840347658824
P62082,Rps7 40S ribosomal protein S7,1,FP,3801.0,3377.0,6367.474567456052,6959.0,2515.356680724324,5729.0,5740.0,4243.819644952778,3654.802454206393,3351.0,7705.0,6344.0,6478.976427324646,5849.134862564468,6012.388593686133,6742.5748481664195
Q9CQF9,Pcyox1 Prenylcysteine oxidase,1,,7229.0,3209.0,14695.564231476024,35568.0,22454.770351274576,4636.0,7604.0,14334.798614086396,12075.402945556843,18833.0,13654.0,21329.0,13662.443966174651,17347.010211465786,20146.970113726526,25044.435428428944
Q7TNC4,Luc7l2 Putative RNA-binding protein Luc7-like 2,1,FP,2907.0,2709.0,3251.6047293783154,4285.0,1323.2703074747526,4628.0,3572.0,4466.4462492781695,1631.751906210619,3231.0,6212.0,5087.0,6008.665186666441,8103.736937019722,7824.549926666827,5833.993659500952
Q06770,Serpina6 Corticosteroid-binding globulin,1,TP,25576.0,4167.0,10453.094795603482,10700.0,11324.276214193646,6410.0,9485.0,8349.567982415288,11074.11726218511,7859.0,7444.0,28758.0,5684.716365300208,9902.656750020102,13475.613762592868,26589.843838495377
P58252,Eef2 Elongation factor 2,2,FP,29415.0,23950.0,31306.498595749108,31602.0,12148.938705277253,16507.0,19936.0,32315.107874001078,19405.487035221937,44740.0,44328.0,32165.0,32408.542629090476,58291.61561699537,49030.80055781299,32805.318538835556
P16015,Ca3 Carbonic anhydrase 3,1,,2601.0,489.0,9463.738254568148,3067.0,719.6064773680062,2306.0,1929.0,10802.74191084701,2731.7764991916906,2261.0,3030.0,7872.0,3621.982002745344,2597.190480019297,13321.946911591449,5721.190125919461
S4R270,Bin2 Bridging integrator 2,1,,1907.0,1079.0,2342.180957664436,2103.0,2504.470047178666,4581.0,1478.0,1091.7266173649014,1967.4641988823687,1116.0,3990.0,5135.0,6921.966683048348,4960.918204895531,2353.4562765983023,2352.4664185085576
P16294,F9 Coagulation factor IX,1,TP,7235.0,4942.0,7098.934815020283,6331.0,7059.981854359334,5685.0,10223.0,7918.228936534843,5578.382693262389,7317.0,10873.0,20233.0,8157.265501872595,11462.822867250945,13638.971315909692,10551.23233654514
P99024,Tubb5 Tubulin beta-5 chain,1,,7850.0,6506.0,8208.94459276724,7276.0,9934.053110413095,16938.0,5674.0,9575.084626418045,9195.152382285925,14660.0,17469.0,13499.0,12487.641613991085,35834.879495514535,16788.449568416243,10102.069175557019
P97351,Rps3a 40S ribosomal protein S3a,1,FP,2742.0,3784.0,5360.020040913976,4131.0,1871.4123064986422,5288.0,4922.0,5092.583573943334,3059.4433992286054,2060.0,7027.0,5053.0,6166.736599501771,6739.9969905466405,6411.091774662787,4260.897109373608
Q9R1P4,Psma1 Proteasome subunit alpha type-1,1,FP,5145.0,5990.0,6180.462050553032,5199.0,3280.6870189840943,5559.0,5456.0,4387.2425535085595,4898.181315953615,4800.0,9983.0,13249.0,8960.307309054551,7218.165749664021,7824.549926666827,6522.09521434805
E9PWQ3,Col6a3 Protein Col6a3,4,,20146.0,14165.0,17558.062272459345,20708.0,20988.340812674418,10757.0,11926.0,7636.734720488795,10252.024414771064,14284.0,25063.0,33067.0,40170.629598874744,26449.412191732044,26648.04698131807,21133.22927315796
P35492,Hal Histidine ammonia-lyase,2,,6486.0,6661.0,6628.387191844943,6927.0,4563.676782339911,4885.0,5999.0,8906.134493228768,6287.840043788745,7145.0,10967.0,8638.0,7098.577335660661,6527.036630331155,6963.461806640859,8863.281279498458
Q03311,Bche Cholinesterase,2,TP,13616.0,6642.0,25729.302728754203,42730.0,33549.33859765483,7455.0,11192.0,13837.099714993572,15798.225537494114,17096.0,13124.0,16319.0,29043.182734837057,29145.807808497684,17817.048399894207,34785.53329652519
P48193,Epb41 Protein 4.1,2,FP,5410.0,3972.0,30590.120002773827,11430.0,6106.312755759677,6826.0,5911.0,52013.28107594583,4275.029086419125,10795.0,21400.0,19145.0,10251.223847209747,10453.575942751468,24026.019811978553,22618.133969757953
Q9JLF6,Tgm1 Protein-glutamine gamma-glutamyltransferase K,2,,8975.0,9120.0,5844.141153219375,7698.0,4381.325670450137,5051.0,12694.0,8973.564666654247,8121.458165200678,6777.0,18371.0,6711.0,6746.3317798979815,5603.106123433533,8173.415210021399,7532.199583236859
Q9JLJ2,Aldh9a1 4-trimethylaminobutyraldehyde dehydrogenase,1,,7098.0,6995.0,8180.2894490482295,7740.0,5862.996496014216,5770.0,8148.0,9145.886220963806,5331.169719573824,7212.0,10137.0,6488.0,8777.84215967056,7657.975189239481,6812.563727729556,10692.749496856466
P14733,Lmnb1 Lamin-B1,1,FP,2017.0,2654.0,4120.308033702021,2914.0,1929.6557959679135,2732.0,2207.0,5989.511912523518,7804.762255120356,2799.0,1931.0,2473.0,2815.037197715603,3953.65538313098,4060.4042701546005,4997.19653766007
P68372,Tubb4b Tubulin beta-4B chain,1,,30054.0,15963.0,31695.6052841441,32472.0,35524.71825451451,49691.0,28897.0,32954.08904122348,33171.15383342456,31895.0,77544.0,57699.0,62701.66042468098,108796.28936698101,50127.23430549878,33645.192120683205
P45700,"Man1a1 Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",1,,4482.0,5885.0,3741.7585035192956,6234.0,2600.272422380458,2259.0,4919.0,1778.8721941769275,3485.8492088748585,4067.0,4871.0,4270.0,4524.5502550458405,4986.71154044958,6390.32598398692,10409.715176233814
P10126,Eef1a1 Elongation factor 1-alpha 1,1,FP,5888.0,4593.0,7373.420928539233,13501.0,5776.992091003516,7224.0,5832.0,7426.951958720638,7723.576929441567,10290.0,18409.0,11712.0,17591.787049433136,18868.81700915471,10813.439397946671,12571.441074322758
F8VQC1,Srp72 Signal recognition particle subunit SRP72,1,,1379.0,2731.0,6055.2843174647205,5176.0,1341.2332528250886,7905.0,4500.0,6159.692826406869,3009.708244758717,3070.0,7424.0,7743.0,4900.213797895236,4297.56652385164,8965.284027794474,4706.983810354961
P07141,Csf1 Macrophage colony-stimulating factor 1,1,TP,3304.0,2961.0,8589.002288408863,14352.0,9560.641579797018,3282.0,3311.0,3648.7216064675968,5583.502488575466,7620.0,2742.0,5725.0,10799.59504482367,7542.897230613721,6933.005313649587,8251.065738151638
P70428,Ext2 Exostosin-2,1,TP,2273.0,2294.0,11345.928747269512,29564.0,17127.396225706743,1396.0,3153.0,6700.204534023806,3770.363548415841,8558.0,2525.0,3861.0,15698.83309325696,14768.33802363914,7481.222187492486,15582.269934279657
P08071,Ltf Lactotransferrin,1,TP,1952.0,737.0,1471.9694878818348,4547.0,4445.556808369521,867.0,1953.0,1563.7378313432557,881.3361931796485,1800.0,5831.0,4374.0,4868.014065651002,5448.346110109236,5963.935082109109,7013.303328761999
Q91ZX7,Lrp1 Prolow-density lipoprotein receptor-related protein 1,6,,17331.0,11216.0,45552.62952047432,99546.0,70619.9588156528,13108.0,21956.0,42974.42687629231,28893.199149683678,44457.0,23771.0,24909.0,90944.72860072192,78872.71328639198,44041.473251424584,88455.40360126097
Q9QYB5,Add3 Gamma-adducin,1,,3681.0,1758.0,2334.6401303699595,2544.0,2500.659725437685,3605.0,2037.0,3129.616303112717,3158.1823088379438,2765.0,6765.0,3851.0,4382.090833601654,4264.498144936192,2963.970522468803,4065.029155609382
P70389,Igfals Insulin-like growth factor-binding protein complex acid labile subunit,1,TP,4435.0,1648.0,12333.777122845948,12372.0,11770.083857888349,4267.0,5793.0,5794.7136337388,4697.77789941318,4248.0,7598.0,8430.0,8234.349709366368,10662.5680974971,10921.42150946118,13871.758170516678
Q91WP0,Masp2 Mannan-binding lectin serine protease 2,1,TP,4072.0,794.0,1849.0108526056656,3799.0,2391.7933899811037,2926.0,4092.0,1988.654955945085,2547.463867920926,2128.0,4904.0,5289.0,3971.300310122185,4005.903421817388,3526.03125676228,6010.377366555648
Q68FD5,Cltc Clathrin heavy chain 1,2,,3539.0,1758.0,6741.499601262092,4588.0,2710.7717528688886,6645.0,4703.0,4876.378890896559,3972.961162947594,4088.0,7779.0,10155.0,12015.378874408989,13157.246602878507,12577.14721935034,8492.05510534846
O70138,Mmp8 Neutrophil collagenase,1,TP,3162.0,2708.0,1856.551679900142,2323.0,1928.5671326133477,2419.0,7353.0,2584.8233146433695,2824.6642141575126,4660.0,11877.0,4958.0,16029.612160856817,8116.302921007592,7507.525522348585,4352.165422907724
Q8R4G6,"Mgat5 Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A",1,TP,1176.0,1814.0,8510.577684546306,12387.0,8230.294960517589,1337.0,1679.0,4843.198964290371,3308.8505709084893,5970.0,1395.0,2601.0,6894.645698113847,9017.085562664399,6898.395662523141,8165.950344631057
Q9WTI7,Myo1c Unconventional myosin-Ic,1,FP,4221.0,1074.0,5566.638708782636,3215.0,4091.7412181356294,7071.0,4998.0,9276.465286962353,8045.392634834965,3455.0,11927.0,7501.0,6861.470216407666,7411.946450108547,10839.74273280277,4106.048622366288
O35451,Atf6b Cyclic AMP-dependent transcription factor ATF-6 beta,1,TP,1817.0,1199.0,2610.6344093478033,7086.0,5063.917593762905,3872.0,1955.0,3041.850045638284,3086.5051744548687,1479.0,3924.0,2596.0,6735.59853581657,4908.0087986308135,2547.2703229063977,7178.406682458546
Q62261,"Sptbn1 Spectrin beta chain, non-erythrocytic 1",3,,7339.0,3872.0,13078.810859540237,14153.0,11069.528989225244,18814.0,8385.0,8372.044706890449,8427.914484654846,8215.0,22736.0,13510.0,22449.067871002728,20208.74772280867,11684.218220288043,9989.265641975528
P04919,Slc4a1 Band 3 anion transport protein,1,,7111.0,5107.0,7374.929093998127,4146.0,2831.6133852256944,3341.0,7631.0,22253.02755062124,5034.952990745809,7032.0,28423.0,20166.0,8502.680811401651,7827.946656864884,12135.528070976894,11381.876538372486
Q01853,Vcp Transitional endoplasmic reticulum ATPase,1,TP,10782.0,1477.0,4489.808571131375,7520.0,2679.7448472637625,3194.0,2268.0,4692.28381424287,3969.304166295396,5081.0,9984.0,7975.0,8588.54676405294,8000.563594803524,9082.95684162439,6919.9840418900385
E9QLA5,Inf2 Inverted formin-2,1,,976.0,1372.0,2372.3442668423427,1737.0,1881.7546083670175,2516.0,1492.0,1148.4535886593521,1579.0911544189719,867.0,5974.0,2914.0,3615.1517565117183,4259.86857188803,1718.0230819167607,2446.8111920494416
Q9EQH2,Erap1 Endoplasmic reticulum aminopeptidase 1,1,TP,7865.0,8109.0,19241.174924586525,35730.0,22218.530403333792,5190.0,6885.0,16333.086451949406,9039.364324902303,15711.0,11147.0,12065.0,25002.604212916674,25063.185747596457,13908.926594695968,22672.484763210854
O88998,Olfm1 Noelin,1,TP,3711.0,2326.0,11501.26978953573,17104.0,8692.432554530778,2525.0,2653.0,3556.674068140752,4637.071754986699,4585.0,5136.0,3655.0,4981.201003236794,5284.326950688614,3610.4788055108074,7438.880296364899
Q5I012,Slc38a10 Putative sodium-coupled neutral amino acid transporter 10,1,,8257.0,6801.0,14359.243334142366,19238.0,15835.697155514397,7421.0,9808.0,10267.581804295587,13775.90638882878,13939.0,12974.0,12917.0,16349.657984375264,14975.346075649846,14238.41047341973,19178.65168219139
Q04592,Pcsk5 Proprotein convertase subtilisin/kexin type 5,1,TP,3837.0,2415.0,6476.0624804965155,6789.0,3089.626600257793,2545.0,2443.0,4938.4574632565245,4333.5410328542885,5332.0,3250.0,3886.0,11467.007676795065,8785.606910256263,5163.759948065687,10498.932516430084
Q0KK59,Unc79 Protein unc-79 homolog,1,,3899.0,5940.0,7577.023265490101,3826.0,2580.676481998273,769.0,5030.0,4229.905482182441,5171.724665538004,2470.0,6719.0,4784.0,4765.560372146621,4096.510780045716,5051.624678416003,5018.731757707446
Q9QXS1,Plec Plectin,1,,3120.0,3309.0,1838.4536943933983,2702.0,1406.5530540990376,2470.0,2780.0,4735.096622766983,3217.4256546035467,3715.0,4049.0,3662.0,1940.765679811554,4454.972007489174,6830.560746315308,4604.435143462696
