uniprot_id,description,pep_num,annotation,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,ctrl_turbo(-)_1,ctrl_turbo(-)_2,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4,LPS_turbo(-)_1,LPS_turbo(-)_2,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,fast_turbo(-)_1,fast_turbo(-)_2
Q9QXK3,Copg2 Coatomer subunit gamma-2,2,,20692.219279109577,17366.0,17633.01930328775,9902.0,9323.0,21403.302203781597,18263.181424197275,19262.82170666493,13717.809083369393,14359.0,19537.0,10576.0,17008.300754509568,13052.176863928476,10472.0,7607.0
P18653,Rps6ka1 Ribosomal protein S6 kinase alpha-1,2,FP,31083.666822431038,25710.0,27468.30459842719,23930.0,17650.0,34666.40131849156,26658.205951602587,33649.91781498631,23379.025259627866,25325.0,38188.0,24869.0,27217.031659421373,19187.2230601693,18007.0,13020.0
Q62210,Birc2 Baculoviral IAP repeat-containing protein 2,2,FP,36004.34064457395,20373.0,26224.010507532454,17610.0,13815.0,21481.03816820211,22984.52491862904,17386.017034042,18044.76051132266,22157.0,25254.0,15637.0,18495.980129582436,16874.370513666596,11716.0,7006.0
Q8VHR5,Gatad2b Transcriptional repressor p66-beta,2,FP,83554.73411506064,86084.0,81912.08502037078,40118.0,47699.0,44277.82951196626,69606.64818983104,49256.206280161736,60816.08605581999,74147.0,98485.0,67013.0,87684.32242708905,75840.76675852179,57829.0,20380.0
A0A0B4J1E2,Snw1 SNW domain-containing protein 1,2,FP,83179.94077725614,91820.0,84036.37417174621,41590.0,33518.0,82706.26762710493,69062.2297054925,62229.95782411635,69308.38134645896,41037.0,73075.0,77503.0,86777.96314395643,82839.82408317002,54567.0,23006.0
Q8R2T8,Gtf3c5 General transcription factor 3C polypeptide 5,2,FP,24216.48566523896,25273.0,23384.528238006507,14525.0,14101.0,18774.674962450874,18877.367823545595,17769.10230370419,14274.929900475985,17208.0,22193.0,15194.0,20800.00793484235,15100.343287943133,12629.0,7424.0
P53395,"Dbt Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",2,FP,27737.12501906701,45605.0,51745.4443135521,18612.0,26013.0,24121.18184870624,18816.74979902891,14858.906849158733,13417.680747872495,27318.0,28898.0,19073.0,38650.91028498142,19046.057128175675,17176.0,17911.0
Q60749,"Khdrbs1 KH domain-containing, RNA-binding, signal transduction-associated protein 1",2,FP,100061.35811843096,111309.0,130207.72790954742,58342.0,73434.0,84778.2669750542,111928.32292928318,81347.68728968306,83555.36407399394,113391.0,152950.0,102454.0,130368.21898432684,120900.42808684421,119753.0,31336.0
Q8R3V5,Sh3glb2 Endophilin-B2,1,,14904.684736947873,13525.0,14461.567570981904,10138.0,7274.0,10401.2639801177,8764.45135606361,7250.436738620061,9520.872764315593,6589.0,11438.0,10866.0,13589.13849331268,11990.28134870857,8332.0,3634.0
Q9Z1G3,Atp6v1c1 V-type proton ATPase subunit C 1,1,,3628.2413121009545,4080.0,4966.925525060797,2694.0,2488.0,2380.0640958379677,2236.0044892476,3780.748901134734,3161.068278523006,3155.0,3635.0,4068.0,3387.9084928130046,2220.8426086854306,2083.0,1480.0
