,User Input,Mapped Gene Symbol,Num of Expt. (found/total),Ave SC,Max SC,found,contaminant,Key
10902,Q5HYC2,KIAA2026,2 / 716,1.0,1.0,2,False,Q5HYC2
10903,Q13449,LSAMP,1 / 716,1.0,1.0,1,False,Q13449
10904,P15259,PGAM2,205 / 716,2.9,16.0,205,True,P15259
10905,Q8N5P1,ZC3H8,14 / 716,1.0,1.0,14,False,Q8N5P1
10906,Q96A19,CCDC102A, / 716,0.0,,,False,Q96A19
10907,O60282,KIF5C,197 / 716,3.0,8.0,197,False,O60282
10908,Q6ZV89,SH2D5, / 716,0.0,,,False,Q6ZV89
10909,Q0GE19,SLC10A7, / 716,0.0,,,False,Q0GE19
10910,A0A0K0K1C0,TRBV11-1, / 716,0.0,,,False,"A0A0K0K1C0, A0A584, A0A5A6"
10911,Q07666,KHDRBS1,348 / 716,4.2,53.0,348,True,Q07666
10912,A0A087WSZ0,IGKV1D-8, / 716,0.0,,,False,"P0DP09, A0A075B6S5, P01597, A0A0C4DH67, A0A0B4J2D9, P01593, A0A0B4J1Z2, A0A087WSZ0"
10913,Q6ZXV5,TMTC3,2 / 716,2.5,4.0,2,False,Q6ZXV5
10914,P29317,EPHA2,76 / 716,4.4,12.0,76,False,P29317
10915,Q92466,DDB2,4 / 716,1.8,2.0,4,False,Q92466
10916,Q9H898,ZMAT4, / 716,0.0,,,False,Q9H898
10917,Q92729,PTPRU, / 716,0.0,,,False,Q92729
10918,Q13573,SNW1,191 / 716,7.9,51.0,191,False,Q13573
10919,Q16623,STX1A, / 716,0.0,,,False,Q16623
10920,Q8NF99,ZNF397,13 / 716,1.0,1.0,13,False,Q8NF99
10921,P56470,LGALS4, / 716,0.0,,,False,P56470
10922,Q9HBU6,ETNK1,2 / 716,1.0,1.0,2,False,Q9HBU6
10923,Q13621,SLC12A1,1 / 716,2.0,2.0,1,False,Q13621
10924,Q16384,SSX1, / 716,0.0,,,False,"Q16384, Q99909, Q7RTT6"
10925,Q71F23,CENPU, / 716,0.0,,,False,Q71F23
10926,A0AVK6,E2F8,4 / 716,1.0,1.0,4,False,A0AVK6
10927,O14521,SDHD, / 716,0.0,,,False,O14521
10928,Q9NXR1,NDE1,15 / 716,1.1,2.0,15,False,Q9NXR1
10929,O15533,TAPBP,2 / 716,2.0,3.0,2,False,O15533
10930,P12268,IMPDH2,195 / 716,3.5,29.0,195,False,P12268
10931,Q8N808,SLC35G3, / 716,0.0,,,False,"Q8N808, P0C7Q5, Q96KT7, P0C7Q6"
10932,Q7L4P6,BEND5, / 716,0.0,,,False,Q7L4P6
10933,O60609,GFRA3, / 716,0.0,,,False,O60609
10934,Q96A65,EXOC4,112 / 716,5.6,22.0,112,False,Q96A65
10935,Q07020,RPL18,399 / 716,5.6,59.0,399,True,Q07020
