,uniprot,protein,description,pepNum_processed_census-out_07142022_EV1-98_16pl_M,ctrl_turbo(-)_1_processed_census-out_07142022_EV1-98_16pl_M,ctrl_turbo(-)_2_processed_census-out_07142022_EV1-98_16pl_M,LPS_turbo(-)_1_processed_census-out_07142022_EV1-98_16pl_M,LPS_turbo(-)_2_processed_census-out_07142022_EV1-98_16pl_M,fast_turbo(-)_1_processed_census-out_07142022_EV1-98_16pl_M,fast_turbo(-)_2_processed_census-out_07142022_EV1-98_16pl_M,ctrl_turbo(+)_1_processed_census-out_07142022_EV1-98_16pl_M,ctrl_turbo(+)_2_processed_census-out_07142022_EV1-98_16pl_M,ctrl_turbo(+)_3_processed_census-out_07142022_EV1-98_16pl_M,LPS_turbo(+)_1_processed_census-out_07142022_EV1-98_16pl_M,LPS_turbo(+)_2_processed_census-out_07142022_EV1-98_16pl_M,LPS_turbo(+)_3_processed_census-out_07142022_EV1-98_16pl_M,fast_turbo(+)_1_processed_census-out_07142022_EV1-98_16pl_M,fast_turbo(+)_2_processed_census-out_07142022_EV1-98_16pl_M,fast_turbo(+)_3_processed_census-out_07142022_EV1-98_16pl_M,fast_turbo(+)_4_processed_census-out_07142022_EV1-98_16pl_M,pepNum_processed_census-out_07232022_EV1-100B_10pl_M,eWAT_HF_cre-_1_processed_census-out_07232022_EV1-100B_10pl_M,eWAT_HF_cre-_2_processed_census-out_07232022_EV1-100B_10pl_M,eWAT_chow_cre-_1_processed_census-out_07232022_EV1-100B_10pl_M,eWAT_chow_cre-_2_processed_census-out_07232022_EV1-100B_10pl_M,eWAT_HF_cre+_1_processed_census-out_07232022_EV1-100B_10pl_M,eWAT_HF_cre+_2_processed_census-out_07232022_EV1-100B_10pl_M,eWAT_HF_cre+_3_processed_census-out_07232022_EV1-100B_10pl_M,eWAT_chow_cre+_1_processed_census-out_07232022_EV1-100B_10pl_M,eWAT_chow_cre+_2_processed_census-out_07232022_EV1-100B_10pl_M,eWAT_chow_cre+_3_processed_census-out_07232022_EV1-100B_10pl_M,pepNum_processed_census-out_07252022_EV1-100C_10pl_M,iWAT_chow_cre-_1_processed_census-out_07252022_EV1-100C_10pl_M,iWAT_chow_cre-_2_processed_census-out_07252022_EV1-100C_10pl_M,eWAT_chow_cre-_1_processed_census-out_07252022_EV1-100C_10pl_M,eWAT_chow_cre-_2_processed_census-out_07252022_EV1-100C_10pl_M,iWAT_chow_cre+_1_processed_census-out_07252022_EV1-100C_10pl_M,iWAT_chow_cre+_2_processed_census-out_07252022_EV1-100C_10pl_M,iWAT_chow_cre+_3_processed_census-out_07252022_EV1-100C_10pl_M,eWAT_chow_cre+_1_processed_census-out_07252022_EV1-100C_10pl_M,eWAT_chow_cre+_2_processed_census-out_07252022_EV1-100C_10pl_M,eWAT_chow_cre+_3_processed_census-out_07252022_EV1-100C_10pl_M,pepNum_processed_census-out_07302022_EV1-100A_10pl_M,iWAT_HF_cre-_1_processed_census-out_07302022_EV1-100A_10pl_M,iWAT_HF_cre-_2_processed_census-out_07302022_EV1-100A_10pl_M,iWAT_chow_cre-_1_processed_census-out_07302022_EV1-100A_10pl_M,iWAT_chow_cre-_2_processed_census-out_07302022_EV1-100A_10pl_M,iWAT_HF_cre+_1_processed_census-out_07302022_EV1-100A_10pl_M,iWAT_HF_cre+_2_processed_census-out_07302022_EV1-100A_10pl_M,iWAT_HF_cre+_3_processed_census-out_07302022_EV1-100A_10pl_M,iWAT_chow_cre+_1_processed_census-out_07302022_EV1-100A_10pl_M,iWAT_chow_cre+_2_processed_census-out_07302022_EV1-100A_10pl_M,iWAT_chow_cre+_3_processed_census-out_07302022_EV1-100A_10pl_M,pepNum_processed_census-out_08032022_EV1-100D_10pl_M,iWAT_HF_cre-_1_processed_census-out_08032022_EV1-100D_10pl_M,iWAT_HF_cre-_2_processed_census-out_08032022_EV1-100D_10pl_M,eWAT_HF_cre-_1_processed_census-out_08032022_EV1-100D_10pl_M,eWAT_HF_cre-_2_processed_census-out_08032022_EV1-100D_10pl_M,iWAT_HF_cre+_1_processed_census-out_08032022_EV1-100D_10pl_M,iWAT_HF_cre+_2_processed_census-out_08032022_EV1-100D_10pl_M,iWAT_HF_cre+_3_processed_census-out_08032022_EV1-100D_10pl_M,eWAT_HF_cre+_1_processed_census-out_08032022_EV1-100D_10pl_M,eWAT_HF_cre+_2_processed_census-out_08032022_EV1-100D_10pl_M,eWAT_HF_cre+_3_processed_census-out_08032022_EV1-100D_10pl_M
3918,Q6ZQ58,Larp1,Larp1 La-related protein 1,,,,,,,,,,,,,,,,,,1.0,79.28400954653938,120.71599045346062,72.93556085918854,88.59188544152745,336.2291169451074,237.70883054892602,251.93317422434367,294.74940334128877,274.60620525059664,489.30787589498806,1.0,146.84181106763555,53.158188932364446,122.52655114589155,109.2789267747345,239.57518166573504,761.0955841252096,276.29960871995524,345.612073784237,238.7367244270542,544.1028507546116,,,,,,,,,,,,1.0,123.0059777967549,76.9940222032451,119.28266438941075,144.90179333902645,387.8394534585824,231.05038428693425,482.0495303159692,334.5516652433817,250.62339880444065,228.04440649017934
3919,Q8C7R4,Uba6,Uba6 Ubiquitin-like modifier-activating enzyme 6,,,,,,,,,,,,,,,,,,2.0,77.07482034662534,122.92517965337466,47.28758630407214,122.92517965337466,305.42482739185573,413.6959278568409,269.2405241651402,223.22107932929404,204.90348034380725,280.1465407918839,1.0,151.70975813177648,48.29024186822352,0.0,221.768140116764,340.3669724770642,602.8356964136781,212.2602168473728,314.01167639699753,391.9933277731443,611.3427856547123,1.0,87.74996503985456,112.25003496014543,90.00139840581737,95.62298979163754,259.55810376171166,177.5416025730667,204.40497832470984,136.56831212417845,218.0114669277024,126.27604530834849,3.0,126.68781150883552,73.31218849116448,92.3878568192116,221.38649750792933,443.7245129134572,295.4689623923878,518.1694608065247,465.7906660625283,310.46669687358406,326.4612596284549
3920,Q61549,Adgre1,Adgre1 Adhesion G protein-coupled receptor E1,,,,,,,,,,,,,,,,,,1.0,113.32413793103449,86.67586206896551,0.0,0.0,767.0068965517241,403.9172413793103,453.351724137931,70.34482758620689,123.47586206896553,186.31724137931033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3921,O35231,Kifc3,Kifc3 Kinesin-like protein KIFC3,,,,,,,,,,,,,,,,,,1.0,0.0,200.0,0.0,228.06236080178172,444.988864142539,221.38084632516706,125.16703786191536,308.0178173719376,384.85523385300667,244.543429844098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3922,Q9Z0U0,Xpr1,Xpr1 Xenotropic and polytropic retrovirus receptor 1,,,,,,,,,,,,,,,,,,1.0,0.0,200.0,0.0,174.02945113788488,527.5769745649263,400.669344042838,370.5488621151272,347.9250334672022,249.9330655957162,488.8888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3923,Q8VC42,Mic1,Mic1 Uncharacterized protein C18orf8 homolog,,,,,,,,,,,,,,,,,,1.0,63.61071932299013,136.38928067700988,117.13681241184769,120.45133991537375,586.9534555712271,478.9139633286319,601.2693935119887,342.2425952045134,344.7813822284908,443.08885754583923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3924,Q8C1Y8,Ccz1,Ccz1 Vacuolar fusion protein CCZ1 homolog,,,,,,,,,,,,,,,,,,1.0,0.0,200.0,220.23121387283234,0.0,1512.1387283236995,1188.150289017341,863.5838150289017,735.8381502890173,269.6531791907515,1304.6242774566474,,,,,,,,,,,,,,,,,,,,,,,1.0,113.0148270181219,86.9851729818781,0.0,0.0,171.334431630972,133.77265238879735,270.0713893465129,223.72322899505767,185.55738605162,172.43272926963206
3925,O89110,Casp8,Casp8 Caspase-8,,,,,,,,,,,,,,,,,,1.0,45.908607863974495,154.0913921360255,0.0,74.24725469358839,426.00070846617075,260.29047113000354,209.6351399220687,247.89231314204744,124.83173928444917,331.63301452355654,,,,,,,,,,,,2.0,86.75365757216291,113.24634242783709,268.88098062475285,138.63187030446818,1471.6488730723606,871.0952945828391,1172.7164887307235,680.8224594701463,819.8497429814156,504.310003954132,1.0,100.94034675286511,99.05965324713489,39.14193358801058,105.2012929767852,337.6432559506318,132.14810461357627,347.898912724067,355.8918601234205,268.2045254187482,234.85160152806347
3926,A6H630,Armt1,Armt1 Protein-glutamate O-methyltransferase,,,,,,,,,,,,,,,,,,1.0,63.806970509383376,136.19302949061662,0.0,176.72922252010724,337.5871313672922,292.11796246648794,346.48793565683644,106.38069705093834,272.92225201072387,411.68900804289547,1.0,0.0,200.0,0.0,232.005792903693,200.724112961622,479.50760318609707,340.7675597393193,289.934829833454,406.5170166545981,541.346850108617,,,,,,,,,,,,,,,,,,,,,,
3927,Q8BWM0,Ptges2,Ptges2 Prostaglandin E synthase 2,,,,,,,,,,,,,,,,,,1.0,122.71386430678466,77.28613569321534,70.67846607669617,265.2507374631269,305.0147492625369,451.38643067846607,257.28613569321533,604.7197640117994,454.10029498525074,622.4188790560472,1.0,130.18916155419222,69.81083844580776,60.88957055214724,108.7678936605317,303.11860940695294,371.93251533742335,170.9355828220859,310.5061349693251,162.26993865030676,340.8997955010225,,,,,,,,,,,,1.0,111.44669284204167,88.55330715795832,100.51344004832376,114.16490486257929,199.33554817275748,124.07127755964966,190.99969797644215,133.97765025672,157.4750830564784,80.03624282694051
